Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 29 мая 2023 в Актау,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80298743,,
Администратор,8,от 200 000 KZT на руки,ТОО Q4TULPAR_AUTO,Вакансия опубликована 22 мая 2023 в Актау,Алматы,полный день,Полная занятость,Умение вести переговоры;Общение;Способность быстро обучаться;Разрешать конфликтные ситуации;Телефонные переговоры;Компетентность;Готовность к командному труду;Стремление к развитию и профессиональному росту;Приветливость;,https://almaty.hh.kz/vacancy/80815556,,
Инженер БиОТ,45,от 260 000 до 280 000 KZT на руки,ТОО Adicom2000 (Адиком2000),Вакансия опубликована 29 мая 2023 в Актау,Алматы,полный день,Полная занятость,Пожарная безопасность;Обучение и развитие;Разработка программ по улучшению условий труда;Охрана труда и техника безопасности;Вводный инструктаж по охране труда и технике безопасности;Аудит системы управления охраной труда;Промышленная безопасность;,https://almaty.hh.kz/vacancy/81208006,,Сервисное обслуживание/производство
Ассистент учителя,132,от 90 000 KZT на руки,ТОО EtonHouse Kazakhstan International School,Вакансия опубликована 17 мая 2023 в Актау,"Актау, 19-й микрорайон, 10",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80548698,,
Помощник повара BAHANDI BURGER,94,от 150 000 до 200 000 KZT на руки,ТОО ZAMIL ALMATY (Bahandi),Вакансия опубликована 28 мая 2023 в Актау,Алматы,сменный график,Полная занятость,Работа в команде;Обучение и развитие;Материальная ответственность;Дружелюбность;Чистоплотность;Выносливость;Внимательность к мелочам;Казахский — B2 — Средне-продвинутый;Русский — B1 — Средний;,https://almaty.hh.kz/vacancy/80788825,,
Курьер-водитель с личным автомобилем,40,з/п не указана,ТОО Детский мир - Казахстан,Вакансия опубликована 29 мая 2023 в Актау,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/81236944,,
Тайный проверяющий,40,от 20 000 до 80 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 2 мая 2023 в Актау,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/78976815,,
Специалист по сертификации в области безопасности конструкции транспортного средства,40,от 150 000 до 180 000 KZT на руки,ТОО Казпром Серт,Вакансия опубликована 24 мая 2023 в Актау,Алматы,полный день,Полная занятость,Работа в команде;Adobe Acrobat;Материальная ответственность;Опытный пользователь ПК;Сертификация продукции;Высокие коммуникативные навыки;транспортная техника;,https://almaty.hh.kz/vacancy/80951075,,
"Медицинский представитель ROOTH в г. Актау, Атырау",65,от 400 000 KZT до вычета налогов,ТОО Premier Astana Company,Вакансия опубликована 26 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81070575,,Медицина
Менеджер по туризму,72,от 150 000 до 170 000 KZT на руки,ТОО KazAllianceGroup,Вакансия опубликована 10 мая 2023 в Актау,Алматы,полный день,Полная занятость,Работа в команде;Русский язык;Позитивное мышление;Агентские продажи;Навыки работы с возражениями;Многозадачность;Навыки межличностного общения;Четкая дикция;Грамотность;Обучение и развитие;Способность быстро обучаться;Хорошая обучаемость;Коммуникация;Навыки продаж;Поиск информации в интернет;Деловая коммуникация;,https://almaty.hh.kz/vacancy/80222452,,
Менеджер по работе с тендерами,119,от 300 000 KZT на руки,ТОО PETROTAS,Вакансия опубликована 17 мая 2023 в Актау,"Актау, 14-й микрорайон, 7",полный день,Полная занятость,Письменный перевод;Тендеры;Грамотность;Участие в Тендерах;подготовка документов для участия в тендерах;Деловая переписка;Проведение тендеров;Государственные закупки;Перевод;исполнение поручений руководителя;Исполнение личных поручений руководителя;Умение расставлять приоритеты;Казахский язык;Грамотная речь;Английский — B2 — Средне-продвинутый;Казахский — C1 — Продвинутый;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80600306,,Менеджмент
Координатор тайных покупателей,40,от 80 000 до 200 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 18 мая 2023 в Актау,Алматы,удаленная работа,Полная занятость,E9,https://almaty.hh.kz/vacancy/80657088,,
Консультант,40,з/п не указана,АО Jusan Bank,Вакансия опубликована 15 мая 2023 в Актау,Алматы,полный день,Полная занятость,Грамотная речь;Деловое общение;Ведение деловой переписки;Корпоративная этика;Знание компьютера;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/80400647,,
"Тайный проверяющий Автосалонов, сервисных центров и АЗС",40,от 5 000 до 50 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 4 мая 2023 в Актау,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80125392,,
Специалист по взысканию задолженности,40,от 120 000 до 300 000 KZT до вычета налогов,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 23 мая 2023 в Актау,Алматы,полный день,Полная занятость,Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Грамотность;Выездные мероприятия;Уверенный пользователь ПК;,https://almaty.hh.kz/vacancy/80897430,,
Инструктор на выставку роботов,13,от 150 000 до 200 000 KZT на руки,ООО Мирей Роботикс,Вакансия опубликована 28 мая 2023 в Актау,"Актау, 16-й микрорайон, 11/11",полный день,Частичная занятость,Работа в команде;Работа с людьми;Проведение презентаций;Навыки презентации;,https://almaty.hh.kz/vacancy/80487629,,
Ресепшионист / Receptionist,40,з/п не указана,Филиал частной компании Aktau Tоurism City Ltd. в городе Актау,Вакансия опубликована 28 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80387785,,
Помощник главного бухгалтера,18,от 120 000 KZT на руки,ТОО АК БЕКЕТ,Вакансия опубликована 17 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80560420,,Финансы
Помощник главного бухгалтера,18,от 120 000 KZT на руки,ТОО АК БЕКЕТ,Вакансия опубликована 15 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80434739,,Финансы
Преподаватель математики и экономики,132,от 300 000 KZT на руки,ИП Тулешова,Вакансия опубликована 29 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81220308,,
Электромонтажник вторичных цепей,143,до 200 000 KZT на руки,ТОО АК БЕКЕТ,Вакансия опубликована 15 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80417173,,Сервисное обслуживание/производство
Медсестра/медбрат Стоматологии,64,от 180 000 до 200 000 KZT на руки,ИП OpenRoad,Вакансия опубликована 29 мая 2023 в Актау,Актау,полный день,Полная занятость,Знание санитарно-эпидемиологических норм;Работа с медицинской документацией;Тактичность;Ответственность;Внимательность;Пунктуальность;,https://almaty.hh.kz/vacancy/80563960,,Медицина
Территориальный агент Beeline,40,от 120 000 до 200 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Актау,Алматы,полный день,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/76495794,,
Спасатель / Lifeguard,40,з/п не указана,Филиал частной компании Aktau Tоurism City Ltd. в городе Актау,Вакансия опубликована 28 мая 2023 в Актау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80387915,,
