Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Продавец-консультант,40,от 150 000 до 250 000 KZT на руки,Sulpak,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81057075,,
Стажер-агент по обслуживанию пассажиров,40,з/п не указана,"AIR ASTANA, АО",Вакансия опубликована 18 мая 2023 в Кызылорде,Алматы,полный день,Стажировка,Английский язык;Грамотная речь;Работа в команде;Работа с людьми;Казахский язык;Русский язык;,https://almaty.hh.kz/vacancy/80629842,,
Администратор автосалона,8,от 100 000 до 150 000 KZT на руки,ТОО TURAN AUTO KZ,Вакансия опубликована 4 мая 2023 в Кызылорде,"Кызылорда, проспект Нурсултана Назарбаева, 28",полный день,Полная занятость,Пользователь ПК;Русский и казахский языки;,https://almaty.hh.kz/vacancy/80083644,,
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 19 мая 2023 в Кызылорде,Алматы,полный день,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/78137866,,
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 23 мая 2023 в Кызылорде,"Кызылорда, улица Айтеке би, 28",полный день,Полная занятость,Деловое общение;Выездные мероприятия;Уверенный пользователь ПК;Планирование карьеры;Опытный пользователь ПК;,https://almaty.hh.kz/vacancy/80898067,,
Администратор на ресепшен в сеть фитнес-клуба Lady Gym,8,от 70 000 KZT на руки,ТОО Woman’s time,Вакансия опубликована 20 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,Грамотность;Работа с людьми;Работа в команде;Пользователь ПК;Способность быстро обучаться;Опрятность;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80767163,,
Менеджер интернет магазина,40,от 120 000 KZT до вычета налогов,ИП Строймаркет Алтын Орда,Вакансия опубликована 15 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79072936,,
Мастер-прораб,100,з/п не указана,ТОО ОРДА СТРОЙ ХОЛДИНГ,Вакансия опубликована 23 мая 2023 в Кызылорде,"Кызылорда, улица Сагымбаева, 74",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80904091,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79890402,,
Лаборант,79,от 150 000 до 150 000 KZT на руки,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 10 мая 2023 в Кызылорде,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/80206837,,Наука
"Тайный покупатель, удаленно",40,з/п не указана,ТОО PLAN business consult,Вакансия опубликована 24 мая 2023 в Кызылорде,Алматы,удаленная работа,Частичная занятость,Грамотная речь;Ответственность;,https://almaty.hh.kz/vacancy/80926205,,
Юрист,146,от 180 000 KZT до вычета налогов,ТОО Сәтті Телеком,Вакансия опубликована 2 мая 2023 в Кызылорде,"Кызылорда, улица Бокейхана, 95",полный день,Полная занятость,Юридическое сопровождение;Государственные закупки;Знание законодательства;Договорная работа;Юрист;Взаимодействие с государственными контролирующими органами;,https://almaty.hh.kz/vacancy/79964770,,
Маркетолог,68,от 100 000 до 180 000 KZT на руки,ТОО TURAN AUTO KZ,Вакансия опубликована 2 мая 2023 в Кызылорде,"Кызылорда, проспект Нурсултана Назарбаева, 28",полный день,Полная занятость,Пользователь ПК;Свободное владение русского и казахского языка;Анализ трафика;,https://almaty.hh.kz/vacancy/80013696,,Менеджмент
Координатор тайных покупателей,40,от 80 000 до 200 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 18 мая 2023 в Кызылорде,Алматы,удаленная работа,Полная занятость,E9,https://almaty.hh.kz/vacancy/80657117,,
Тайный проверяющий,40,до 100 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 1 мая 2023 в Кызылорде,Алматы,гибкий график,Частичная занятость,Пользователь ПК;Электронная почта;,https://almaty.hh.kz/vacancy/79949476,,
Мерчендайзер категории ВС,77,до 180 000 KZT на руки,ТОО RG Brands Kazakhstan,Вакансия опубликована 10 мая 2023 в Кызылорде,"Кызылорда, улица Бейбитшилик",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80229647,,
Техничка/Техник,40,з/п не указана,ТОО ФЕНИКС ИНТЕРНЕШНЛ РЕСОРСИЗ КАСПИАН,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81043059,,
Мерчендайзер,77,от 100 000 до 120 000 KZT на руки,"АО CASPIAN beverage holding, АО",Вакансия опубликована 27 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80338109,,
Удаленный сотрудник по работе с клиентами,40,от 100 000 до 160 000 KZT до вычета налогов,ТОО Oktrening,Вакансия опубликована 29 мая 2023 в Кызылорде,Алматы,удаленная работа,Полная занятость,Грамотная речь;Работа в команде;Грамотность;Работа с большим объемом информации;Деловое общение;,https://almaty.hh.kz/vacancy/79196852,,
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,Skyeng,Вакансия опубликована 10 мая 2023 в Кызылорде,Алматы,удаленная работа,Частичная занятость,Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255601,,IT
Тайный покупатель,40,з/п не указана,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Кызылорде,Алматы,полный день,Проектная работа/разовое задание,Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239872,,
Помощник юриста,145,от 35 000 руб. на руки,BY business group,Вакансия опубликована 19 мая 2023 в Кызылорде,"Кызылорда, улица Толыбекова, 14",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80728445,,
Торговый представитель,129,от 100 000 до 180 000 KZT до вычета налогов,ТОО REDLINECAPITAL,Вакансия опубликована 12 мая 2023 в Кызылорде,"Кызылорда, улица Саламатова",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80339433,,
Юрист,Юриспруденция,от 103 500 тенге,"Кызылординский областной филиал акционерного общества ""Казпочта""",Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yurist~3115702,Молодежная практика,Юриспруденция
Секретарь-референт,HR и секретариат,от 103 500 тенге,"Кызылординский областной филиал акционерного общества ""Казпочта""",Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,Встреча и учет посетителей;,https://enbek.kz/ru/vacancy/sekretar-referent~3115705,Молодежная практика,Менеджмент
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Кызылординский областной филиал акционерного общества ""Казпочта""",Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/deloproizvoditel~3115704,Молодежная практика,Менеджмент
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Кызылординский областной филиал акционерного общества ""Казпочта""",Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,"Ведение кассовых, организационно-распорядительных, отчетных документов;",https://enbek.kz/ru/vacancy/bukhgalter~3115703,Молодежная практика,Финансы
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Мой Доктор""",Вакансия опубликована 18.05.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3095107,Молодежная практика,Медицина
Делопроизводитель,HR и секретариат,от 103 500 тенге,ИП РЕДЖЕПОВА,Вакансия опубликована 16.05.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~3099854,Молодежная практика,Менеджмент
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Коммунальное государственное предприятие на праве хозяйственного ведения ""Многопрофильная городская больница"" управления здравоохранения Кызылординской области",Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3094055,Молодежная практика,Медицина
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ДарМирАудит""",Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~3089884,Молодежная практика,Менеджмент
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ДарМирАудит""",Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3089885,Молодежная практика,Финансы
Радиотехник,IT и телекоммуникации,от 103 500 тенге,ИП Зерделі-Bala,Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,ТО радиотехнического оборудования и средств связи;,https://enbek.kz/ru/vacancy/radiotekhnik~3088521,Первое рабочее место,IT
Делопроизводитель,HR и секретариат,от 103 500 тенге,"ИП ""КАЛДЫБЕК""",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Организация документооборота;,https://enbek.kz/ru/vacancy/deloproizvoditel~3086060,Первое рабочее место,Менеджмент
Врач-стоматолог,Медицина и фармацевтика,от 103 500 тенге,Ералиев Н,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,"Лечение кариеса, некариозных поражений твердых тканей временных, постоянных зубов с несформированными корнями;",https://enbek.kz/ru/vacancy/vrach-stomatolog~3084930,Молодежная практика,Медицина
Инженер-строитель,Строительство и архитектура,от 103 500 тенге,"Коммунальное государственное учреждение «Управление строительства, архитектуры и градостроительства Кызылординской области»",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Разработка и проверка рабочих чертежей по эскизам инженеров и конструкторов;,https://enbek.kz/ru/vacancy/inzhener-stroitel~3084091,Молодежная практика,Строительство и архитектура
Инженер-строитель,Строительство и архитектура,от 103 500 тенге,"Коммунальное государственное учреждение ""Кызылординский городской отдел строительства"" акимата города Кызылорда",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Составление дефектных ведомостей;,https://enbek.kz/ru/vacancy/inzhener-stroitel~3084007,Молодежная практика,Строительство и архитектура
Делопроизводитель,HR и секретариат,от 103 500 тенге,"ИП ""KAISAR """,Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Учет и регистрация документов;,https://enbek.kz/ru/vacancy/deloproizvoditel~3079764,Молодежная практика,Менеджмент
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,ИП Ахметов Даурен,Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~3079795,Молодежная практика,
Преподаватель (в системе дошкольного воспитания и обучения),Образование и воспитание,от 103 500 тенге,ИП Ахметов Даурен,Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-doshkolnogo-vospitaniya-i-obucheniya)~3079796,Молодежная практика,
