Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Ночной флорист,40,от 140 000 до 200 000 KZT до вычета налогов,ТОО ROMANTIC-TDK,Вакансия опубликована 12 мая 2023 в Талдыкоргане,"Талдыкорган, улица Акын Сара, 155",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80355942,,
Промоутер-консультант/Хостес/Продавец-консультант,140,от 112 000 до 200 000 KZT на руки,ТОО CONTINEO,Вакансия опубликована 28 мая 2023 в Талдыкоргане,Алматы,полный день,Частичная занятость,Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/81025129,,
Оператор на производство,85,от 185 000 до 190 000 KZT на руки,ТОО Anel Production,Вакансия опубликована 2 мая 2023 в Талдыкоргане,"Алматы, улица Геологов, 2В",сменный график,Полная занятость,Желание работать и зарабатывать;Желание обучаться;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/79962246,,Сервисное обслуживание/производство
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Талдыкоргане,Алматы,гибкий график,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/79078774,,
Мастер по установке бытовой техники,78,от 200 000 KZT на руки,Sulpak,Вакансия опубликована 29 мая 2023 в Талдыкоргане,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81224816,,
"Монтажник, г. Талдыкорган",78,з/п не указана,ТОО Кайнар-Медиа,Вакансия опубликована 28 мая 2023 в Талдыкоргане,Талдыкорган,полный день,Полная занятость,Работа в условиях многозадачности;Казахский — B2 — Средне-продвинутый;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80715826,,
Сейлз Мерчендайзер (кофе Jacobs),77,от 110 000 до 300 000 KZT на руки,ТОО Apple City Corps,Вакансия опубликована 16 мая 2023 в Талдыкоргане,Алматы,полный день,Полная занятость,Мерчандайзинг;Умение работать в команде;Линейная выкладка товара;Ответственный подход к работе;Нацелен на результат;,https://almaty.hh.kz/vacancy/80467048,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 17 мая 2023 в Талдыкоргане,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80609892,,
Ассистент HR-менеджера,118,от 80 000 до 150 000 KZT на руки,Частная компания “Automated Communication Solutions Ltd.”,Вакансия опубликована 29 мая 2023 в Талдыкоргане,Алматы,полный день,Полная занятость,"Excel;Google таблицы;Знание компьютера;Ведение отчетности;Организаторские навыки;Организация мероприятий для сотрудников;Способность быстро обучаться;Информирование сотрудников об изменениях в компании;Опытный пользователь ПК, знание MS Office;Высокая энергичность и инициативность;",https://almaty.hh.kz/vacancy/81197631,,Менеджмент
Специалист по договорам,33,з/п не указана,АО NOMAD insurance,Вакансия опубликована 4 мая 2023 в Талдыкоргане,Алматы,полный день,Полная занятость,MS Outlook;Пользователь ПК;Работа с базами данных;Работа с оргтехникой;Аналитический склад ума;умение концентрироваться на деталях;способность держать процесс под контролем;,https://almaty.hh.kz/vacancy/80104451,,Юриспруденция
