Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
"Геолог (ВКО, Глубоковский район, п. Алтайский)",28,з/п не указана,ТОО Востокцветмет ТОО,Вакансия опубликована 29 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81201668,,Гео
Менеджер по маркетингу,68,от 270 000 до 310 000 KZT до вычета налогов,"АО УМЗ, АО",Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80891325,,Менеджмент
Модератор карт,40,от 250 000 до 250 000 KZT до вычета налогов,ТОО Апару,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80135121,,
Помощник главного бухгалтера,18,от 200 000 KZT на руки,ТОО LOGYGROUND,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Тохтарова, 48/2",полный день,Полная занятость,Кадровое делопроизводство;1С: Бухгалтерия;Работа с документами;Сверка взаиморасчетов с поставщиками товаров и услуг;Первичные документы;Внутренняя документация;,https://almaty.hh.kz/vacancy/80856675,,Финансы
Администратор фитнес-клуба Orange Area,8,от 250 000 KZT на руки,ИП Джерихов С.В.,Вакансия опубликована 11 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Ауэзова, 1/1",сменный график,Полная занятость,Грамотная речь;Пользователь ПК;Деловое общение;Навыки продаж;Телефонные переговоры;Прием и распределение телефонных звонков;,https://almaty.hh.kz/vacancy/79665776,,
Администратор салона красоты,8,от 120 000 до 150 000 KZT на руки,ИП Рифель Н.Н,Вакансия опубликована 28 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Крылова, 66",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80788409,,
Лаборант химического анализа,168,от 200 000 KZT на руки,"ТОО Багратион Улан, ТОО",Вакансия опубликована 29 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81196223,,Наука
Инженер Управления связи Представительства,112,з/п не указана,АО Национальные информационные технологии,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80923270,,IT
Оператор,84,от 130 000 KZT до вычета налогов,АО Объединённая ЭнергоСервисная Компания,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Бажова, 10",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80993298,,IT
Торговый представитель,129,от 250 000 до 300 000 KZT до вычета налогов,"ТОО Багратион Улан, ТОО",Вакансия опубликована 26 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81065992,,
Оператор по упаковке весовой продукции,85,от 220 000 до 250 000 KZT до вычета налогов,АО Aitas KZ,Вакансия опубликована 12 мая 2023 в Усть-Каменогорске,Усть-Каменогорск,сменный график,Полная занятость,Пользователь ПК;Работа в команде;Грамотность;Работа в условиях многозадачности;Опыт личностного общения и успешных продаж;,https://almaty.hh.kz/vacancy/80330624,,Сервисное обслуживание/производство
Веб-дизайнер,96,от 150 000 до 300 000 KZT до вычета налогов,ИП Аянбек Досумбаев,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80859203,,IT
IOS Developer,96,з/п не указана,ТОО Апару,Вакансия опубликована 18 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Кайсенова, 123",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80633787,,IT
Хостес,140,до 150 000 KZT на руки,ИП Нечепуренко А.М,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Антона Чехова, 46к1",полный день,Полная занятость,Работа в команде;Грамотная речь;Опрятность;Приветливость;Дружелюбность;Опрятный внешний вид;Встреча гостей;Умение проявлять тактичность и толерантность;,https://almaty.hh.kz/vacancy/80231629,,
Специалист по подбору кадров,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,Алматы,удаленная работа,Частичная занятость,Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81011602,,Менеджмент
Электромонтажник/монтажник,143,от 395 000 до 620 000 KZT на руки,ЗАО ЭнергоСтрой,Вакансия опубликована 29 мая 2023 в Усть-Каменогорске,"Екатеринбург, Геологическая, Площадь 1905 года, Чкаловская, улица Начдива Васильева, 3А",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80060485,,Сервисное обслуживание/производство
Намотчица/намотчик секций силовых конденсаторов,40,от 180 000 KZT на руки,ТОО Усть-Каменогоркий конденсаторный завод,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Жакыпбека Малдыбаева, 1",полный день,Полная занятость,Пользователь ПК;Google Chrome;Работа с людьми;,https://almaty.hh.kz/vacancy/80886721,,
Оператор отдела по работе с потребителями,40,от 150 000 KZT на руки,"Усть-Каменогорские тепловые сети, АО",Вакансия опубликована 22 мая 2023 в Усть-Каменогорске,Г.Усть-Каменогорск,полный день,Полная занятость,Прием и распределение телефонных звонков;Грамотная речь;Работа с базами данных;работа с физическими лицами;,https://almaty.hh.kz/vacancy/79774034,,
Секретарь директора Банка,40,з/п не указана,АО Bereke Bank,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80922003,,
Специалист по подбору кадров,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,удаленная работа,Частичная занятость,Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/80933315,,Менеджмент
Специалист отдела снабжения,66,от 200 000 до 268 000 KZT на руки,ТОО General WAY,Вакансия опубликована 18 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Тохтарова, 51",полный день,Полная занятость,Заключение договоров;Пользователь ПК;Закупка товаров и услуг;Управление поставками;Документальное сопровождение;Согласование договоров;Работа с поставщиками;Контроль поставок;Контроль оформления документов;Договоры поставки;Логистика поставок;,https://almaty.hh.kz/vacancy/80657076,,Менеджмент
Менеджер в мессенджерах,8,от 70 000 до 150 000 руб. до вычета налогов,Нагорнов Илья Викторович,Вакансия опубликована 27 мая 2023 в Усть-Каменогорске,Алматы,гибкий график,Полная занятость,Навыки продаж;Деловая переписка;Умение работать в команде;Консультирование клиентов по телефону;Управление отношениями с клиентами;Деловое общение;Продажи;Навыки межличностного общения;Работа в команде;Грамотная речь;Образованность;Общение;Индивидуальный подход;Консультирование;Работа с клиентами;CRM;Проведение опросов;Грамотность;Деловая коммуникация;,https://almaty.hh.kz/vacancy/80392999,,
Медицинский представитель,65,от 200 000 до 500 000 KZT на руки,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,Алматы,полный день,Полная занятость,Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/81028576,,Медицина
Специалист по подбору кадров,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,удаленная работа,Частичная занятость,Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/80152943,,Менеджмент
"Тайный покупатель, удаленно",40,з/п не указана,ТОО PLAN business consult,Вакансия опубликована 16 мая 2023 в Усть-Каменогорске,Алматы,удаленная работа,Частичная занятость,Грамотная речь;Ответственность;,https://almaty.hh.kz/vacancy/80516636,,
