Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Региональный торговый представитель,129,от 250 000 до 500 000 KZT до вычета налогов,ТОО Торговый дом «Ордабасы – кус»,Вакансия опубликована 29 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Активные продажи;Прямые продажи;Работа с людьми;Работа с дебиторской задолженностью;,https://almaty.hh.kz/vacancy/81196987,,
Медицинский представитель RX,65,от 350 000 KZT до вычета налогов,ТОО Сервье Казахстан,Вакансия опубликована 29 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81205778,,Медицина
SMM-менеджер / Tik-Tok менеджер,3,от 200 000 KZT на руки,ТОО Бек-Авто,Вакансия опубликована 28 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Умение работать в команде;Видеомонтаж;Обработка видео;,https://almaty.hh.kz/vacancy/81178842,,Менеджмент
Администратор,8,от 200 000 KZT на руки,ТОО Q4TULPAR_AUTO,Вакансия опубликована 29 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Грамотная устная и письменная речь;Навыки разрешения спорных ситуаций;Работа с людьми;Умение планировать;Умение вести переговоры;Умение работать в режиме многозадачности;Способность быстро обучаться;Общение;Разрешать конфликтные ситуации;Организаторские навыки;Грамотная речь;Деловое общение;Телефонные переговоры;Работа с большим объемом информации;Компетентность;,https://almaty.hh.kz/vacancy/81210717,,
Ассистент бухгалтера,18,з/п не указана,ТОО MAGNUM. Защита активов и предотвращение потерь/Активтерді қорғау және шығындарды болдырмау,Вакансия опубликована 28 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81187357,,Финансы
Хостес,140,от 135 000 до 180 000 KZT на руки,ИП Абдиразакова Г.,Вакансия опубликована 26 мая 2023 в Шымкенте,"Шымкент, улица Желтоксан, 9/2",полный день,Полная занятость,Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;Английский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/81084986,,
Администратор,8,от 500 USD на руки,ООО Флора-Ф,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81076407,,
Администратор ресепшен,8,з/п не указана,ТОО HD Project,Вакансия опубликована 24 мая 2023 в Шымкенте,"Шымкент, проспект Республики, 4",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80947979,,
HR-специалист,117,з/п не указана,ТОО BI Construction & Engineering (ТМ BI GROUP),Вакансия опубликована 24 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80925606,,Менеджмент
Администратор,8,от 150 000 KZT на руки,ИП Пшенбаев,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81102811,,
Экономист-финансист,142,от 200 000 KZT на руки,ТОО МҰНАЙҚҰРЫЛЫССЕРВИС,Вакансия опубликована 29 мая 2023 в Шымкенте,"Шымкент, улица Клары Цеткин, 107",полный день,Полная занятость,1C: Финансы;Деловая коммуникация;Экономический анализ;Умение расставлять приоритеты;Деловая этика;Управление временем;Организация и планирование рабочего времени;,https://almaty.hh.kz/vacancy/81199261,,Финансы
Диспетчер по организации грузовых перевозок,40,з/п не указана,АО Авиакомпания SCAT,Вакансия опубликована 24 мая 2023 в Шымкенте,"Шымкент, аэропорт",сменный график,Полная занятость,Деловая коммуникация;Работа с большим объемом информации;Грамотная речь;Английский язык;Многозадачность;Ответственный подход к работе;Навыки работы с первичной документацией;Умение изучать;Быстрая реакция;Ответственность и пунктуальность;Английский — A2 — Элементарный;,https://almaty.hh.kz/vacancy/80955073,,
Менеджер азс,40,от 280 000 до 300 000 KZT на руки,ИП Нурлан,Вакансия опубликована 18 мая 2023 в Шымкенте,Туркестанская область,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80647498,,
Модельщик по выплавляемым моделям,40,от 125 000 до 255 000 KZT до вычета налогов,ТОО KARLSKRONA LC AB,Вакансия опубликована 28 мая 2023 в Шымкенте,"Шымкент, Каратауский район, микрорайон Тассай, 105",полный день,Полная занятость,Работа с паяльным оборудованием;Аккуратность;Внимательность;Чтение чертежей;Казахский — C1 — Продвинутый;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/81185401,,
"Администратор на ресепшен в сеть фитнес-клуба ""Lady Gym""",8,от 85 000 KZT на руки,ТОО Woman’s time,Вакансия опубликована 4 мая 2023 в Шымкенте,Алматы,сменный график,Частичная занятость,Работа с людьми;Работа в команде;Пользователь ПК;Грамотность;Способность быстро обучаться;Опрятность;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/78974507,,
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 22 мая 2023 в Шымкенте,Алматы,полный день,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/80806441,,
Стажер в финансовый отдел,142,от 120 000 до 170 000 KZT до вычета налогов,ТОО BI Construction & Engineering (ТМ BI GROUP),Вакансия опубликована 18 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Знание Excel;,https://almaty.hh.kz/vacancy/80667991,,Финансы
Юрисконсульт,145,от 490 000 KZT на руки,ИП Пшенбаев,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81103120,,
Администратор,8,от 150 000 до 150 000 KZT на руки,ТОО Pioneer Construction,Вакансия опубликована 28 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,Русский язык;Казахский язык;Опрятность;Приветливость;Опрятный внешний вид;Чистоплотность;Ответственность и пунктуальность;Обеспечение жизнедеятельности офиса;,https://almaty.hh.kz/vacancy/80244575,,
Специалист по работе с документами (экспертно-правовой отдел),40,от 280 000 KZT до вычета налогов,ИП Пшенбаев,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81102564,,
"Офис-менеджер, инспектор-кассир",40,от 200 000 до 350 000 KZT на руки,ФИЛИАЛ ТОО МФО АТСЛАХА 18 В ГОРОДЕ ШЫМКЕНТ,Вакансия опубликована 2 мая 2023 в Шымкенте,"Шымкент, проспект Жибек жолы, 403/5",полный день,Полная занятость,"Работа с большим объемом информации;внимательность, ответственность;Грамотная речь;Умение работать в команде;Уверенный пользователь ПК;Пользователь ПК;Материальная ответственность;Работа в команде;знание программы MS word/ Excel;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;",https://almaty.hh.kz/vacancy/79663835,,
Оператор,84,от 200 000 до 250 000 KZT до вычета налогов,ТОО Ivan heating,Вакансия опубликована 12 мая 2023 в Шымкенте,"Шымкент, улица Маншук Маметовой, 23",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80334384,,IT
Ресепшионист,8,от 120 000 до 130 000 KZT на руки,ТОО KERRAA,Вакансия опубликована 15 мая 2023 в Шымкенте,"Шымкент, проспект Тауке хана, 105",гибкий график,Полная занятость,Грамотная речь;Работа в команде;Знание иностранных языков;прием иностранных гостей;Грамотность;Дружелюбность;,https://almaty.hh.kz/vacancy/80414574,,
Рекрутер удаленно,118,до 354 000 KZT до вычета налогов,ООО МК Эксперт,Вакансия опубликована 25 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81037260,,Менеджмент
Стажер в отдел развития бизнеса,40,от 120 000 до 170 000 KZT до вычета налогов,ТОО BI Construction & Engineering (ТМ BI GROUP),Вакансия опубликована 17 мая 2023 в Шымкенте,Алматы,полный день,Стажировка,Английский язык;,https://almaty.hh.kz/vacancy/80547077,,
Стажер в отдел HR,40,з/п не указана,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80863208,,
Ассистент врача-стоматолога,15,от 100 000 до 120 000 KZT на руки,ИП МАМЕДОВ М.Р,Вакансия опубликована 22 мая 2023 в Шымкенте,"Шымкент, Сайрамская улица, 22",полный день,Полная занятость,Стоматология;Стерилизация инструментов;Работа с людьми;Работа в 4 руки;Внимательность к мелочам;Способность быстро обучаться;Работать в команде;Уборка;Чистоплотность;Ведение истории болезни;Опрятность;Дружелюбность;Медицинская документация;Грамотная речь;Медицинское оборудование;Работа в команде;,https://almaty.hh.kz/vacancy/80787329,,Медицина
Весовщик (Бетонный завод),85,з/п не указана,ТОО ТОО Алем Транс Жол,Вакансия опубликована 28 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81019008,,Сервисное обслуживание/производство
Системный администратор,113,з/п не указана,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80470648,,IT
Рекрутер (удаленно),118,от 350 000 KZT на руки,ТОО Oktrening,Вакансия опубликована 1 мая 2023 в Шымкенте,Алматы,удаленная работа,Полная занятость,Грамотная речь;Телефонные переговоры;Работа с большим объемом информации;Грамотность;Деловая коммуникация;Навыки презентации;Подбор сотрудников;Zoom;Оперативный поиск информации в сети Интернет;Оценка кандидатов;Массовый подбор персонала;Подбор персонала;Опытный пользователь ПК;проведение групповых интервью;,https://almaty.hh.kz/vacancy/79952258,,Менеджмент
Оператор логистики (удаленно без опыта),67,от 120 000 до 140 000 KZT до вычета налогов,ИП Онлайн,Вакансия опубликована 22 мая 2023 в Шымкенте,Алматы,удаленная работа,Полная занятость,Грамотная речь;Высокая скорость печати;Грамотность;Работа в команде;Отличная память;Английский — A1 — Начальный;Немецкий — A1 — Начальный;,https://almaty.hh.kz/vacancy/80797175,,
Акушерка/Акушер,64,от 120 000 до 130 000 KZT на руки,ТОО SHYMKENT MEDICAL SERVICES,Вакансия опубликована 26 мая 2023 в Шымкенте,"Шымкент, улица Ерманова, 11",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81066312,,Медицина
Сервисный инженер,111,от 200 000 KZT на руки,ТОО НАДЕКС СЕРВИС,Вакансия опубликована 16 мая 2023 в Шымкенте,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80481276,,Сервисное обслуживание/производство
Специалист по работе с документами,40,от 150 000 KZT на руки,ИП Пшенбаев,Вакансия опубликована 26 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81103869,,
Менеджер чата,121,от 100 000 KZT до вычета налогов,ТОО СЕЙЛЗ ЭНД СЕРВИС,Вакансия опубликована 24 мая 2023 в Шымкенте,"Шымкент, проспект Абая, 4В",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/79260453,,
Жарщик попкорна,40,от 120 000 до 120 000 KZT до вычета налогов,"ТОО Cinema property management, ТОО",Вакансия опубликована 2 мая 2023 в Шымкенте,Алматы,полный день,Полная занятость,способность быстро обучаться и легко воспринимать крупные объемы информации;,https://almaty.hh.kz/vacancy/79968203,,
