Описание,Цена,Площадь,Количество комнат,x,y,Адрес,Район,Категория на сайте,Владелец,Категория владельца,Дата обьявления,Срок аренды
"1-комнатная квартира, 46 м², 1/5 этаж помесячно",200000,46,1,76.821226305644,43.28134879092,мкр Зердели (Алгабас-6),Alatauskiy_r-n,Аренда квартир,"Тулегенова Майра, компания «Qazyna»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 55 м², 2/3 этаж помесячно",400000,55,2,76.949741,43.256384,Кунаева 85 — Казыбек Би,Medeuskiy_r-n,Аренда квартир,"Касимов Рустам, компания «ИК Челси»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 28 м², 6/9 этаж помесячно",180000,28,1,76.786434091249,43.221572460565,"мкр Шугыла, Жунисова",Nauryzbayskiy_r-n,Аренда квартир,"Тулегенова Майра, компания «Qazyna»",Специалист,2022-12-08,Помесячно
"1-комнатная квартира, 35 м², 2/2 этаж помесячно",230000,35,1,77.231049,43.293811,"мкр Дубок-2, Ул- ыкыласа 3 А — Ниже улицы Шаймерденова",Auezovskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 43 м², 5/5 этаж помесячно",200000,43,1,76.842689,43.21082,мкр Мамыр-1 10,Auezovskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"3-комнатная квартира, 74.6 м², 14/15 этаж помесячно",500000,74.6,3,76.87763398787,43.205083679576,Мустафина 35 — Рыскулбекова,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 75 м² помесячно",600000,75,2,76.894955144844,43.208147702594,Розыбакиева,Bostandykskiy_r-n,Аренда квартир,Воротиленко Алеся,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 67 м², 6/13 этаж помесячно",600000,67,2,76.923747082068,43.246190677543,А.Шарипова 100 — Жамбыла,Almalinskiy_r-n,Аренда квартир,"Баккелды Султан, компания «Avenue»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 42 м², 2/2 этаж помесячно",230000,42,2,76.939989879667,43.322667978806,Сейфуллина,Turksibskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"2-комнатная квартира, 55 м², 2/2 этаж помесячно",250000,55,2,76.895743,43.18254,мкр Нур Алатау Асемтау 61 — Ораза-абиша,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"4-комнатная квартира, 145 м², 9/15 этаж помесячно",800000,145,4,76.911678314209,43.206740838983,Ходжанова 76 — проспект Аль-Фараби,Bostandykskiy_r-n,Аренда квартир,"Медников Роман, компания «Авангард»",Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 56 м², 2/5 этаж помесячно",250000,56,2,76.835215,43.227731,Аксай4,Auezovskiy_r-n,Аренда квартир,Аханова Дидара,Специалист,2022-12-08,Помесячно
"2-комнатная квартира, 42 м², 1/4 этаж помесячно",340000,42,2,76.920842,43.227816,мкр Коктем-2 6,Bostandykskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
"1-комнатная квартира, 40 м², 1/12 этаж помесячно",170000,40,1,76.814949,43.251085,мкр Акбулак 43,Alatauskiy_r-n,Аренда квартир,MONACO REAL ESTATE,Компания,2022-12-08,Помесячно
"3-комнатная квартира, 60 м², 5/5 этаж помесячно",400000,60,3,76.892021587284,43.248316448752,Радостовцева 34 — Карасай батыра,Almalinskiy_r-n,Аренда квартир,MONACO REAL ESTATE,Компания,2022-12-08,Помесячно
"1-комнатная квартира, 35 м², 7/9 этаж помесячно",210000,35,1,76.790416,43.208369,мкр Шугыла 340/4,Nauryzbayskiy_r-n,Аренда квартир,Хозяин,Хозяин недвижимости,2022-12-08,Помесячно
