Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Apollyon""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3124486,Молодежная практика,Финансы
Техник-механик (общий профиль),Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Arena S"" (Арена S)",Вакансия опубликована 19.05.2023,Адреса нет,полный день,Проектная работа,"Измерение, проверка параметров технического состояния транспортных средств;",https://enbek.kz/ru/vacancy/tekhnik-mekhanik-(obshchii-profil)~3107108,Первое рабочее место,Сервисное обслуживание/производство
Кассир,Финансы и бухучет,от 103 500 тенге,ИП Алия,Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/kassir~3096588,Первое рабочее место,Финансы
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП АРНУР,Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~3085676,Первое рабочее место,Журналистика
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,Сулейменова А.С.,Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3088922,Молодежная практика,
Электромонтажник по кабельным сетям,Энергетика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""БиКаДа""",Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Монтаж антенно-мачтовых сооружений;,https://enbek.kz/ru/vacancy/elektromontazhnik-po-kabelnym-setyam~3087760,Первое рабочее место,Сервисное обслуживание/производство
Кассир,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""БиКаДа""",Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Учет денежных средств;,https://enbek.kz/ru/vacancy/kassir~3087581,Молодежная практика,Финансы
Учитель музыки,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-muzyki~3084117,Первое рабочее место,
Учитель математики (алгебра и геометрия),Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Описание информационных и математических моделей;,https://enbek.kz/ru/vacancy/uchitel-matematiki-(algebra-i-geometriya)~3084118,Первое рабочее место,
Учитель информатики,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Развитие творческих способностей учащихся;,https://enbek.kz/ru/vacancy/uchitel-informatiki~3084119,Первое рабочее место,
Учитель географии,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Систематизация результатов физико-химического анализа;,https://enbek.kz/ru/vacancy/uchitel-geografii~3084120,Первое рабочее место,
Помощник учителя,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Изучение лучших практик в образовании;,https://enbek.kz/ru/vacancy/pomoshchnik-uchitelya~3084121,Первое рабочее место,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Рефлексия и анализ педагогической деятельности;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3084122,Первое рабочее место,
Учитель биологии,Образование и воспитание,от 103 500 тенге,Jan-Madi,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Систематизация результатов физико-химического анализа;,https://enbek.kz/ru/vacancy/uchitel-biologii~3084123,Первое рабочее место,
Маляр-штукатур,Строительство и архитектура,от 103 500 тенге,ИП Nur-Adin,Вакансия опубликована 07.05.2023,Адреса нет,полный день,Проектная работа,Выполнение внутренней штукатурки стен;,https://enbek.kz/ru/vacancy/malyar-shtukatur~3082571,Первое рабочее место,Строительство и архитектура
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП ЕСМАГАНБЕТОВА К.М,Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Начисление и перечисление налоговых и других обязательных платежей;,https://enbek.kz/ru/vacancy/bukhgalter~3069685,Молодежная практика,Финансы
Офис-менеджер,HR и секретариат,от 103 500 тенге,ИП ЕСМАГАНБЕТОВА К.М,Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Администрирование канцелярских и офисных принадлежностей;,https://enbek.kz/ru/vacancy/ofis-menedzher~3069686,Первое рабочее место,Менеджмент
Швея,Производство,от 103 500 тенге,ИП Куанышова Л.С.,Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Подготовка эскизов и лекал;,https://enbek.kz/ru/vacancy/shveya~3071870,Первое рабочее место,Сервисное обслуживание/производство
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП Parasat Education,Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/smm-menedzher~3063281,Первое рабочее место,Журналистика
