Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер (средней квалификации),Финансы и бухучет,от 103 500 тенге,"ИП ""ЗЕЙНОЛЛА А""",Вакансия опубликована 28.05.2023,Адреса нет,полный день,Проектная работа,Составление баланса и оперативных сводных отчетов;,https://enbek.kz/ru/vacancy/bukhgalter-(srednei-kvalifikacii)~3121968,Первое рабочее место,Финансы
Инженер по компьютерам,IT и телекоммуникации,от 103 500 тенге,"ИП   ""Учебно-инновационный центр  ""Online"" """,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,"Установка и настройка системного и прикладного ПО, необходимого для функционирования ИС;",https://enbek.kz/ru/vacancy/inzhener-po-kompyuteram~3119655,Первое рабочее место,IT
Учитель физики,Образование и воспитание,от 103 500 тенге,"ИП   ""Учебно-инновационный центр  ""Online"" """,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-fiziki~3119653,Молодежная практика,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,"ИП   ""Учебно-инновационный центр  ""Online"" """,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3119652,Молодежная практика,
Художник-дизайнер (общий профиль),Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""RMC ArtVi""",Вакансия опубликована 23.05.2023,Адреса нет,полный день,Проектная работа,Согласование и сдача откорректированного материала;,https://enbek.kz/ru/vacancy/khudozhnik-dizainer-(obshchii-profil)~3105377,Молодежная практика,Журналистика
Инженер-строитель,Строительство и архитектура,от 103 500 тенге,"Филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Национальный центр качества дорожных активов"" по Актюбинской области",Вакансия опубликована 22.05.2023,Адреса нет,полный день,Проектная работа,Проведение испытаний лаборатории;,https://enbek.kz/ru/vacancy/inzhener-stroitel~3101544,Молодежная практика,Строительство и архитектура
Помощник бухгалтера,Финансы и бухучет,от 103 500 тенге,ИП БАЖЕНОВ АС,Вакансия опубликована 22.05.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/pomoshchnik-bukhgaltera~3102443,Первое рабочее место,Финансы
Преподаватель по физической культуре,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Шарықтау шыңы""",Вакансия опубликована 19.05.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/prepodavatel-po-fizicheskoi-kulture~3106908,Молодежная практика,
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ҚАШАҒАН ҚҰРЫЛЫС БІРЛЕСТІГІ""",Вакансия опубликована 18.05.2023,Адреса нет,полный день,Проектная работа,Заключение договоров и контрактов;,https://enbek.kz/ru/vacancy/yurist~3102999,Молодежная практика,Юриспруденция
Бухгалтер (средней квалификации),Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Жеткізу""",Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Исполнительность;,https://enbek.kz/ru/vacancy/bukhgalter-(srednei-kvalifikacii)~3101499,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Управление по государственным закупкам Актюбинской области""",Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Ведение установленных форм учета;,https://enbek.kz/ru/vacancy/bukhgalter~3101586,Молодежная практика,Финансы
Механик (общий профиль),Производство,от 103 500 тенге,"Акционерное общество ""Транснациональная компания ""Казхром""",Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Устранение повреждений параметров электрооборудования;,https://enbek.kz/ru/vacancy/mekhanik-(obshchii-profil)~3101339,Молодежная практика,Сервисное обслуживание/производство
Логопед-дефектолог,Образование и воспитание,от 103 500 тенге,Акгуль Конысбайкызы,Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Организация образовательного процесса;,https://enbek.kz/ru/vacancy/logoped-defektolog~3093106,Первое рабочее место,
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ТАУМАН АЛТЫНАЙ ДЕМЕУБАЕВНА,Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Маркетинговая деятельность;,https://enbek.kz/ru/vacancy/smm-menedzher~3093285,Первое рабочее место,Журналистика
Преподаватель по физической культуре,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Шарықтау шыңы""",Вакансия опубликована 16.05.2023,Адреса нет,полный день,Проектная работа,Проведение групповых и индивидуальных занятий;,https://enbek.kz/ru/vacancy/prepodavatel-po-fizicheskoi-kulture~3097506,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,ИП БАЖЕНОВ АС,Вакансия опубликована 14.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3093305,Молодежная практика,Финансы
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,Даришева,Вакансия опубликована 12.05.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~3091738,Молодежная практика,
Картограф,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""2GIS Aktobe""",Вакансия опубликована 12.05.2023,Адреса нет,полный день,Проектная работа,Модернизация географической веб-карты;,https://enbek.kz/ru/vacancy/kartograf~3080767,Молодежная практика,Строительство и архитектура
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""PROF SERVICE Аудит""",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,понятие о бухгалтерском учете;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~3074638,Первое рабочее место,Финансы
Оператор центра продаж,IT и телекоммуникации,от 103 500 тенге,"Дивизион по розничному бизнесу - филиал Акционерного общества ""Казахтелеком""",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Прием и обработка входящих обращений от клиентов и партнеров;,https://enbek.kz/ru/vacancy/operator-centra-prodazh~3075961,Первое рабочее место,IT
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Global Standart Inc""",Вакансия опубликована 03.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3065688,Молодежная практика,Финансы
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Assa-Energy""",Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Проведение технического обслуживания компьютеров и периферийного оборудования и их эксплуатация;,https://enbek.kz/ru/vacancy/tekhnik-programmist~3073620,Молодежная практика,IT
Техник по контрольно-измерительным приборам и автоматике,Производство,от 103 500 тенге,"Акционерное общество ""Транснациональная компания ""Казхром""",Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Монтажные работы контрольно-измерительных приборов и механизмов;,https://enbek.kz/ru/vacancy/tekhnik-po-kontrolno-izmeritelnym-priboram-i-avtomatike~3062175,Молодежная практика,Сервисное обслуживание/производство
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,ИП АНСАР,Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Проведение переговоров и формирование коммерческих документов и соглашений;,https://enbek.kz/ru/vacancy/smm-menedzher~3064356,Первое рабочее место,Журналистика
