Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости
Экономист,Финансы и бухучет,от 138 000 тенге,высшее,"ИП""Engineering""",Вакансия опубликована 29.05.2023,Адреса нет,полный рабочий день,временная,Контроль финансово-экономической деятельности организации;,https://enbek.kz/ru/vacancy/ekonomist~3122535,Молодежная практика
Логопед-дефектолог,Образование и воспитание,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Little Step Almaty""",Вакансия опубликована 26.05.2023,Адреса нет,полный рабочий день,временная,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/logoped-defektolog~3120523,Молодежная практика
Бухгалтер,Финансы и бухучет,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Интернет Бухгалтерия""",Вакансия опубликована 25.05.2023,Адреса нет,полный рабочий день,временная,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3118666,Молодежная практика
Маркетолог,Маркетинг и СМИ,от 138 000 тенге,высшее,"Коммунальное государственное учреждение ""Центр общественного развития города Алматы"" Управления общественного развития города Алматы",Вакансия опубликована 25.05.2023,Адреса нет,полный рабочий день,временная,Проведение анализа требований потребителей согласно результатам маркетинговых исследований;,https://enbek.kz/ru/vacancy/marketolog~3118564,Молодежная практика
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 138 000 тенге,высшее,"Товарищество с ограниченной ответственностью ""Trinity sportmed""",Вакансия опубликована 23.05.2023,Адреса нет,полный рабочий день,временная,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3111875,Молодежная практика
Бухгалтер,Финансы и бухучет,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"ИП ""Consult Infinity""",Вакансия опубликована 22.05.2023,Адреса нет,полный рабочий день,временная,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3112826,Первое рабочее место
Юрисконсульт,Юриспруденция,от 138 000 тенге,техническое и профессиональное,МЫРЗАЛЫ ЕРБОЛ ТӨЛЕГЕНҰЛЫ,Вакансия опубликована 22.05.2023,Адреса нет,полный рабочий день,временная,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yuriskonsult~3108689,Молодежная практика
Техник-проектировщик,Строительство и архитектура,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""PROFPROEKTIR""",Вакансия опубликована 18.05.2023,Адреса нет,полный рабочий день,временная,Подготовка проектной документации;,https://enbek.kz/ru/vacancy/tekhnik-proektirovshchik~3105063,Молодежная практика
Учитель биологии,Образование и воспитание,от 138 000 тенге,высшее,"Общественное объединение ""Федерация Восточных единоборств Спортивный клуб ""КАБЫЛАН""",Вакансия опубликована 16.05.2023,Адреса нет,полный рабочий день,временная,Систематизация результатов физико-химического анализа;,https://enbek.kz/ru/vacancy/uchitel-biologii~3098987,Молодежная практика
Журналист,Маркетинг и СМИ,от 138 000 тенге,техническое и профессиональное,ИП Әділбаев,Вакансия опубликована 16.05.2023,Адреса нет,полный рабочий день,временная,Вести переговоры;,https://enbek.kz/ru/vacancy/zhurnalist~3097736,Молодежная практика
Модельер-конструктор,Производство,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""Попутный Ветер""",Вакансия опубликована 15.05.2023,Адреса нет,полный рабочий день,временная,Построение модельных конструкций и лекал (трикотаж и головные уборы);,https://enbek.kz/ru/vacancy/modeler-konstruktor~3095285,Молодежная практика
Маркетолог,Маркетинг и СМИ,от 138 000 тенге,техническое и профессиональное,"Общественное объединение инвалидов ""Seriktestik Adildik Tendik""",Вакансия опубликована 15.05.2023,Адреса нет,полный рабочий день,временная,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/marketolog~3094207,Молодежная практика
Учитель иностранного языка,Образование и воспитание,от 138 000 тенге,высшее,ИП Кубелекова Карлыгаш Габиевна,Вакансия опубликована 12.05.2023,Адреса нет,полный рабочий день,временная,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3093061,Молодежная практика
Оператор-телефонист,IT и телекоммуникации,от 103 500 тенге,высшее,"Товарищество с ограниченной ответственностью ""БиоТрэйд""",Вакансия опубликована 11.05.2023,Адреса нет,полный рабочий день,временная,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/operator-telefonist~3089021,Молодежная практика
Юрист,Юриспруденция,от 138 000 тенге,техническое и профессиональное,"Частный фонд ""Таңғы шуақ""",Вакансия опубликована 06.05.2023,Адреса нет,полный рабочий день,временная,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~3082440,Молодежная практика
Пианист,Культура и спорт,от 138 000 тенге,техническое и профессиональное,"Творческая организация ""Central""",Вакансия опубликована 05.05.2023,Адреса нет,полный рабочий день,временная,Профессиональная игра на инструменте;,https://enbek.kz/ru/vacancy/pianist~3082362,Молодежная практика
Маркетолог,Маркетинг и СМИ,от 103 500 тенге,общее среднее (с 1 по 11/12 классы),"Товарищество с ограниченной ответственностью ""IT DASS Solutions""",Вакансия опубликована 05.05.2023,Адреса нет,полный рабочий день,временная,Проведение переговоров и формирование коммерческих документов и соглашений;,https://enbek.kz/ru/vacancy/marketolog~3082070,Первое рабочее место
Филолог,Маркетинг и СМИ,от 138 000 тенге,техническое и профессиональное,"Товарищество с ограниченной ответственностью ""КБК ЛОГИСТИК""",Вакансия опубликована 04.05.2023,Адреса нет,полный рабочий день,временная,Редактирование и исправление переведенного материала;,https://enbek.kz/ru/vacancy/filolog~3078984,Молодежная практика
Преподаватель (в системе специального образования),Образование и воспитание,от 138 000 тенге,техническое и профессиональное,Sapsan,Вакансия опубликована 04.05.2023,Адреса нет,полный рабочий день,временная,Выявление причин возникновения дефектов;,https://enbek.kz/ru/vacancy/prepodavatel-(v-sisteme-specialnogo-obrazovaniya)~3078690,Молодежная практика
Швея,Производство,от 138 000 тенге,техническое и профессиональное,ИП Інжу өнер орталығы,Вакансия опубликована 03.05.2023,Адреса нет,полный рабочий день,временная,Подготовка эскизов и лекал;,https://enbek.kz/ru/vacancy/shveya~3093389,Молодежная практика
