Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Разработчик приложений,IT и телекоммуникации,от 103 500 тенге,ИП Дощанова,Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Разработка мобильных приложений;,https://enbek.kz/ru/vacancy/razrabotchik-prilozhenii~3124502,Молодежная практика,IT
Техник-программист,IT и телекоммуникации,от 103 500 тенге,MARTEBE,Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,"Проверка технического состояния отдельных узлов, блоков и механизмов и приборов;",https://enbek.kz/ru/vacancy/tekhnik-programmist~3116463,Молодежная практика,IT
Техник по кадастру и землеустройству,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Астана-Жобалау""",Вакансия опубликована 18.05.2023,Адреса нет,полный день,Проектная работа,"Знать методологию кадастровой оценки земли, градостроительные работы и земельный кадастр;",https://enbek.kz/ru/vacancy/tekhnik-po-kadastru-i-zemleustroistvu~3103873,Молодежная практика,Строительство и архитектура
Маркетолог,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Мир спорта""",Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/marketolog~3102293,Молодежная практика,Журналистика
Швея,Производство,от 103 500 тенге,"Общественный фонд ""Путь мастерства""",Вакансия опубликована 16.05.2023,Адреса нет,полный день,Проектная работа,"Умение определять дефекты материалов, кроя, полуфабрикатов и изделий;",https://enbek.kz/ru/vacancy/shveya~3086591,Молодежная практика,Сервисное обслуживание/производство
Переводчик (письменный),Наука и консалтинг,от 103 500 тенге,"Государственное учреждение ""Аппарат акима района ""Есиль"" города Астаны""",Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Компьютерная грамотность;,https://enbek.kz/ru/vacancy/perevodchik-(pismennyi)~3095447,Молодежная практика,Наука
Делопроизводитель,HR и секретариат,от 103 500 тенге,ИП Zhanel Almat,Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~3086119,Молодежная практика,Менеджмент
Юрист,Юриспруденция,от 103 500 тенге,ИП Zhanel Almat,Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Рассмотрение жалоб и претензий по спорным вопросам;,https://enbek.kz/ru/vacancy/yurist~3086120,Молодежная практика,Юриспруденция
Финансист,Финансы и бухучет,от 103 500 тенге,ИП Zhanel Almat,Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Финансовое планирование;,https://enbek.kz/ru/vacancy/finansist~3086121,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Базис-Астана""",Вакансия опубликована 12.05.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~3091148,Молодежная практика,Юриспруденция
Учитель географии,Образование и воспитание,от 103 500 тенге,MARTEBE,Вакансия опубликована 12.05.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-geografii~3090945,Молодежная практика,
Инженер по компьютерам,IT и телекоммуникации,от 103 500 тенге,MARTEBE,Вакансия опубликована 12.05.2023,Адреса нет,полный день,Проектная работа,Выполнение требований технических заданий на компьютерное аппаратное обеспечение;,https://enbek.kz/ru/vacancy/inzhener-po-kompyuteram~3090923,Молодежная практика,IT
Воспитатель,Образование и воспитание,от 103 500 тенге,"Ип ""Easy Language""",Вакансия опубликована 12.05.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/vospitatel~3082376,Молодежная практика,
