Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Делопроизводитель,HR и секретариат,от 91 890 тенге,"Государственное учреждение ""Управление строительства Западно-Казахстанской области""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/deloproizvoditel~3122778,Молодежная практика,Менеджмент
Педагог-организатор,Образование и воспитание,от 103 500 тенге,Койбагарова Дидар,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Разработка обучающих программ;,https://enbek.kz/ru/vacancy/pedagog-organizator~3117721,Молодежная практика,
Преподаватель вокала (пения),Образование и воспитание,от 103 500 тенге,Койбагарова Дидар,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Знание основ теории музыки и сольфеджио;,https://enbek.kz/ru/vacancy/prepodavatel-vokala-(peniya)~3117722,Молодежная практика,
Преподаватель ритмики и хореографии,Образование и воспитание,от 103 500 тенге,Койбагарова Дидар,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Развитие творческих способностей учащихся;,https://enbek.kz/ru/vacancy/prepodavatel-ritmiki-i-khoreografii~3117718,Молодежная практика,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,Койбагарова Дидар,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3117719,Молодежная практика,
Учитель технологии,Образование и воспитание,от 103 500 тенге,Койбагарова Дидар,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Наставничество и обучение;,https://enbek.kz/ru/vacancy/uchitel-tekhnologii~3117720,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,Койбагарова Дидар,Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~3117723,Молодежная практика,
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"ГУ ""Управление культуры, развития языков и архивного дела Западно-Казахстанской области""",Вакансия опубликована 19.05.2023,Адреса нет,полный день,Проектная работа,"Исправление неисправностей компьютеров, периферийного оборудования и программного обеспечения;",https://enbek.kz/ru/vacancy/tekhnik-programmist~3107860,Молодежная практика,IT
Юрист,Юриспруденция,от 103 500 тенге,Государственное учреждение «Управление полиции города Уральска Департамента полиции Западно–Казахстанской области Министерства внутренних дел Республики Казахстан»,Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Заключение договоров и контрактов;,https://enbek.kz/ru/vacancy/yurist~3072899,Молодежная практика,Юриспруденция
Инженер по информационно-вычислительной системе,IT и телекоммуникации,от 91 890 тенге,"Государственное коммунальное казенное предприятие ""Уральский колледж информационных технологий"" Управления образования Акимата Западно-Казахстанской области",Вакансия опубликована 28.04.2023,Адреса нет,полный день,Проектная работа,"Установка и настройка системного и прикладного ПО, необходимого для функционирования ИС;",https://enbek.kz/ru/vacancy/inzhener-po-informacionno-vychislitelnoi-sisteme~3094634,Молодежная практика,IT
