Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Дизайнер Web-сайтов,IT и телекоммуникации,от 103 500 тенге,ИП Айзере,Вакансия опубликована 23.05.2023,Адреса нет,полный день,Проектная работа,Подготовка графических материалов для включения в графический интерфейс;,https://enbek.kz/ru/vacancy/dizainer-web-saitov~3104520,Первое рабочее место,IT
Маляр-штукатур,Строительство и архитектура,от 103 500 тенге,ИП БАКИРБАЕВ ДАНИЯР ТУРСЫНБЕКОВИЧ,Вакансия опубликована 19.05.2023,Адреса нет,полный день,Проектная работа,Выполнение внутренней штукатурки стен;,https://enbek.kz/ru/vacancy/malyar-shtukatur~3098170,Первое рабочее место,Строительство и архитектура
Администратор информационных систем,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Криптто""",Вакансия опубликована 19.05.2023,Адреса нет,полный день,Проектная работа,Исправление неисправностей компьютерных систем и комплексов;,https://enbek.kz/ru/vacancy/administrator-informacionnykh-sistem~3098199,Первое рабочее место,IT
Закройщик,Производство,от 103 500 тенге,ИП Айзере,Вакансия опубликована 18.05.2023,Адреса нет,полный день,Проектная работа,Раскрой материалов;,https://enbek.kz/ru/vacancy/zakroishchik~3104558,Молодежная практика,Сервисное обслуживание/производство
Помощник юриста,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение ""Администратор судов по Восточно-Казахстанской области Департамента по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарата Верховного Суда Республики Казахстан)""",Вакансия опубликована 18.05.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3094958,Молодежная практика,Юриспруденция
Преподаватель по физической культуре,Культура и спорт,от 103 500 тенге,"Коммунальное государственное учреждение ""Спортивный клуб для людей с ограниченными возможностями"" управления физической культуры и спорта Восточно-Казахстанской области",Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Моделирование учебно-тренировочных занятий;,https://enbek.kz/ru/vacancy/prepodavatel-po-fizicheskoi-kulture~3100370,Молодежная практика,
Помощник юриста,Юриспруденция,от 103 500 тенге,ЧСИ ЖАЙСАНБАЕВ КУАНЫШ МАКСАТОВИЧ,Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3093045,Молодежная практика,Юриспруденция
Медицинская сестра (высокой квалификации),Медицина и фармацевтика,от 103 500 тенге,"ИП ""DEMEY""",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Ассистирование при малых акушерских и гинекологических операциях;,https://enbek.kz/ru/vacancy/medicinskaya-sestra-(vysokoi-kvalifikacii)~3111098,Молодежная практика,Медицина
IT-дизайнер,IT и телекоммуникации,от 103 500 тенге,ИП Айзере,Вакансия опубликована 05.05.2023,Адреса нет,полный день,Проектная работа,Планирование и выполнение работ по системному анализу;,https://enbek.kz/ru/vacancy/it-dizainer~3073497,Первое рабочее место,IT
Делопроизводитель,Финансы и бухучет,от 103 500 тенге,"республиканское государственное учреждение ""Управление государственных доходов по городу Усть-Каменогорск Департамента государственных доходов по Восточно-Казахстанской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Регистрация входящей и исходящей информации;,https://enbek.kz/ru/vacancy/deloproizvoditel~3079507,Молодежная практика,Финансы
