Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Делопроизводитель,HR и секретариат,от 103 500 тенге,"ИП ""ДРЦ Знайка""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/deloproizvoditel~3114527,Молодежная практика,Менеджмент
Воспитатель,Образование и воспитание,от 103 500 тенге,"ИП ""ДРЦ Знайка""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/vospitatel~3114526,Молодежная практика,
SMM-менеджер,Маркетинг и СМИ,от 103 500 тенге,"ИП ""ДРЦ Знайка""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,"Информирование о маркетинговых акциях, продуктах и специальных предложений;",https://enbek.kz/ru/vacancy/smm-menedzher~3114528,Первое рабочее место,Журналистика
Инженер-программист,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Туристская Компания GuVa tour KZ""",Вакансия опубликована 23.05.2023,Адреса нет,полный день,Проектная работа,Сервисное обслуживание аппаратного и программного обеспечения;,https://enbek.kz/ru/vacancy/inzhener-programmist~3111140,Молодежная практика,IT
Детский психолог,Образование и воспитание,от 103 500 тенге,ИП Шуакпаева,Вакансия опубликована 23.05.2023,Адреса нет,полный день,Проектная работа,Отбор психологического инструментария исследования;,https://enbek.kz/ru/vacancy/detskii-psikholog~3111558,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,"Общественный фонд ""Объединение родителей детей-аутистов Экибастуза""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~3044452,Молодежная практика,
Преподаватель языковой школы,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Mailim-Kazakhstan""",Вакансия опубликована 12.04.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на английском языке;,https://enbek.kz/ru/vacancy/prepodavatel-yazykovoi-shkoly~3027276,Первое рабочее место,
Электрогазосварщик,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ЭКИБАСТУЗ-ТЕХНОАЛЬЯНС""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Резка труб и навертка соединительных деталей;,https://enbek.kz/ru/vacancy/elektrogazosvarshchik~3026621,Молодежная практика,Строительство и архитектура
Инспектор по кадрам,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ЭКИБАСТУЗ-ТЕХНОАЛЬЯНС""",Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,"Оформление приказов приема, перевода и увольнения работников;",https://enbek.kz/ru/vacancy/inspektor-po-kadram~3026622,Молодежная практика,Менеджмент
Электрик цеха,Энергетика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Экибастузское предприятие инвалидов""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,Электромонтаж освещения и осветительных сетей;,https://enbek.kz/ru/vacancy/elektrik-cekha~3011254,Молодежная практика,Сервисное обслуживание/производство
Ассистент (общий профиль),HR и секретариат,от 103 500 тенге,"Коммунальное государственное учреждение ""Центр развития молодежных инициатив"" отдела внутренней политики акимата города Экибастуза",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,Ведение делопроизводства;,https://enbek.kz/ru/vacancy/assistent-(obshchii-profil)~3010770,Молодежная практика,Менеджмент
