Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Юрист,Юриспруденция,от 103 500 тенге,"Общественное объединение ""Центр развития молодежи ""Тиек""",Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~3106664,Первое рабочее место,Юриспруденция
Учитель средней школы (другие предметы),Образование и воспитание,от 103 500 тенге,Государственное учреждение «Департамент по обеспечению качества в сфере образования Карагандинской области Комитета по обеспечению качества в сфере образования Министерства просвещения Республики Казахстан»,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Владение современными технологиями и методиками преподавания;,https://enbek.kz/ru/vacancy/uchitel-srednei-shkoly-(drugie-predmety)~3085577,Молодежная практика,
Делопроизводитель,HR и секретариат,от 103 500 тенге,Государственное учреждение «Департамент по обеспечению качества в сфере образования Карагандинской области Комитета по обеспечению качества в сфере образования Министерства просвещения Республики Казахстан»,Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Организация документооборота;,https://enbek.kz/ru/vacancy/deloproizvoditel~3085549,Молодежная практика,Менеджмент
Электрогазосварщик,Производство,от 103 500 тенге,"Акционерное общество ""Карагандаэнергоремонт""",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Автоматическая кислородная резка;,https://enbek.kz/ru/vacancy/elektrogazosvarshchik~3085404,Первое рабочее место,Сервисное обслуживание/производство
Детский психолог,Образование и воспитание,от 103 500 тенге,"Частное учреждение Дошкольный мини-центр ""Баспалдақ""",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Оценка психологического состояния учащегося;,https://enbek.kz/ru/vacancy/detskii-psikholog~3084149,Первое рабочее место,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,"Общественное объединение ""Реабилитационный центр инвалидов Логос-Караганда""",Вакансия опубликована 05.05.2023,Адреса нет,полный день,Проектная работа,Рефлексия и анализ педагогической деятельности;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3081794,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Центр исследований и развития личности Талант-Менеджмент""",Вакансия опубликована 03.05.2023,Адреса нет,полный день,Проектная работа,Знание методов диагностики личностного потенциала обучающего;,https://enbek.kz/ru/vacancy/vospitatel~3077043,Молодежная практика,
Помощник юриста,Юриспруденция,от 103 500 тенге,"""Филиал Республиканской палаты частных судебных исполнителей в Карагандинской области - региональная палата частных судебных исполнителей Карагандинской области""",Вакансия опубликована 25.04.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3063351,Молодежная практика,Юриспруденция
Менеджер по онлайн-продажам,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""FinInvest AG""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Анализ выполнения плана продаж;,https://enbek.kz/ru/vacancy/menedzher-po-onlain-prodazham~3043994,Молодежная практика,Журналистика
Юрист,Юриспруденция,от 103 500 тенге,ИП АБДИКЕРОВ АРСЛАН МУРАТБАЕВИЧ,Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Контроль соблюдения законодательных актов;,https://enbek.kz/ru/vacancy/yurist~3044005,Молодежная практика,Юриспруденция
Монтажник информационно-коммуникационного оборудования,IT и телекоммуникации,от 103 500 тенге,ИП Шабанбаев,Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Монтаж кабельных сетей;,https://enbek.kz/ru/vacancy/montazhnik-informacionno-kommunikacionnogo-oborudovaniya~3045942,Молодежная практика,IT
Сетевой инженер,IT и телекоммуникации,от 103 500 тенге,ИП Шабанбаев,Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Монтаж и настройка систем видеонаблюдения, СКУД организации;",https://enbek.kz/ru/vacancy/setevoi-inzhener~3045943,Молодежная практика,IT
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Управление природных ресурсов и регулирования природопользования Карагандинской области""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~3046275,Молодежная практика,Юриспруденция
Учитель физической культуры и спорта,Культура и спорт,от 103 500 тенге,"Коммунальное государственное учреждение ""Центр оказания специальных социальных услуг ""Активное долголетие"" города Караганды"" Отдела занятости и социальных программ города Караганды",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Планирование тренировочного процесса;,https://enbek.kz/ru/vacancy/uchitel-fizicheskoi-kultury-i-sporta~3045759,Молодежная практика,
Преподаватель религии и религиоведения,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Центр изучения и анализа проблем межконфессиональных отношений Карагандинской области Управления по делам религий Карагандинской области""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Ведение документации и формирование отчетности;,https://enbek.kz/ru/vacancy/prepodavatel-religii-i-religiovedeniya~3042727,Молодежная практика,
Делопроизводитель,HR и секретариат,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Bastau Expert""",Вакансия опубликована 19.04.2023,Адреса нет,полный день,Проектная работа,Ведение документации и формирование отчетности;,https://enbek.kz/ru/vacancy/deloproizvoditel~3042737,Молодежная практика,Менеджмент
Юрист,Юриспруденция,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Центр Ипотеки Караганды""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,"Регистрация юридических лиц, эмиссий ценных акций;",https://enbek.kz/ru/vacancy/yurist~3058643,Молодежная практика,Юриспруденция
Инженер по компьютерам,IT и телекоммуникации,от 103 500 тенге,"Карагандинское областное правление - филиал общественного объединения ""Казахское общество слепых""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Выполнение требований технических заданий на компьютерное аппаратное обеспечение;,https://enbek.kz/ru/vacancy/inzhener-po-kompyuteram~3042790,Молодежная практика,IT
