Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Экономист,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Управление координации занятости и социальных программ Акмолинской области""",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,Внедрение плановой и учетной документации;,https://enbek.kz/ru/vacancy/ekonomist~3120074,Молодежная практика,Финансы
Кредитный администратор,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Микрофинансовая организация ""Atameken Aqmola""",Вакансия опубликована 27.03.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/kreditnyi-administrator~2998985,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Государственное коммунальное казенное предприятие ""Детский сад ""Нурай"" города Кокшетау при отделе образования по городу Кокшетау управления образования Акмолинской области""",Вакансия опубликована 10.03.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2976931,Молодежная практика,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Көкшетау Су Арнасы"" при акимате города Кокшетау",Вакансия опубликована 06.03.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~2969141,Молодежная практика,Финансы
Учитель информатики,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное учреждение ""Қоғамдық даму орталығы"" управления внутренней политики Акмолинской области",Вакансия опубликована 22.02.2023,Адреса нет,полный день,Проектная работа,,https://enbek.kz/ru/vacancy/uchitel-informatiki~2944001,Молодежная практика,
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Акмолинский областной филиал общественного объединения ""Молодежное крыло ""Жастар Рухы"" при партии ""AMANAT""",Вакансия опубликована 11.01.2023,Адреса нет,полный день,Проектная работа,Обслуживание локальных сетей и сетвого оборудования;,https://enbek.kz/ru/vacancy/tekhnik-programmist~2826035,Молодежная практика,IT
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Управление Комитета по правовой статистике и специальным учетам Генеральной прокуратуры Республики Казахстан по Акмолинской области""",Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Контроль соблюдения законодательных актов;,https://enbek.kz/ru/vacancy/yurist~2837935,Молодежная практика,Юриспруденция
Помощник юриста,Юриспруденция,от 103 500 тенге,Филиал республиканского государственного учреждения «Администратор судов по Акмолинской области Департамента по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарата Верховного Суда Республики Казахстан)» - Канцелярия специализированного межрайонного суда по делам несовершеннолетних Акмолинской области,Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2822638,Молодежная практика,Юриспруденция
Юрист,Юриспруденция,от 103 500 тенге,"республиканское государственное учреждение ""Управление государственных доходов по городу Кокшетау Департамента государственных доходов по Акмолинской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yurist~2824450,Молодежная практика,Юриспруденция
Экономист,Финансы и бухучет,от 103 500 тенге,"республиканское государственное учреждение ""Управление государственных доходов по городу Кокшетау Департамента государственных доходов по Акмолинской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 10.01.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета;,https://enbek.kz/ru/vacancy/ekonomist~2824451,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,"Акмолинский областной филиал акционерного общества ""Единый накопительный пенсионный фонд""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Умение работать в команде;,https://enbek.kz/ru/vacancy/yurist~2815592,Молодежная практика,Юриспруденция
Техник (общий профиль),Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Кокше-Эгида""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,"Монтаж (демонтаж) отдельных узлов, блоков и механизмов и приборов тех.оборудования;",https://enbek.kz/ru/vacancy/tekhnik-(obshchii-profil)~2816199,Первое рабочее место,Сервисное обслуживание/производство
Помощник юриста,Юриспруденция,от 103 500 тенге,"Акционерное общество ""Атамекен-Агро""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Проверка соответствия законодательству документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2816907,Первое рабочее место,Юриспруденция
Помощник юриста,Юриспруденция,от 103 500 тенге,"филиал Республиканского государственного учреждения ""Администратор судов по Акмолинской области Департамента по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарата Верховного Суда Республики Казахстан)"" - Канцелярия специализированного суда по административным правонарушениям города Кокшетау Акмолинской области",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Анализ законодательных требований и стандартов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~2817385,Молодежная практика,Юриспруденция
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Аппарат акима города Кокшетау"" Акмолинской области",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yurist~2817435,Молодежная практика,Юриспруденция
Кредитный менеджер,Финансы и бухучет,от 103 500 тенге,"Филиал Акционерного общества ""Банк Фридом Финанс Казахстан"" в городе Кокшетау",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Выявление потребности и пожеланий клиентов;,https://enbek.kz/ru/vacancy/kreditnyi-menedzher~2818788,Молодежная практика,Финансы
Экономист по планированию,Финансы и бухучет,от 103 500 тенге,"Акционерное общество ""Атамекен-Агро""",Вакансия опубликована 09.01.2023,Адреса нет,полный день,Проектная работа,Внедрение плановой и учетной документации;,https://enbek.kz/ru/vacancy/ekonomist-po-planirovaniyu~2825367,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,Филиал республиканского государственного учреждения «Администратор судов по Акмолинской области Департамента по обеспечению деятельности судов при Верховном Суде Республики Казахстан (аппарата Верховного Суда Республики Казахстан)» - Канцелярия специализированного межрайонного суда по уголовным делам Акмолинской области,Вакансия опубликована 06.01.2023,Адреса нет,полный день,Проектная работа,Заключение договоров и контрактов;,https://enbek.kz/ru/vacancy/yurist~2807847,Молодежная практика,Юриспруденция
Геодезист,Строительство и архитектура,от 103 500 тенге,"Акмолинский филиал Республиканского государственного предприятия на праве хозяйственного ведения ""Республиканский центр государственного градостроительного планирования и кадастра"" Комитета по делам строительства и жилищно-коммунального хозяйства Министерства индустрии и инфраструктурного развития Республики Казахстан",Вакансия опубликована 06.01.2023,Адреса нет,полный день,Проектная работа,Проведение геодезических работ;,https://enbek.kz/ru/vacancy/geodezist~2808364,Молодежная практика,Строительство и архитектура
