Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Юрист,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент государственных доходов по Костанайской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/yurist~3122993,Молодежная практика,Юриспруденция
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент государственных доходов по Костанайской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3122997,Молодежная практика,Финансы
Эколог,Энергетика,от 91 890 тенге,"Государственное учреждение ""Управление природных ресурсов и регулирования природопользования акимата Костанайской области""",Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Охрана окружающей среды и экологической безопасности;,https://enbek.kz/ru/vacancy/ekolog~3122635,Молодежная практика,Сервисное обслуживание/производство
Оператор конвейерной линии оборудования,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Резино-технические Отходы Костанай""",Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Знание производственных процессов;,https://enbek.kz/ru/vacancy/operator-konveiernoi-linii-oborudovaniya~3117444,Первое рабочее место,Сервисное обслуживание/производство
Помощник юриста,Юриспруденция,от 91 890 тенге,"Государственное учреждение ""Управление Комитета по правовой статистике и специальным учетам Генеральной прокуратуры Республики Казахстан по Костанайской области""",Вакансия опубликована 12.05.2023,Адреса нет,полный день,Проектная работа,Проверка соответствия законодательству документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3092879,Первое рабочее место,Юриспруденция
Бухгалтер,Финансы и бухучет,от 91 890 тенге,"Государственное коммунальное предприятие ""Костанайская теплоэнергетическая компания"" акимата города Костаная государственного учреждения ""Отдел жилищно-коммунального хозяйства, пассажирского транспорта и автомобильных дорог акимата города Костаная""",Вакансия опубликована 10.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3087458,Молодежная практика,Финансы
Аудитор,Финансы и бухучет,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент государственных доходов по Костанайской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Составление отчетов и договор на проведение аудита;,https://enbek.kz/ru/vacancy/auditor~3038922,Молодежная практика,Финансы
Адвокат,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент государственных доходов по Костанайской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,"Умение работать с информацией и готовить доклады, справки и т.д.;",https://enbek.kz/ru/vacancy/advokat~3038924,Молодежная практика,Юриспруденция
Инженер по компьютерам,IT и телекоммуникации,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент государственных доходов по Костанайской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Техническая поддержка разработки документации компьютерного аппаратного обеспечения;,https://enbek.kz/ru/vacancy/inzhener-po-kompyuteram~3038925,Молодежная практика,IT
Финансист,Финансы и бухучет,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент государственных доходов по Костанайской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 13.04.2023,Адреса нет,полный день,Проектная работа,Финансовое планирование;,https://enbek.kz/ru/vacancy/finansist~3038923,Молодежная практика,Финансы
Учитель казахского языка и литературы,Образование и воспитание,от 91 890 тенге,"Государственное учреждение ""Аппарат акима Костанайской области""",Вакансия опубликована 12.04.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-kazakhskogo-yazyka-i-literatury~3037311,Молодежная практика,
Юрист,Юриспруденция,от 103 500 тенге,"Республиканское государственное учреждение ""Департамент государственных доходов по Костанайской области Комитета государственных доходов Министерства финансов Республики Казахстан""",Вакансия опубликована 04.04.2023,Адреса нет,полный день,Проектная работа,Заключение договоров и контрактов;,https://enbek.kz/ru/vacancy/yurist~3016773,Первое рабочее место,Юриспруденция
Каменщик,Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""СарыаркаАвтоПром""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,"Подготовка участка к строительству, реконструкции и ремонту;",https://enbek.kz/ru/vacancy/kamenshchik~3041988,Молодежная практика,Строительство и архитектура
Воспитатель,Образование и воспитание,от 103 500 тенге,"Общественный фонд ""Городской фонд по работе с детьми и молодежью ""Надежда""",Вакансия опубликована 16.03.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/vospitatel~2987968,Первое рабочее место,
Экономист,Финансы и бухучет,от 103 500 тенге,"Филиал Акционерного общества ""Банк ЦентрКредит"" в городе Костанай",Вакансия опубликована 03.03.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета;,https://enbek.kz/ru/vacancy/ekonomist~2964577,Молодежная практика,Финансы
Учитель изобразительного искусства,Образование и воспитание,от 103 500 тенге,"Общественный фонд ""Городской фонд по работе с детьми и молодежью ""Надежда""",Вакансия опубликована 24.02.2023,Адреса нет,полный день,Проектная работа,Разработка эскизов рисунков;,https://enbek.kz/ru/vacancy/uchitel-izobrazitelnogo-iskusstva~2941842,Молодежная практика,
