Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,"ИП Коррекционно-развивающий центр ""Доверие""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Разработка обучающих программ;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~3124746,Молодежная практика,
Воспитатель,Образование и воспитание,от 103 500 тенге,"ИП Коррекционно-развивающий центр ""Доверие""",Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Проведение воспитательных мероприятий;,https://enbek.kz/ru/vacancy/vospitatel~3124747,Молодежная практика,
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,Дом Авторских Работ,Вакансия опубликована 29.05.2023,Адреса нет,полный день,Проектная работа,Добропорядочность;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~3123274,Молодежная практика,
Врач-стоматолог,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""DiDi dent""",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,"Выполнение анестезии для проведения терапевтического, хирургического лечения у детей;",https://enbek.kz/ru/vacancy/vrach-stomatolog~3121368,Первое рабочее место,Медицина
Учитель информатики,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Ясли-сад № 29 города Павлодара-Образовательно-развивающий центр Мерей"" отдела образования города Павлодара, управления образования Павлодарской области",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,Планирование учебного занятия;,https://enbek.kz/ru/vacancy/uchitel-informatiki~3120676,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Ясли-сад № 29 города Павлодара-Образовательно-развивающий центр Мерей"" отдела образования города Павлодара, управления образования Павлодарской области",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3120677,Молодежная практика,Финансы
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Ясли-сад № 29 города Павлодара-Образовательно-развивающий центр Мерей"" отдела образования города Павлодара, управления образования Павлодарской области",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,Сестринский уход;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3120679,Молодежная практика,Медицина
Воспитатель,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Ясли-сад № 29 города Павлодара-Образовательно-развивающий центр Мерей"" отдела образования города Павлодара, управления образования Павлодарской области",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,Проведение занятия для творческого развития детей;,https://enbek.kz/ru/vacancy/vospitatel~3120680,Молодежная практика,
Помощник воспитателя,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Ясли-сад № 29 города Павлодара-Образовательно-развивающий центр Мерей"" отдела образования города Павлодара, управления образования Павлодарской области",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,Игра с детьми;,https://enbek.kz/ru/vacancy/pomoshchnik-vospitatelya~3120681,Молодежная практика,
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Бухгалтерская компания ""Elite bookkeeper""",Вакансия опубликована 26.05.2023,Адреса нет,полный день,Проектная работа,Стрессоустойчивость;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~3120599,Первое рабочее место,Финансы
Помощник воспитателя,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Ясли-сад № 9 города Павлодара"" отдела образования города Павлодара, управления образования Павлодарской области",Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Уход за младенцем;,https://enbek.kz/ru/vacancy/pomoshchnik-vospitatelya~3118987,Молодежная практика,
Офис-менеджер,HR и секретариат,от 103 500 тенге,"Общественное объединение инвалидов ""Реабилитационный Центр ""САМАЛ""",Вакансия опубликована 25.05.2023,Адреса нет,полный день,Проектная работа,Подготовка писем и обращений;,https://enbek.kz/ru/vacancy/ofis-menedzher~3117474,Первое рабочее место,Менеджмент
Учитель истории,Образование и воспитание,от 103 500 тенге,ИП  AINUR,Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,Преподавание предметов на казахском языке;,https://enbek.kz/ru/vacancy/uchitel-istorii~3121414,Молодежная практика,
