Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Воспитатель,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Дворец творчества детей и молодежи"" отдела образования города Семей управления образования области Абай",Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,"Сотрудничество с родителями, социальными партнерами;",https://enbek.kz/ru/vacancy/vospitatel~3106827,Молодежная практика,
Педагог-организатор,Образование и воспитание,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Дворец творчества детей и молодежи"" отдела образования города Семей управления образования области Абай",Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,"Подготовка и разработка идейно-тематической базы, написание сценария;",https://enbek.kz/ru/vacancy/pedagog-organizator~3106828,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,Коммунальное государственное предприятие на праве хозяйственного ведения «Поликлиника № 2 города Семей» управления здравоохранения области Абай,Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~3107454,Молодежная практика,Финансы
Акушер(ка),Медицина и фармацевтика,от 103 500 тенге,Коммунальное государственное предприятие на праве хозяйственного ведения «Поликлиника № 2 города Семей» управления здравоохранения области Абай,Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,Проведение диспансеризации и патронажа беременных и родильниц;,https://enbek.kz/ru/vacancy/akusher(ka)~3107455,Молодежная практика,Медицина
Техник-программист,IT и телекоммуникации,от 103 500 тенге,Коммунальное государственное предприятие на праве хозяйственного ведения «Поликлиника № 2 города Семей» управления здравоохранения области Абай,Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,Проведение технического обслуживания оборудования;,https://enbek.kz/ru/vacancy/tekhnik-programmist~3107456,Молодежная практика,IT
Закройщик,Производство,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""УК ЮНИС""",Вакансия опубликована 23.05.2023,Адреса нет,полный день,Проектная работа,"Раскрой шерстяных, шелковых, хлопчатобумажных трикотажных полотен;",https://enbek.kz/ru/vacancy/zakroishchik~3104308,Первое рабочее место,Сервисное обслуживание/производство
Юрист,Юриспруденция,от 103 500 тенге,ЧСИ КАЖЕКЕНОВ ДАИР СЕРИККАНОВИЧ,Вакансия опубликована 23.05.2023,Адреса нет,полный день,Проектная работа,Знание основных законов и правовых процедур;,https://enbek.kz/ru/vacancy/yurist~3104775,Первое рабочее место,Юриспруденция
Ассистент бухгалтера,Финансы и бухучет,от 103 500 тенге,ИП Нурмухаметов Нурлан Сержанович,Вакансия опубликована 23.05.2023,Адреса нет,полный день,Проектная работа,Учет товарно-материальных ценностей;,https://enbek.kz/ru/vacancy/assistent-bukhgaltera~3105419,Первое рабочее место,Финансы
Маркетолог,Маркетинг и СМИ,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""YNITI""",Вакансия опубликована 22.05.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/marketolog~3101509,Молодежная практика,Журналистика
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""YNITI""",Вакансия опубликована 22.05.2023,Адреса нет,полный день,Проектная работа,Работа в программе 1С:Бухгалтерия;,https://enbek.kz/ru/vacancy/bukhgalter~3101510,Молодежная практика,Финансы
