Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Программист-аналитик,IT и телекоммуникации,от 103 500 тенге,"Алматинский областной филиал акционерного общества ""Казпочта""",Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Работа в основных программах системы Мiсгоsоft;,https://enbek.kz/ru/vacancy/programmist-analitik~3096200,Молодежная практика,IT
Помощник юриста,Юриспруденция,от 103 500 тенге,"Государственное коммунальное предприятие на праве хозяйственного ведения ""Областной перинатальный центр"" государственного учреждения ""Управление здравоохранения области Жетісу""",Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Оказание правовой помощи в составлении юридических документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3077538,Молодежная практика,Юриспруденция
Техник по обслуживанию компьютерных сетей и систем,IT и телекоммуникации,от 103 500 тенге,"Общественное объединение ""Волонтерский центр ""LIDER.KZ""",Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,"Установка, настройка, внедрение системного и прикладного программного обеспечения;",https://enbek.kz/ru/vacancy/tekhnik-po-obsluzhivaniyu-kompyuternykh-setei-i-sistem~3071647,Молодежная практика,IT
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Государственное учреждение ""Управление полиции города Талдыкоргана Департамента полиции области Жетісу Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 02.05.2023,Адреса нет,полный день,Проектная работа,Ведение установленных форм учета;,https://enbek.kz/ru/vacancy/bukhgalter~3071011,Молодежная практика,Финансы
Финансист,Финансы и бухучет,от 103 500 тенге,"Общественное объединение ""Жас буын""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Финансовое планирование;,https://enbek.kz/ru/vacancy/finansist~3045888,Молодежная практика,Финансы
Юрист,Юриспруденция,от 103 500 тенге,Республиканское государственное учреждение «Управление государственных доходов по городу Талдыкорган Департамента государственных доходов по области Жетісу Комитета государcтвенных доходов Министерства финансов Республики Казахстан»,Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Обслуживание физических и юридических лиц;,https://enbek.kz/ru/vacancy/yurist~3045623,Молодежная практика,Юриспруденция
Техник-электрик,Энергетика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Табысты Даму""",Вакансия опубликована 01.03.2023,Адреса нет,полный день,Проектная работа,"Монтаж, сборка и регулировка электрооборудования;",https://enbek.kz/ru/vacancy/tekhnik-elektrik~2959488,Молодежная практика,Сервисное обслуживание/производство
Учитель иностранного языка,Образование и воспитание,от 103 500 тенге,Коммунальное государственное учреждение «Средняя школа №15» государственного учреждения «Отдел образования по городу Талдыкорган Управления образования области Жетісу»,Вакансия опубликована 23.02.2023,Адреса нет,полный день,Проектная работа,Ответственность;,https://enbek.kz/ru/vacancy/uchitel-inostrannogo-yazyka~2947242,Молодежная практика,
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,"ИП ""BALAZHAN""",Вакансия опубликована 14.02.2023,Адреса нет,полный день,Проектная работа,Организация учебно-воспитательного процесса;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~2927837,Молодежная практика,
Юрист,Юриспруденция,от 103 500 тенге,"Общественный фонд ""Жангир""",Вакансия опубликована 13.02.2023,Адреса нет,полный день,Проектная работа,Контроль соблюдения законодательных актов;,https://enbek.kz/ru/vacancy/yurist~2915292,Молодежная практика,Юриспруденция
