Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Медицинская(ий) сестра/брат,Медицина и фармацевтика,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Денсаулық-Байлық""",Вакансия опубликована 17.05.2023,Адреса нет,полный день,Проектная работа,Оказание доврачебной медицинской помощи;,https://enbek.kz/ru/vacancy/medicinskaya(ii)-sestra-brat~3102370,Молодежная практика,Медицина
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""Триллионер 6""",Вакансия опубликована 16.05.2023,Адреса нет,полный день,Проектная работа,"Установка, наладка, настройка и сопровождение аппаратного и программного обеспечения;",https://enbek.kz/ru/vacancy/tekhnik-programmist~3097968,Первое рабочее место,IT
Техник-строитель,Строительство и архитектура,от 103 500 тенге,"Коммунальное государственное учреждение ""Управление архитектуры и градостроительства акимата Жамбылской области""",Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Умение работать в команде;,https://enbek.kz/ru/vacancy/tekhnik-stroitel~3105150,Молодежная практика,Строительство и архитектура
"Отделочник, цемент",Строительство и архитектура,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ЕрНурЖан Курылыс-2010""",Вакансия опубликована 27.04.2023,Адреса нет,полный день,Проектная работа,Установка каркасов различной сложности;,"https://enbek.kz/ru/vacancy/otdelochnik,-cement~3065689",Первое рабочее место,Строительство и архитектура
Помощник юриста,Юриспруденция,от 91 890 тенге,"Коммунальное государственное учреждение ""Управление инспекции труда акимата Жамбылской области""",Вакансия опубликована 25.04.2023,Адреса нет,полный день,Проектная работа,Проверка соответствия законодательству документов;,https://enbek.kz/ru/vacancy/pomoshchnik-yurista~3060512,Молодежная практика,Юриспруденция
Техник-программист,IT и телекоммуникации,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""TARAZ 24""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,Проведение технического обслуживания оборудования;,https://enbek.kz/ru/vacancy/tekhnik-programmist~3061443,Молодежная практика,IT
Юрист,Юриспруденция,от 103 500 тенге,"Государственное учреждение ""Управление полиции города Тараз Департамента полиции Жамбылской области Министерства внутренних дел Республики Казахстан""",Вакансия опубликована 18.04.2023,Адреса нет,полный день,Проектная работа,Ведение и составление документов;,https://enbek.kz/ru/vacancy/yurist~3069817,Молодежная практика,Юриспруденция
Педагог-организатор,Образование и воспитание,от 103 500 тенге,"ИП ""ALIBEST""",Вакансия опубликована 17.04.2023,Адреса нет,полный день,Проектная работа,Обеспечение методического сопровождения педагогического процесса;,https://enbek.kz/ru/vacancy/pedagog-organizator~3046864,Молодежная практика,
Учитель русского языка и литературы,Образование и воспитание,от 103 500 тенге,"Государственное коммунальное казенное предприятие ""Центр обучения языкам"" управления по развитию языков акимата Жамбылской области",Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Работа с обучаемыми;,https://enbek.kz/ru/vacancy/uchitel-russkogo-yazyka-i-literatury~3048259,Молодежная практика,
Экономист,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное учреждение ""Хозяйственное управление аппарата акима Жамбылской области""",Вакансия опубликована 14.04.2023,Адреса нет,полный день,Проектная работа,Составление бюджета предприятия;,https://enbek.kz/ru/vacancy/ekonomist~3041128,Молодежная практика,Финансы
