Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер,Финансы и бухучет,от 103 500 тенге,Изтелеуова Ж.С.,Вакансия опубликована 24.05.2023,Адреса нет,полный день,Проектная работа,Ведение бухгалтерского учета и отчетности;,https://enbek.kz/ru/vacancy/bukhgalter~3108584,Первое рабочее место,Финансы
Финансист,Финансы и бухучет,от 103 500 тенге,"""ЖАЗИРА""",Вакансия опубликована 19.05.2023,Адреса нет,полный день,Проектная работа,Управление финансовыми рисками;,https://enbek.kz/ru/vacancy/finansist~3099944,Молодежная практика,Финансы
Делопроизводитель,HR и секретариат,от 103 500 тенге,ЧСИ ЗОТЕНКО ТАТЬЯНА ВЛАДИМИРОВНА,Вакансия опубликована 15.05.2023,Адреса нет,полный день,Проектная работа,Ведение электронной базы данных;,https://enbek.kz/ru/vacancy/deloproizvoditel~3098735,Первое рабочее место,Менеджмент
Офис-менеджер,HR и секретариат,от 103 500 тенге,ИП Жабагина Д. К. Хореографический ансамбль Томирис,Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Организация работы офиса;,https://enbek.kz/ru/vacancy/ofis-menedzher~3089030,Первое рабочее место,Менеджмент
Учитель начальных классов,Образование и воспитание,от 103 500 тенге,ИП Жабагина Д. К. Хореографический ансамбль Томирис,Вакансия опубликована 11.05.2023,Адреса нет,полный день,Проектная работа,Определение  четких  целей  уроков;,https://enbek.kz/ru/vacancy/uchitel-nachalnykh-klassov~3089034,Молодежная практика,
Бухгалтер,Финансы и бухучет,от 103 500 тенге,Әлі Балжан Бақтиярқызы,Вакансия опубликована 04.05.2023,Адреса нет,полный день,Проектная работа,Ведение установленных форм учета;,https://enbek.kz/ru/vacancy/bukhgalter~3069794,Первое рабочее место,Финансы
Бухгалтер,Финансы и бухучет,от 103 500 тенге,"Коммунальное государственное казенное предприятие ""Темиртауский Дворец культуры"" акимата города Темиртау отдела культуры, развития языков, физической культуры и спорта города Темиртау",Вакансия опубликована 21.04.2023,Адреса нет,полный день,Проектная работа,Организация бухгалтерского учета и финансово-хозяйственной деятельности;,https://enbek.kz/ru/vacancy/bukhgalter~3056223,Молодежная практика,Финансы
Менеджер по закупкам,Финансы и бухучет,от 103 500 тенге,"Товарищество с ограниченной ответственностью ""ADAR Trading""",Вакансия опубликована 20.04.2023,Адреса нет,полный день,Проектная работа,"Участие в тендерах, подготовка коммерческих предложений;",https://enbek.kz/ru/vacancy/menedzher-po-zakupkam~3045384,Первое рабочее место,Финансы
Маркетолог,Маркетинг и СМИ,от 103 500 тенге,ИП Елеуова Жанар Болатовна,Вакансия опубликована 07.04.2023,Адреса нет,полный день,Проектная работа,Умение продвигать товары и услуги;,https://enbek.kz/ru/vacancy/marketolog~3018274,Молодежная практика,Журналистика
Воспитатель,Образование и воспитание,от 103 500 тенге,"Молодежное общественное объединение ""Центр развития ""Jastar""",Вакансия опубликована 31.03.2023,Адреса нет,полный день,Проектная работа,Умение выстраивать коммуникацию на нескольких языках;,https://enbek.kz/ru/vacancy/vospitatel~3010613,Первое рабочее место,
