Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Администратор,8,от 170 000 до 300 000 KZT на руки,ТОО DES,Вакансия опубликована 29 мая 2023 в Астане,Алматы,полный день,Полная занятость,Грамотная речь;Работа с людьми;Пользователь ПК;Клиентоориентированность;,https://almaty.hh.kz/vacancy/81203918,,
Администратор в Студию коррекции фигуры NewBody.kz,8,от 250 000 до 450 000 KZT до вычета налогов,ИП Винокурова Е.А,Вакансия опубликована 23 мая 2023 в Астане,"Нур-Султан (Астана), улица Малика Габдуллина, 12Б",полный день,Полная занятость,Работа в команде;Обучение персонала;Навыки продаж;Деловое общение;Обучение и развитие;Клиентоориентированность;Позитивное мышление;Навыки разрешения спорных ситуаций;Работа с возражениями;Материальная ответственность;Способность работать с документами;Планирование карьеры;Работа с людьми;способность быстро обучаться и легко воспринимать крупные объемы информации;,https://almaty.hh.kz/vacancy/75146141,,
Помощник повара,94,от 200 000 до 250 000 KZT на руки,ТОО FOODMAX (Gold in Basket),Вакансия опубликована 25 мая 2023 в Астане,"Астана, жилой комплекс Арнау, 12",сменный график,Полная занятость,Работа в команде;,https://almaty.hh.kz/vacancy/80392677,,
Офис-менеджер по страхованию,122,от 200 000 KZT на руки,ТОО Asia Finance,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,Полная занятость,Работа в команде;Телефонные переговоры;Оценка потребностей клиентов;Навыки делового общения;Пользователь ПК;Работа с оргтехникой;Заключение договоров;Умение работать в коллективе;Точность и внимательность к деталям;Excel;Русский язык;Казахский язык;Знание компьютера;Владение компьютером;,https://almaty.hh.kz/vacancy/75654068,,
Ученик автослесаря,5,от 200 000 KZT на руки,ТОО Эклипс сервис,Вакансия опубликована 23 мая 2023 в Астане,"Астана, Карталинская улица, 5/2",полный день,Стажировка,Мобильность;Internet;,https://almaty.hh.kz/vacancy/80887324,,Сервисное обслуживание/производство
Помощник главного бухгалтера,18,от 200 000 до 200 000 KZT до вычета налогов,ТОО DES,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81004569,,Финансы
Администратор в сервис центр,8,от 80 000 до 150 000 KZT на руки,ТОО Sana computers,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Бараева, 13",полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотная речь;Работа с клиентами;исходящие звонки;,https://almaty.hh.kz/vacancy/81105107,,
Менеджер по продажам,40,от 150 000 до 300 000 KZT до вычета налогов,ТОО Askona Life Kazakhstan (Аскона Лайф Казахстан),Вакансия опубликована 29 мая 2023 в Астане,"Астана, шоссе Алаш, 15",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81247334,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 29 мая 2023 в Астане,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79890396,,
Оператор станков с ЧПУ,86,от 150 000 до 300 000 KZT на руки,ТОО Ztown Development,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), 101-я улица",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81017542,,Сервисное обслуживание/производство
