Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Тайный проверяющий,40,от 100 000 до 150 000 KZT до вычета налогов,ООО 4Service Holdings GmbH,Вакансия опубликована 23 мая 2023 в Жезказгане,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80885418,,
Тайный покупатель в автосалон (Жезказган),40,з/п не указана,ООО 4Service Holdings GmbH,Вакансия опубликована 3 мая 2023 в Жезказгане,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80018250,,
Директор филиала,40,от 350 000 KZT до вычета налогов,ТОО фирма Траяна,Вакансия опубликована 4 мая 2023 в Жезказгане,Алматы,полный день,Полная занятость,Ответственность;Мобильность;Оперативное планирование;Организаторские навыки;Грамотная речь;Ведение переговоров;Управление персоналом;Обучение и развитие;Ориентация на результат;Обучение персонала;Мотивация персонала;Заключение договоров;Планирование продаж;Подбор персонала;,https://almaty.hh.kz/vacancy/79646542,,
Продавец-консультант,40,от 180 000 до 300 000 KZT на руки,Sulpak,Вакансия опубликована 28 мая 2023 в Жезказгане,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81180035,,
"Автомеханик,автоэлектрик",5,от 300 000 KZT на руки,ТОО Гал-Авто,Вакансия опубликована 5 мая 2023 в Жезказгане,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80135115,,Сервисное обслуживание/производство
Торговый представитель \ Менеджер по продажам,129,от 200 000 KZT на руки,ООО Восхождение,Вакансия опубликована 29 мая 2023 в Жезказгане,Алматы,полный день,Полная занятость,Активные продажи;Поиск и привлечение клиентов;Контроль дебиторской задолженности;работа с текущей базой клиентов;B2B Продажи;,https://almaty.hh.kz/vacancy/68027896,,
Сервисный инженер,111,з/п не указана,ТОО Neo Service,Вакансия опубликована 15 мая 2023 в Жезказгане,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80400609,,Сервисное обслуживание/производство
"Торговый представитель, г.Жезказган",129,от 110 000 до 260 000 KZT до вычета налогов,ТОО фирма Траяна,Вакансия опубликована 5 мая 2023 в Жезказгане,Алматы,полный день,Полная занятость,Работа с возражениями;Поиск и привлечение клиентов;Управление отношениями с клиентами;Навыки продаж;Работа с дебиторской задолженностью;работа с текущей базой клиентов;Мерчендайзинг;,https://almaty.hh.kz/vacancy/80153411,,
Заправщик АЗС,40,от 150 000 KZT на руки,ТОО Гелиос,Вакансия опубликована 15 мая 2023 в Жезказгане,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80401318,,
Территориальный агент Beeline,40,от 100 000 до 200 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Жезказгане,Алматы,полный день,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/77860525,,
Клиент-менеджер,40,з/п не указана,АО Банк ЦентрКредит,Вакансия опубликована 11 мая 2023 в Жезказгане,Алматы,полный день,Полная занятость,Работа в команде;Грамотность;Деловое общение;Консультирование клиентов;Оценка потребностей клиентов;Ориентация на клиента;Навыки работы с возражениями;Знание банковских продуктов;Казахский язык;,https://almaty.hh.kz/vacancy/80297199,,
Оператор 1С,18,от 190 000 до 200 000 KZT на руки,ИП Снэк KZ,Вакансия опубликована 23 мая 2023 в Жезказгане,"Жезказган, улица Улытау, 2/3",полный день,Полная занятость,Первичная бухгалтерская документация;Работа с базами данных;1С: Торговля и склад;Электронная почта;Умение работать в условиях многозадачности;Работа с компьютером;Работа с большим объемом информации;Пользователь ПК;,https://almaty.hh.kz/vacancy/80864267,,Финансы
Дизайнер-верстальщик,40,от 100 000 до 300 000 KZT на руки,ТОО Центр офисных услуг,Вакансия опубликована 15 мая 2023 в Жезказгане,"Жезказган, проспект Мира, 14",полный день,Полная занятость,Adobe Photoshop;Креативность;Обработка изображений;Графический дизайн;CorelDRAW;Верстка;Полиграфический дизайн;Фотография;Фотомонтаж;Дизайн;,https://almaty.hh.kz/vacancy/80430954,,
Преподаватель в области Культура и искусство,132,от 80 000 до 200 000 KZT на руки,ИП Жанжигитова Алтынай,Вакансия опубликована 24 мая 2023 в Жезказгане,Алматы,полный день,Полная занятость,Общая психология;Творческое мышление;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80935466,,
