Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Бухгалтер-кассир,18,от 220 000 KZT на руки,КОКШЕТАУСКИЙ ФИЛИАЛ ТОО ВИРАЖ,Вакансия опубликована 25 мая 2023 в Кокшетау,"Кокшетау, 10-й проезд, 6",полный день,Полная занятость,Пользователь ПК;1С: Документооборот;ККМ;1C: Предприятие;Умение работать с людьми;Грамотная письменная речь;Банковское кассовое обслуживание;Инкассация;Ведение кассовой книги;Оптово-розничное кассовое обслуживание;Приходные и расходные кассовые ордера;,https://almaty.hh.kz/vacancy/81026256,,Финансы
Reservation agent (Агент по бронированию),72,з/п не указана,ТОО Burabay Hotel Management,Вакансия опубликована 24 мая 2023 в Кокшетау,Щучинск,сменный график,Полная занятость,Прием и распределение телефонных звонков;Английский язык;Грамотная речь;Телефонные переговоры;Пользователь ПК;Грамотность;Бронирование гостиниц;Клиентоориентированность;входящие звонки;Консультирование клиентов по телефону;Электронная почта;Английский — B2 — Средне-продвинутый;Казахский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80948857,,
Помощник логиста,67,от 180 000 до 200 000 KZT на руки,ТОО Alem Agro Holding (АлемАгро Холдинг),Вакансия опубликована 29 мая 2023 в Кокшетау,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/76376542,,
Бухгалтер,18,от 400 000 до 500 000 KZT на руки,ИП Омельян И.А.,Вакансия опубликована 16 мая 2023 в Кокшетау,"Кокшетау, улица Ауельбекова, 170",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80472627,,Финансы
Тайный покупатель (подработка),40,от 80 000 до 120 000 KZT до вычета налогов,ООО 4Service Holdings GmbH,Вакансия опубликована 2 мая 2023 в Кокшетау,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/78801744,,
Стажер-консультант 1С (бухгалтерия),18,от 200 000 до 250 000 KZT до вычета налогов,ТОО СофтМастер-Плюс,Вакансия опубликована 28 мая 2023 в Кокшетау,"Кокшетау, улица Миржакипа Дулатова, 29",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80493980,,Финансы
Оператор швейного оборудования,85,от 150 000 до 250 000 KZT до вычета налогов,ТОО Асыл Арман,Вакансия опубликована 29 мая 2023 в Кокшетау,Кокшетау,сменный график,Стажировка,Контроль качества;Честный;Открыта для новых знаний;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/81199045,,Сервисное обслуживание/производство
"Мастер массажа в спа-салон ""Gentleman spa""",40,от 200 000 до 400 000 KZT до вычета налогов,ИП Novicamsever,Вакансия опубликована 22 мая 2023 в Кокшетау,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80814630,,
Промоутер-консультант/Хостес (табачный бренд),140,от 112 000 до 200 000 KZT на руки,ТОО CONTINEO,Вакансия опубликована 29 мая 2023 в Кокшетау,Алматы,полный день,Частичная занятость,Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/81201388,,
Маркетолог,68,от 150 000 до 150 000 KZT на руки,ИП N.V. BUSINESS GROUP,Вакансия опубликована 19 мая 2023 в Кокшетау,"Кокшетау, улица Валиханова, 195ВЛ9",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80686870,,Менеджмент
Электромонтажник,143,от 395 000 до 620 000 KZT на руки,ЗАО ЭнергоСтрой,Вакансия опубликована 4 мая 2023 в Кокшетау,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/80079551,,Сервисное обслуживание/производство
Администратор торгового зала,8,от 150 000 KZT до вычета налогов,ТОО AutoCity Karaganda,Вакансия опубликована 11 мая 2023 в Кокшетау,"Караганда, улица Сарыарка, 37/2",сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80318680,,
