Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Сварщик,109,от 500 000 до 900 000 руб. на руки,ТОО DIPCO,Вакансия опубликована 22 мая 2023 в Темиртау,Темиртау,Вахтовый метод,Полная занятость,Пользователь ПК;Охрана труда и техника безопасности;Работа в команде;Навыки работы с первичной документацией;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80808995,,Сервисное обслуживание/производство
"Торговый представитель (Ariel, Fairy, Gillette, Pampers, Head & Shoulders)",129,до 433 000 KZT до вычета налогов,ТОО Apple City Corps,Вакансия опубликована 27 мая 2023 в Темиртау,Алматы,полный день,Полная занятость,Навыки продаж;Управление временем;Навыки делового общения;,https://almaty.hh.kz/vacancy/78599883,,
Супервизор,40,з/п не указана,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 26 мая 2023 в Темиртау,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/81098284,,
Пеший исследователь в Яндекс Карты,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 26 мая 2023 в Темиртау,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79931806,,
Заправщик АЗС,40,от 150 000 KZT на руки,ТОО Гелиос,Вакансия опубликована 15 мая 2023 в Темиртау,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80401372,,
Менеджер по работе с клиентами в фото-копи центре (оператор печати),40,от 120 000 до 200 000 KZT на руки,ИП CENTER FOTO (Шадурин),Вакансия опубликована 29 мая 2023 в Темиртау,Алматы,сменный график,Полная занятость,Коммуникабельность;Тактичность;Ответственность;Навыки межличностного общения;,https://almaty.hh.kz/vacancy/79951652,,
"Специалист по земельным ресурсам, Юридическая служба",146,з/п не указана,АО АрселорМиттал Темиртау,Вакансия опубликована 16 мая 2023 в Темиртау,Алматы,полный день,Полная занятость,Знание законодательства;Земельное право;Землепользование;Деловая переписка;,https://almaty.hh.kz/vacancy/80484076,,
Слесарь по контрольно-измерительным приборам и автоматике,115,з/п не указана,АО АрселорМиттал Темиртау,Вакансия опубликована 29 мая 2023 в Темиртау,Сарань,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80585415,,Сервисное обслуживание/производство
Пешеход-исследователь для Яндекс Карт,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 26 мая 2023 в Темиртау,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79931889,,
Специалист по сбору данных для Яндекс Карт,40,от 20 000 до 45 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 16 мая 2023 в Темиртау,Алматы,гибкий график,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80482544,,
