Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Продавец-консультант,40,от 200 000 до 300 000 KZT на руки,Sulpak,Вакансия опубликована 25 мая 2023 в Актобе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81029907,,
Региональный торговый представитель,129,от 200 000 до 400 000 KZT на руки,ИП ТОКАРЕВ,Вакансия опубликована 24 мая 2023 в Актобе,Актобе,полный день,Полная занятость,Мобильность;,https://almaty.hh.kz/vacancy/80928307,,
Администратор,8,от 164 000 KZT до вычета налогов,ТОО Ipoteka Group,Вакансия опубликована 3 мая 2023 в Актобе,Алматы,полный день,Полная занятость,"Пользователь ПК;Работа в команде;Грамотная речь;Обеспечение жизнедеятельности офиса;Сбор и анализ информации;Деловое общение;Офисная техника;Ведение отчетности;Управление документооборотом;Поддержка работы офиса;Организация мероприятий;Умение работать в команде;Материальная ответственность;Грамотная устная и письменная речь;Умение работать в режиме многозадачности;Работа с оргтехникой;Ведение документации;Уверенный пользователь ПК;Работа с большим объемом информации;Навыки составления отчетности;Ответственность и пунктуальность;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/78877507,,
Помощник юриста,145,от 180 000 KZT на руки,ТОО Актюбинский рельсобалочный завод,Вакансия опубликована 15 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Грамотность;Высшее образование;Ответственность и пунктуальность;,https://almaty.hh.kz/vacancy/80436574,,
Администратор ресепшен,8,от 85 000 до 130 000 KZT до вычета налогов,"ТОО World-Class, ТМ",Вакансия опубликована 29 мая 2023 в Актобе,"Актобе, 11-й микрорайон, 144",сменный график,Полная занятость,Работа в команде;Работа с кассой;Встреча гостей;Грамотная речь;Улыбчивость;Дружелюбность;1С: Предприятие 8;,https://almaty.hh.kz/vacancy/80306449,,
Визитный мерчандайзер,77,от 40 000 до 90 000 KZT на руки,ТОО БТЛ МЫ (Планограмма),Вакансия опубликована 3 мая 2023 в Актобе,Алматы,гибкий график,Частичная занятость,Мерчандайзинг;Мерчендайзинг;Мобильный мерчандайзинг;Выкладка товаров;Блочная выкладка товара;Линейная выкладка товара;Работа с магазинами эконом-класса;Работа с магазинами премиум-класса;Федеральные сети;Локальные сети;Ведение отчетности;Работа с региональными сетями;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80026705,,
Инженер-технолог/инженер-металлург,49,от 170 000 до 200 000 KZT до вычета налогов,ТОО Азия Огнеупор,Вакансия опубликована 29 мая 2023 в Актобе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81241613,,Сервисное обслуживание/производство
Архитектор-проектировщик/стажер,48,от 90 000 до 100 000 KZT на руки,ТОО BatysJOBA,Вакансия опубликована 26 мая 2023 в Актобе,"Актобе, проспект Абилкайыр Хана, 19",полный день,Стажировка,Дизайн;Дизайн интерьера;Ландшафтный дизайн;Архитектура;Проектирование;Визуализация;3D Моделирование;Строительство;Молодежная практика;Помощник архитектора;Дизайнер;Архитектор;Проектировщик;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/81119219,,Сервисное обслуживание/производство
Начальник отдела сопровождения филиальной сети,40,з/п не указана,Kaspi.kz,Вакансия опубликована 24 мая 2023 в Актобе,Алматы,полный день,Полная занятость,снабжение;1C: Предприятие;Заключение договоров;Охрана труда и техника безопасности;Навыки составления отчетности;Пожарная безопасность;,https://almaty.hh.kz/vacancy/80933452,,
Кладовщик,40,от 120 000 до 130 000 KZT до вычета налогов,ТОО Сариев и К,Вакансия опубликована 22 мая 2023 в Актобе,Алматы,полный день,Полная занятость,Пользователь ПК;Работа в команде;Умение работать в команде;Работа с оргтехникой;,https://almaty.hh.kz/vacancy/80825683,,
