Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Логист (удаленно),67,от 80 000 KZT на руки,не требуется,ИП Health Food (Зоров В. Time Service),Вакансия опубликована 15 мая 2023 в Алматы,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Пользователь ПК;Поиск информации в интернет;Грамотная речь;Internet;Google Chrome;Распределительная логистика;Логистика;Транспортная логистика;,https://almaty.hh.kz/vacancy/80427424
Direct-менеджер / Instagram-менеджер,3,от 75 000 до 150 000 KZT до вычета налогов,не требуется,ТОО today.travel UK,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, улица Курмангазы, 143",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80438902
Администратор,8,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Atlantic-Dent,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, проспект Гагарина, 309",полный день,"Полная занятость, полный день",Телефонные переговоры;Консультирование клиентов;Заключение договоров;Ведение отчетности;Работа с базами данных;Консультирование клиентов по телефону;,https://almaty.hh.kz/vacancy/80289092
Администратор,8,от 150 000 до 200 000 KZT на руки,не требуется,ИП Maxincubator Өнер орталығы,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Алатау, улица Сатпаева, 69А",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Деловое общение;Любовь к детям;,https://almaty.hh.kz/vacancy/80428833
Помощник повара,94,от 182 000 до 280 000 KZT на руки,не требуется,ТОО Whoopie Cakes,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, проспект Абая, 35",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80290916
Помощник бухгалтера,18,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Каз Строй Монолит,Вакансия опубликована 16 мая 2023 в Алматы,"Алматы, улица Саяна Шаймерденова, 32",полный день,"Полная занятость, полный день",Кассовые операции;Авансовые отчеты;1С: Предприятие 8;Кассовые документы;1C: Бухгалтерия;,https://almaty.hh.kz/vacancy/80474617
Менеджер по туризму,72,от 200 000 до 2 000 000 KZT на руки,не требуется,ТОО today.travel UK,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, улица Курмангазы, 143",полный день,"Полная занятость, полный день",Клиентоориентированность;Умение работать в команде;Деловая коммуникация;Обучение и развитие;Работа в команде;Навыки межличностного общения;Активные продажи;Статистический анализ;Собеседование;Прямые продажи;Холодные продажи;Деловое общение;Навыки продаж;Холодные звонки;Креативность;Работа с жалобами клиентов;,https://almaty.hh.kz/vacancy/54455733
Инженер технической поддержки (стажер),121,от 120 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Кафе Софт KZ,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, улица Егизбаева, 52",полный день,"Стажировка, полный день",MS SQL Server;Windows Os;Локальные сети;Торговое оборудование;Быстро учусь;Энтузиазм;Желание обучаться;Желание работать и зарабатывать;Усердность;Информационные технологии;Продвинутый пользователь ПК;,https://almaty.hh.kz/vacancy/80218777
Ассистент Монтессори педагога,132,от 150 000 до 150 000 KZT на руки,не требуется,ТОО Зеленый Дом Алматы,Вакансия опубликована 12 мая 2023 в Алматы,"Алматы, Абая, 5-я Кирпичнозаводская улица, 15",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Грамотность;Самодисциплина;Умение работать с детьми;Взаимодействие с детьми;Работа с клиентами;Дружелюбность;Умение быстро учиться;,https://almaty.hh.kz/vacancy/80341180
Оператор-диспетчер,39,от 800 USD на руки,не требуется,Restart HVAC,Вакансия опубликована 16 мая 2023 в Алматы,город Маунтин-Вью,полный день,"Полная занятость, полный день",Знание английского языка;Точность и внимательность к деталям;Работа с претензиями;,https://almaty.hh.kz/vacancy/80473004
Диагност состояния тела,40,от 150 000 до 400 000 KZT на руки,не требуется,ТОО МАСТЕРСКАЯ ЗДОРОВЬЯ,Вакансия опубликована 12 мая 2023 в Алматы,"Алматы, Театр имени Ауэзова, проспект Абая, 107",полный день,"Полная занятость, полный день",Внутренние коммуникации;Дисциплина;Ответственный;Грамотная речь;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80358152
Руководитель отдела продаж,106,от 500 000 до 1 500 000 KZT до вычета налогов,не требуется,ТОО today.travel UK,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, улица Курмангазы, 143",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80440663
Сборщик раздвижных дверей и алюминиевых перегородок,78,от 200 000 до 400 000 KZT на руки,не требуется,ИП Жунисов Ж.К(Aslan Doors Manufacture),Вакансия опубликована 12 мая 2023 в Алматы,"Алматы, улица Ратушного, 94",полный день,"Полная занятость, полный день",Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80352679
Мерчендайзер-грузчик Fix Price,77,от 174 000 до 190 000 KZT до вычета налогов,не требуется,ТОО Бэст Прайс Казахстан,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Мерчандайзинг;Приемка груза;,https://almaty.hh.kz/vacancy/80246217
Оператор производственной линии,85,от 210 000 до 250 000 KZT на руки,не требуется,ТОО АМК-Метиз,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, улица Бекмаханова, 96/4",полный день,"Полная занятость, полный день",Умение работать в коллективе;Производственный контроль;Технический контроль производства;принимать решения и за их результаты отвечать самостоятельно;,https://almaty.hh.kz/vacancy/80260683
Креативный менеджер,3,от 200 000 до 250 000 KZT на руки,не требуется,ТОО Alliance Trade LTD,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, микрорайон Самал-2, 27А",полный день,"Полная занятость, полный день",Коммуникабельность;,https://almaty.hh.kz/vacancy/80212847
Мастер по установке защитных покрытий на гаджеты,40,от 250 000 KZT до вычета налогов,не требуется,ИП Успех и Партнеры,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, улица Ауэзова, 111",полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Грамотность;Работа в команде;Активные продажи;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80282634
Спорт-лидер (Продавец-консультант),40,от 240 000 KZT на руки,не требуется,ТОО Декатлон РК,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Ведение переговоров;Грамотная речь;Мерчандайзинг;Розничная торговля;Консультирование клиентов;Клиентоориентированность;Русский — C2 — В совершенстве;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/77475542
Помощник оператора производственной линии,85,от 190 000 до 230 000 KZT на руки,не требуется,ТОО АМК-Метиз,Вакансия опубликована 10 мая 2023 в Алматы,"Алматы, улица Бекмаханова, 96/4",полный день,"Полная занятость, полный день",Умение работать в команде;исполнение поручений руководителя;Уборка;Материальная ответственность;Работать в команде;,https://almaty.hh.kz/vacancy/80261026
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890393
Менеджер по телефонным продажам,40,от 250 000 до 600 000 KZT на руки,не требуется,ТОО SoBes,Вакансия опубликована 13 мая 2023 в Алматы,"Алматы, улица Сатпаева, 29Д",полный день,"Полная занятость, полный день",Консультирование клиентов по телефону;Навыки продаж;Ориентация на результат;Быстро учусь;Деловая коммуникация;Грамотная речь;Обучение и развитие;Работа в команде;Активные продажи;Телефонные переговоры;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80386316
Повар в фаст-фуд (начинающий повар),40,от 140 000 до 160 000 KZT на руки,не требуется,ТОО Nalai,Вакансия опубликована 11 мая 2023 в Алматы,"Алматы, микрорайон Самал-2, 111",сменный график,"Полная занятость, сменный график",Работа в команде;Общественное питание;Умение работать в команде;Контроль качества;,https://almaty.hh.kz/vacancy/79499214
Ассистент руководителя отдела импортных закупок и логистики,67,от 200 000 до 250 000 KZT на руки,не требуется,"INTELLPACK, компания",Вакансия опубликована 11 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/67319280
Менеджер по работе с клиентской задолженностью,40,от 250 000 до 570 000 KZT на руки,не требуется,ТОО МФО Credit365 Kazakhstan (Кредит 365 Казахстан),Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80244660
Ведущий специалист отдела продаж,54,от 300 000 до 700 000 KZT на руки,не требуется,Quickcall,Вакансия опубликована 12 мая 2023 в Алматы,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/67492735
Специалист по взысканию просроченной задолженности,147,от 300 000 до 500 000 KZT на руки,не требуется,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ AUTO SIYLIQ FINANCE,Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, проспект Сакена Сейфуллина, 404",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80425923
Менеджер по продаже недвижимости / Специалист по работе с клиентами,40,от 500 000 до 2 000 000 KZT на руки,не требуется,ИП Avenue (ТАНАТАРОВ А.М),Вакансия опубликована 11 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Ведение переговоров;Желание обучаться;,https://almaty.hh.kz/vacancy/80289206
"IT Интерн (Java, python, C#)",96,з/п не указана,не требуется,АО Народный банк Казахстана,Вакансия опубликована 24 апреля 2023 в Алматы,Алматы,гибкий график,"Стажировка, гибкий график","Умение быстро усваивать новую информацию;Энтузиазм;Желание учиться;Внимательность к деталям, способность работать с большими массивами информации;Умение анализировать;Informatica Power Center;",https://almaty.hh.kz/vacancy/79704747
Администратор по ватсапу,8,от 400 000 до 460 000 KZT до вычета налогов,не требуется,ТОО PBM Grand Market,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Консультирование;Консультирование клиентов по телефону;Консультирование клиентов;входящие звонки;,https://almaty.hh.kz/vacancy/80259290
Актриса/актер,13,до 500 000 KZT на руки,не требуется,ТОО Multi Do Production,Вакансия опубликована 28 апреля 2023 в Алматы,"Алматы, улица Макатаева, 117А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79898989
TikTok менеджер начинающий,3,от 120 000 до 180 000 KZT до вычета налогов,не требуется,ТОО REDlab.kz,Вакансия опубликована 16 мая 2023 в Алматы,Алматы,гибкий график,"Частичная занятость, гибкий график",Наполнение контентом;SMM;Написание текстов;Креативность;Обработка видео;Поиск информации в интернет;Русский — A1 — Начальный;Английский — A1 — Начальный;,https://almaty.hh.kz/vacancy/80471538
Менеджер по работе с Турагентствами,71,от 250 000 до 300 000 KZT на руки,не требуется,ИП ИНСАЙТ-М,Вакансия опубликована 10 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Международный туризм;Авиабилеты;Туроператор;Турагент;Самотур;Битрикс24;Умение работать в команде;Грамотная устная и письменная речь;Навыки межличностного общения;Гибкость;Эмпатия;Дружелюбие;Навыки улаживания конфликтов;Умение находить общий язык;Навыки разрешения спорных ситуаций;Умение находить общий язык с людьми;Способность работать в режиме многозадачности;Коммуникация;Высокая стрессоустойчивость;Многозадачность;Умение брать на себя ответственность;Самосовершенствование;Умение работать в коллективе;Умение работать в условиях многозадачности;Авиаперевозки;Travel Support;Бронирование туров;Бронирование билетов;Системы бронирования;Индивидуальные туры;,https://almaty.hh.kz/vacancy/80265393
Медицинский регистратор (Администратор),8,от 300 000 KZT на руки,не требуется,ТОО Медицинский центр EMIRMED,Вакансия опубликована 11 мая 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Пользователь ПК;Работа в команде;Грамотность;Улаживание конфликтов;Администрирование;Навыки межличностного общения;Ведение документации;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80270038
Начинающий мобилограф,3,от 200 000 KZT на руки,не требуется,ТОО AlCom Engineering Group,Вакансия опубликована 28 апреля 2023 в Алматы,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79920210
Администратор,140,от 250 000 до 350 000 KZT до вычета налогов,не требуется,ТОО HAIM GROUP (ХАЙМ ГРУПП),Вакансия опубликована 15 мая 2023 в Алматы,"Алматы, Абая, микрорайон Кок-Тобе, улица Радлова, 68",сменный график,"Полная занятость, сменный график",Грамотность;Умение расставлять приоритеты;Умение работать с людьми;Навыки улаживания конфликтов;Не конфликтность;Высокая энергичность и инициативность;Умение адаптироваться;Опрятность;,https://almaty.hh.kz/vacancy/80433457
