Должность,professionalroleidЗарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Администратор салона красоты,8,от 200 000 до 240 000 KZT на руки,не требуется,ИП СОТНИКОВА,Вакансия опубликована 13 мая 2023 в Астане,"Астана, улица Толе Би, 46",полный день,"Полная занятость, полный день","Консультирование клиентов по телефону;Улыбчивость;Умение расставлять приоритеты;Русский язык;Казахский язык;Умение работать в коллективе;входящие звонки;способность анализировать проблемы, эффективно искать пути их разрешения;способность быстро обучаться и легко воспринимать крупные объемы информации;Способность быстро обучаться;Пользователь ПК;Работа в команде;Грамотная речь;Опрятность;Дружелюбность;",https://almaty.hh.kz/vacancy/80384234
Оператор производственной линии (Астана),85,от 250 000 до 300 000 KZT на руки,не требуется,ТОО АМК-Метиз,Вакансия опубликована 11 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",умение работать в коллективе;,https://almaty.hh.kz/vacancy/80302696
SMM-менеджер/контент-менеджер/мобилограф,3,от 150 000 до 350 000 KZT до вычета налогов,не требуется,Частная компания Investroom Ltd,Вакансия опубликована 14 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79399306
Бизнес-ассистент,3,от 100 000 до 200 000 KZT на руки,не требуется,ИП JAZY,Вакансия опубликована 10 мая 2023 в Астане,"Нур-Султан (Астана), жилой комплекс Абу-Даби Плаза",гибкий график,"Полная занятость, гибкий график",Смм;Ассистент;Навыки презентации;Создание контента;исполнение поручений руководителя;Организаторские навыки;,https://almaty.hh.kz/vacancy/80247213
Specialist on service contract,40,з/п не указана,не требуется,Nazarbayev University,Вакансия опубликована 15 мая 2023 в Астане,"Астана, проспект Кабанбай батыра, 53",полный день,"Проектная работа/разовое задание, полный день",Английский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80428238
"Инженер технической поддержки, удаленная работа + выезды (IT-компания ЛЕММА)",121,от 560 USD до вычета налогов,не требуется,Первый Бит,Вакансия опубликована 12 мая 2023 в Астане,Алматы,удаленная работа,"Полная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/80339149
Менеджер по видеонаблюдению,40,от 180 000 до 210 000 KZT до вычета налогов,не требуется,ИП Avrora Fashion Gallery (ИП Пурей Е.И.),Вакансия опубликована 14 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80025228
Торговый представитель,129,от 250 000 до 350 000 KZT до вычета налогов,не требуется,ИП Кондренко,Вакансия опубликована 27 апреля 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78810068
Специалист по оценке смартфонов в ломбард/Начинающий специалист,57,от 200 000 до 220 000 KZT на руки,не требуется,ТОО THE BEST SELLER,Вакансия опубликована 16 мая 2023 в Астане,"Астана, улица Сыганак, 64/1",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80472248
Ученик Ювелира-монтировщика,40,от 100 000 руб. до вычета налогов,не требуется,ООО Костромской ювелирный завод Каратов,Вакансия опубликована 2 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",Работа в команде;Работа с большим объемом информации;Обучение и развитие;MS PowerPoint;Internet;,https://almaty.hh.kz/vacancy/79060975
