Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Администратор в Студию коррекции фигуры NewBody.kz,8,от 250 000 до 450 000 KZT до вычета налогов,не требуется,ИП Винокурова Е.А,Вакансия опубликована 23 мая 2023 в Астане,"Нур-Султан (Астана), улица Малика Габдуллина, 12Б",полный день,"Полная занятость, полный день",Работа в команде;Обучение персонала;Навыки продаж;Деловое общение;Обучение и развитие;Клиентоориентированность;Позитивное мышление;Навыки разрешения спорных ситуаций;Работа с возражениями;Материальная ответственность;Способность работать с документами;Планирование карьеры;Работа с людьми;способность быстро обучаться и легко воспринимать крупные объемы информации;,https://almaty.hh.kz/vacancy/75146141
Помощник повара,94,от 200 000 до 250 000 KZT на руки,не требуется,ТОО FOODMAX (Gold in Basket),Вакансия опубликована 25 мая 2023 в Астане,"Астана, жилой комплекс Арнау, 12",сменный график,"Полная занятость, сменный график",Работа в команде;,https://almaty.hh.kz/vacancy/80392677
Офис-менеджер по страхованию,122,от 200 000 KZT на руки,не требуется,ТОО Asia Finance,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Телефонные переговоры;Оценка потребностей клиентов;Навыки делового общения;Пользователь ПК;Работа с оргтехникой;Заключение договоров;Умение работать в коллективе;Точность и внимательность к деталям;Excel;Русский язык;Казахский язык;Знание компьютера;Владение компьютером;,https://almaty.hh.kz/vacancy/75654068
Ученик автослесаря,5,от 200 000 KZT на руки,не требуется,ТОО Эклипс сервис,Вакансия опубликована 23 мая 2023 в Астане,"Астана, Карталинская улица, 5/2",полный день,"Стажировка, полный день",Мобильность;Internet;,https://almaty.hh.kz/vacancy/80887324
Администратор в сервис центр,8,от 80 000 до 150 000 KZT на руки,не требуется,ТОО Sana computers,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Бараева, 13",полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Работа с клиентами;исходящие звонки;,https://almaty.hh.kz/vacancy/81105107
Заведующий складом,81,от 250 000 до 250 000 KZT до вычета налогов,не требуется,ИП Ансар- Фарм 6131,Вакансия опубликована 22 мая 2023 в Астане,"Астана, микрорайон Юго-Восток (правая сторона), улица Балкантау, 43",полный день,"Полная занятость, полный день",Материальная ответственность;оформление заказов;Точность и внимательность к деталям;Физическая выносливость;Работать в команде;Стабильность;Честный;,https://almaty.hh.kz/vacancy/80710150
Оператор станков с ЧПУ,86,от 150 000 до 300 000 KZT на руки,не требуется,ТОО Ztown Development,Вакансия опубликована 25 мая 2023 в Астане,"Нур-Султан (Астана), 101-я улица",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81017542
Бухгалтер,18,до 200 000 KZT до вычета налогов,не требуется,ТОО DES,Вакансия опубликована 25 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81004569
Ассистент менеджера по продажам,54,з/п не указана,не требуется,ТОО Distritech,Вакансия опубликована 26 мая 2023 в Астане,"Нур-Султан (Астана), улица Ханов Керея и Жанибека, 32",полный день,"Полная занятость, полный день",Управление временем;Проведение переговоров;Навыки работы с возражениями;Участие в Тендерах;Навыки продаж;Навыки переговоров;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/78082585
Специалист по работе с потенциальными клиентами,40,от 200 000 до 600 000 KZT на руки,не требуется,ТОО Lloyds group,Вакансия опубликована 25 мая 2023 в Астане,Алматы,сменный график,"Полная занятость, сменный график",Работа в команде;Грамотная речь;Работа с большим объемом информации;Грамотность;Умение работать в коллективе;Анкетирование;Разъездной характер работы;,https://almaty.hh.kz/vacancy/79502315
Официант в ресторан Del papa,40,от 250 000 до 500 000 KZT до вычета налогов,не требуется,ТОО AB Restaurants,Вакансия опубликована 6 мая 2023 в Астане,"Нур-Султан (Астана), проспект Республики, 10",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80176815
Агент по обслуживанию пассажиров,40,з/п не указана,не требуется,"AIR ASTANA, АО",Вакансия опубликована 5 мая 2023 в Астане,Алматы,полный день,"Стажировка, полный день",Английский язык;Грамотная речь;Работа в команде;Работа с людьми;Казахский язык;Русский язык;,https://almaty.hh.kz/vacancy/79074666
Аниматор,13,от 300 000 до 400 000 KZT на руки,не требуется,ИП «Geona»,Вакансия опубликована 27 мая 2023 в Астане,"Астана, улица Шарля де Голля",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/81157220
Заместитель директора / Исполнительный руководитель,26,от 2 100 USD на руки,не требуется,ООО Золотая Подкова,Вакансия опубликована 23 мая 2023 в Астане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80916188
SMM-менеджер,3,от 120 000 до 150 000 KZT до вычета налогов,не требуется,ТОО COSMETICS STAR,Вакансия опубликована 23 мая 2023 в Астане,Алматы,гибкий график,"Частичная занятость, гибкий график","SMM;Таргетинг;Составление контент-плана;Контент;Инстаграм;Умение работать в условиях многозадачности;Внимательность, ответственность;Рассылка сообщений;Продвижение мероприятий компании в социальных сетях;работа со статистикой;Скорость;Идейность;Грамотность;Умение планировать;Введение переговоров;Наполнение контентом;Энтузиазм;Гибкость мышления;Казахский — A2 — Элементарный;Русский — C1 — Продвинутый;Английский — A1 — Начальный;",https://almaty.hh.kz/vacancy/80886095
Ресепшионист,8,от 150 000 до 350 000 KZT на руки,не требуется,ТОО Центр реабилитации слуха и речи,Вакансия опубликована 27 мая 2023 в Астане,"Астана, проспект Кабанбай Батыра, 5/1",полный день,"Полная занятость, полный день",Пользователь ПК;Сосредоточенность;Позитивное мышление;Доброта;Улаживание конфликтов;Опыт работы с деньгами;,https://almaty.hh.kz/vacancy/81135237
