Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Электромонтажник/монтажник,143,от 395 000 до 620 000 KZT на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 26 мая 2023 в Атырау,"Екатеринбург, Геологическая, Площадь 1905 года, Чкаловская, улица Начдива Васильева, 3А",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/77752420
Translator (+ admin ),93,з/п не указана,не требуется,ТОО B.W.Kazakhstan,Вакансия опубликована 24 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день","Пользователь ПК;Грамотная речь;Английский язык;Письменный перевод;MS Outlook;Technical Translation;Fluent English;Administrating Skills;Editing;Правильно расставлять приоритеты;Казахский язык;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80926831
Мерчендайзер КА,77,до 265 000 KZT на руки,не требуется,ТОО CONTINEO,Вакансия опубликована 26 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Деловое общение;Навыки составления отчетности;,https://almaty.hh.kz/vacancy/81093377
Администратор салона красоты,8,от 140 000 до 250 000 KZT на руки,не требуется,ИП ZMG.KZ,Вакансия опубликована 26 мая 2023 в Атырау,"Атырау, улица Шокана Валиханова, 23А",полный день,"Полная занятость, полный день",Активные продажи;Управление продажами;Поиск и привлечение клиентов;MS PowerPoint;Пользователь ПК;Работа в команде;Обучение персонала;Телефонные переговоры;Мотивация персонала;Руководство коллективом;Деловая коммуникация;Деловое общение;Прямые продажи;Планирование продаж;Навыки продаж;Подбор персонала;Навыки презентации;Деловая переписка;Составление договоров;Креативность;Исполнение личных поручений руководителя;Организация корпоративных мероприятий;Прием и распределение звонков;Организация работы приемной;1С: Салон красоты;Работа с кассой;Работа с жалобами клиентов;Многозадачность;Деловой этикет;Грамотная речь;,https://almaty.hh.kz/vacancy/81075960
Визитный мерчандайзер (подработка),77,до 26 000 KZT на руки,не требуется,ТОО БТЛ МЫ (Планограмма),Вакансия опубликована 12 мая 2023 в Атырау,Алматы,гибкий график,"Частичная занятость, гибкий график",Мерчендайзинг;Мерчандайзинг;Мобильный мерчандайзинг;Работа с магазинами эконом-класса;Работа с федеральными сетями;Блочная выкладка товара;Выкладка товаров;Линейная выкладка товара;Ведение отчетности;Локальные сети;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80335428
Практикант в отдел кадров,40,з/п не указана,не требуется,ТОО Bolashak Atyrau,Вакансия опубликована 16 мая 2023 в Атырау,Алматы,полный день,"Стажировка, полный день",E9,https://almaty.hh.kz/vacancy/80479809
SMM-менеджер,3,от 80 000 до 100 000 KZT на руки,не требуется,ТОО PROFF TIME,Вакансия опубликована 10 мая 2023 в Атырау,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80225328
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 25 мая 2023 в Атырау,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81024374
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 25 мая 2023 в Атырау,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81012719
Администратор ресепшен,8,до 140 000 KZT на руки,не требуется,ТОО Reikartz Hotel Group (РХМ Казахстан),Вакансия опубликована 25 мая 2023 в Атырау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81036788
