Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Тайный проверяющий,40,от 100 000 до 150 000 KZT до вычета налогов,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 23 мая 2023 в Жезказгане,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80885418
Тайный покупатель в автосалон (Жезказган),40,з/п не указана,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 3 мая 2023 в Жезказгане,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80018250
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 28 апреля 2023 в Жезказгане,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/79916734
Директор филиала,40,от 350 000 KZT до вычета налогов,не требуется,ТОО фирма Траяна,Вакансия опубликована 4 мая 2023 в Жезказгане,Алматы,полный день,"Полная занятость, полный день",Ответственность;Мобильность;Оперативное планирование;Организаторские навыки;Грамотная речь;Ведение переговоров;Управление персоналом;Обучение и развитие;Ориентация на результат;Обучение персонала;Мотивация персонала;Заключение договоров;Планирование продаж;Подбор персонала;,https://almaty.hh.kz/vacancy/79646542
Тайный покупатель,40,от 100 000 KZT на руки,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 29 апреля 2023 в Жезказгане,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78792261
Сервисный инженер,111,з/п не указана,не требуется,ТОО Neo Service,Вакансия опубликована 15 мая 2023 в Жезказгане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80400609
Торговый представитель \ Менеджер по продажам,129,от 200 000 KZT на руки,не требуется,ООО Восхождение,Вакансия опубликована 23 мая 2023 в Жезказгане,Алматы,полный день,"Полная занятость, полный день",Активные продажи;Поиск и привлечение клиентов;Контроль дебиторской задолженности;работа с текущей базой клиентов;B2B Продажи;,https://almaty.hh.kz/vacancy/68027896
Кредитный консультант,57,з/п не указана,не требуется,АО Home Credit Bank,Вакансия опубликована 22 мая 2023 в Жезказгане,"Жезказган, проспект Алашахана, 8",полный день,"Полная занятость, полный день",Консультирование;Пользователь ПК;Обучение персонала;Internet;Грамотная речь;Ведение переговоров;Телефонные переговоры;Активные продажи;,https://almaty.hh.kz/vacancy/80791668
Автоэлектрик / диагност,5,от 300 000 KZT на руки,не требуется,ТОО Гал-Авто,Вакансия опубликована 5 мая 2023 в Жезказгане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80135115
"Торговый представитель, г.Жезказган",129,от 110 000 до 260 000 KZT до вычета налогов,не требуется,ТОО фирма Траяна,Вакансия опубликована 5 мая 2023 в Жезказгане,Алматы,полный день,"Полная занятость, полный день",Работа с возражениями;Поиск и привлечение клиентов;Управление отношениями с клиентами;Навыки продаж;Работа с дебиторской задолженностью;работа с текущей базой клиентов;Мерчендайзинг;,https://almaty.hh.kz/vacancy/80153411
Заправщик АЗС,40,от 150 000 KZT на руки,не требуется,ТОО Гелиос,Вакансия опубликована 15 мая 2023 в Жезказгане,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80401318
Территориальный агент Beeline,40,от 100 000 до 200 000 KZT на руки,не требуется,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Жезказгане,Алматы,полный день,"Частичная занятость, полный день",Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/77860525
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 5 мая 2023 в Жезказгане,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80158640
