Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Администратор салона красоты,8,от 180 000 до 230 000 KZT на руки,не требуется,ИП Оспанов Т.Ө.,Вакансия опубликована 14 мая 2023 в Караганде,"Караганда, улица Байкена Ашимова, 21",полный день,"Полная занятость, полный день",Администратор;Управляющий;Секретарь;,https://almaty.hh.kz/vacancy/80391495
Тайный проверяющий,40,от 100 000 до 150 000 KZT до вычета налогов,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80885419
Визитный мерчандайзер (подработка),77,до 77 000 KZT на руки,не требуется,ТОО БТЛ МЫ (Планограмма),Вакансия опубликована 4 мая 2023 в Караганде,Алматы,гибкий график,"Частичная занятость, гибкий график",Работа в команде;Гибкость;Мерчендайзинг;Мобильный мерчандайзинг;Работа с магазинами премиум-класса;Работа с магазинами эконом-класса;Блочная выкладка товара;Линейная выкладка товара;Ведение отчетности;Локальные сети;Федеральные сети;Контроль сроков годности;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80098477
Инженер-программист,40,з/п не указана,не требуется,"Евразиан Фудс Корпорэйшн, АО",Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, Бытовая улица, 20А",полный день,"Полная занятость, полный день",MySQL;JavaScript;SQL;HTML;Python;Английский язык;Работа с базами данных;Веб-программирование;,https://almaty.hh.kz/vacancy/81069416
Регистратор,8,з/п не указана,не требуется,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Умение работать в команде;Навыки межличностного общения;,https://almaty.hh.kz/vacancy/80817990
Мерчендайзер,77,от 220 000 до 220 000 KZT до вычета налогов,не требуется,"Евразиан Фудс Корпорэйшн, АО",Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,"Полная занятость, полный день",Выкладка товаров;Блочная выкладка товара;Пополнение товарных запасов;Линейная выкладка товара;Дегустации;,https://almaty.hh.kz/vacancy/80889064
Менеджер (оператор) службы доставки,40,до 230 000 KZT на руки,не требуется,ТОО Алып-2008,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, микрорайон Степной-3, 3Б",полный день,"Полная занятость, полный день",Пользователь ПК;Грамотная речь;Работа в команде;Обучение персонала;Грамотность;Деловое общение;Телефонные переговоры;Консультирование клиентов по телефону;Уверенный пользователь ПК;Сообразительность;Оформление возврата продукции;,https://almaty.hh.kz/vacancy/80787311
Формовщик,40,от 300 000 до 350 000 KZT на руки,не требуется,ТОО TH TBZ,Вакансия опубликована 12 мая 2023 в Караганде,"Караганда, улица Резника, 24",полный день,"Полная занятость, полный день",Adobe Reader;Высшее образование;принимать решения и за их результаты отвечать самостоятельно;Работа в условиях многозадачности;Желание обучаться;,https://almaty.hh.kz/vacancy/80334410
Весовщик,85,от 170 000 KZT до вычета налогов,не требуется,ТОО YDD CORPORATION» (УАЙДИДИ КОРПОРЕЙШН),Вакансия опубликована 26 мая 2023 в Караганде,"Караганда, 018-й учетный квартал",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81101101
Manager of Parts Department,66,от 270 000 до 300 000 KZT на руки,не требуется,ИП 36 задач,Вакансия опубликована 14 мая 2023 в Караганде,"Караганда, улица Гоголя, 34А",полный день,"Полная занятость, полный день",Внимательность к деталям;Самоорганизованность;Закупки;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80388737
