Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Администратор салона красоты,8,от 180 000 до 230 000 KZT на руки,ИП Оспанов Т.Ө.,Вакансия опубликована 14 мая 2023 в Караганде,"Караганда, улица Байкена Ашимова, 21",полный день,Полная занятость,Администратор;Управляющий;Секретарь;,https://almaty.hh.kz/vacancy/80391495,,
Тайный проверяющий,40,от 100 000 до 150 000 KZT до вычета налогов,ООО 4Service Holdings GmbH,Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80885419,,
Визитный мерчандайзер (подработка),77,до 77 000 KZT на руки,ТОО БТЛ МЫ (Планограмма),Вакансия опубликована 4 мая 2023 в Караганде,Алматы,гибкий график,Частичная занятость,Работа в команде;Гибкость;Мерчендайзинг;Мобильный мерчандайзинг;Работа с магазинами премиум-класса;Работа с магазинами эконом-класса;Блочная выкладка товара;Линейная выкладка товара;Ведение отчетности;Локальные сети;Федеральные сети;Контроль сроков годности;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80098477,,
Администратор ресепшен,8,от 130 000 KZT на руки,ТОО Reikartz Hotel Group (РХМ Казахстан),Вакансия опубликована 29 мая 2023 в Караганде,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/81202177,,
Регистратор,8,з/п не указана,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 22 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Работа в команде;Грамотная речь;Умение работать в команде;Навыки межличностного общения;,https://almaty.hh.kz/vacancy/80817990,,
Мерчендайзер,77,от 220 000 до 220 000 KZT до вычета налогов,"Евразиан Фудс Корпорэйшн, АО",Вакансия опубликована 23 мая 2023 в Караганде,Алматы,полный день,Полная занятость,Выкладка товаров;Блочная выкладка товара;Пополнение товарных запасов;Линейная выкладка товара;Дегустации;,https://almaty.hh.kz/vacancy/80889064,,
Весовщик,85,от 170 000 KZT до вычета налогов,ТОО YDD CORPORATION» (УАЙДИДИ КОРПОРЕЙШН),Вакансия опубликована 29 мая 2023 в Караганде,"Караганда, 018-й учетный квартал",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81101101,,Сервисное обслуживание/производство
Менеджер (оператор) службы доставки,40,до 230 000 KZT на руки,ТОО Алып-2008,Вакансия опубликована 22 мая 2023 в Караганде,"Караганда, микрорайон Степной-3, 3Б",полный день,Полная занятость,Пользователь ПК;Грамотная речь;Работа в команде;Обучение персонала;Грамотность;Деловое общение;Телефонные переговоры;Консультирование клиентов по телефону;Уверенный пользователь ПК;Сообразительность;Оформление возврата продукции;,https://almaty.hh.kz/vacancy/80787311,,
Формовщик,40,от 300 000 до 350 000 KZT на руки,ТОО TH TBZ,Вакансия опубликована 12 мая 2023 в Караганде,"Караганда, улица Резника, 24",полный день,Полная занятость,Adobe Reader;Высшее образование;принимать решения и за их результаты отвечать самостоятельно;Работа в условиях многозадачности;Желание обучаться;,https://almaty.hh.kz/vacancy/80334410,,
Manager of Parts Department,66,от 270 000 до 300 000 KZT на руки,ИП 36 задач,Вакансия опубликована 14 мая 2023 в Караганде,"Караганда, улица Гоголя, 34А",полный день,Полная занятость,Внимательность к деталям;Самоорганизованность;Закупки;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/80388737,,Менеджмент
Специалист технической поддержки,121,от 220 000 KZT на руки,ТОО Flip.kz,Вакансия опубликована 12 мая 2023 в Караганде,"Караганда, улица Гапеева, 9/2",полный день,Полная занятость,Опытный пользователь ПК;Готовность обучаться;,https://almaty.hh.kz/vacancy/80354019,,
Администратор ресепшен в отель SENATOR,8,з/п не указана,ТОО Евротехно Логистик,Вакансия опубликована 23 мая 2023 в Караганде,"Караганда, проспект Нурсултана Назарбаева, 33/4",полный день,Полная занятость,Английский язык;Грамотная речь;Работа в команде;Заинтересованность;способность быстро обучаться и легко воспринимать крупные объемы информации;,https://almaty.hh.kz/vacancy/78969342,,
Рекрутер (удаленно),118,от 350 000 KZT на руки,ТОО Oktrening,Вакансия опубликована 2 мая 2023 в Караганде,Алматы,удаленная работа,Полная занятость,Грамотная речь;Телефонные переговоры;Работа с большим объемом информации;Грамотность;Деловая коммуникация;Навыки презентации;Подбор сотрудников;Zoom;Оперативный поиск информации в сети Интернет;Оценка кандидатов;Массовый подбор персонала;Подбор персонала;Опытный пользователь ПК;проведение групповых интервью;,https://almaty.hh.kz/vacancy/79965828,,Менеджмент
Начинающий маркетолог,68,з/п не указана,ТОО Компания Hoster.KZ,Вакансия опубликована 15 мая 2023 в Караганде,"Караганда, улица Комиссарова, 45Г",полный день,Полная занятость,Работа с большим объемом информации;Продвижение в социальных группах;Тайм-менеджмент;Битрикс24;Активность;Идейность;GoogleDocs;,https://almaty.hh.kz/vacancy/80403587,,Менеджмент
