Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Бухгалтер-кассир,18,от 220 000 KZT на руки,не требуется,КОКШЕТАУСКИЙ ФИЛИАЛ ТОО ВИРАЖ,Вакансия опубликована 25 мая 2023 в Кокшетау,"Кокшетау, 10-й проезд, 6",полный день,"Полная занятость, полный день",Пользователь ПК;1С: Документооборот;ККМ;1C: Предприятие;Умение работать с людьми;Грамотная письменная речь;Банковское кассовое обслуживание;Инкассация;Ведение кассовой книги;Оптово-розничное кассовое обслуживание;Приходные и расходные кассовые ордера;,https://almaty.hh.kz/vacancy/81026256
Reservation agent (Агент по бронированию),72,з/п не указана,не требуется,ТОО Burabay Hotel Management,Вакансия опубликована 24 мая 2023 в Кокшетау,Щучинск,сменный график,"Полная занятость, сменный график",Прием и распределение телефонных звонков;Английский язык;Грамотная речь;Телефонные переговоры;Пользователь ПК;Грамотность;Бронирование гостиниц;Клиентоориентированность;входящие звонки;Консультирование клиентов по телефону;Электронная почта;Казахский — B2 — Средне-продвинутый;Английский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80948857
Бухгалтер,18,от 400 000 до 500 000 KZT на руки,не требуется,ИП Омельян И.А.,Вакансия опубликована 16 мая 2023 в Кокшетау,"Кокшетау, улица Ауельбекова, 170",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80472627
Помощник логиста,67,от 180 000 до 200 000 KZT на руки,не требуется,ТОО Alem Agro Holding (АлемАгро Холдинг),Вакансия опубликована 27 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/76376542
Стажер-консультант 1С (бухгалтерия),18,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ТОО СофтМастер-Плюс,Вакансия опубликована 28 мая 2023 в Кокшетау,"Кокшетау, улица Миржакипа Дулатова, 29",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80493980
Тайный покупатель (подработка),40,от 80 000 до 120 000 KZT до вычета налогов,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 2 мая 2023 в Кокшетау,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/78801744
Специалист по оценке смартфонов / Начинающий специалист,57,от 140 000 до 170 000 KZT на руки,не требуется,ТОО THE BEST SELLER,Вакансия опубликована 27 мая 2023 в Кокшетау,"Кокшетау, улица Абая, 143",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81141383
"Мастер массажа в спа-салон ""Gentleman spa""",40,от 200 000 до 400 000 KZT до вычета налогов,не требуется,ИП Novicamsever,Вакансия опубликована 22 мая 2023 в Кокшетау,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80814630
Электромонтажник,143,от 395 000 до 620 000 KZT на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 4 мая 2023 в Кокшетау,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/80079551
Администратор торгового зала,8,от 150 000 KZT до вычета налогов,не требуется,ТОО AutoCity Karaganda,Вакансия опубликована 11 мая 2023 в Кокшетау,"Караганда, улица Сарыарка, 37/2",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80318680
Учитель информатики,132,з/п не указана,не требуется,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Работа в команде;Грамотная речь;Организаторские навыки;Творческое мышление;,https://almaty.hh.kz/vacancy/81015633
Маркетолог,68,от 150 000 до 150 000 KZT на руки,не требуется,ИП N.V. BUSINESS GROUP,Вакансия опубликована 19 мая 2023 в Кокшетау,"Кокшетау, улица Валиханова, 195ВЛ9",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80686870
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 5 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80128245
Изготовитель полуфабрикатов (лепщица/лепщик),40,от 140 000 до 160 000 KZT на руки,не требуется,ТОО МПК Бижан,Вакансия опубликована 16 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Чистое производство;Желание обучаться;Работа в команде;,https://almaty.hh.kz/vacancy/80465615
Торговый представитель ТМ МАХЕЕВЪ на регион,129,от 210 000 до 320 000 KZT до вычета налогов,не требуется,ИП Торговая Компания ПРОДМИР ИП Мамилина Рахима Кошурбаевна,Вакансия опубликована 26 мая 2023 в Кокшетау,Алматы,полный день,"Полная занятость, полный день",Поиск и привлечение клиентов;Работа с дебиторской задолженностью;Выполнение плана продаж;Мобильность;Ведение переговоров;,https://almaty.hh.kz/vacancy/79963169
Менеджер по рекламациям,54,от 150 000 KZT на руки,не требуется,ТОО КазАгроЭксперт,Вакансия опубликована 2 мая 2023 в Кокшетау,"Кокшетау, улица Восточная Промзона 20-й проезд",полный день,"Полная занятость, полный день","Работа в команде;Работа с клиентами;Деловое общение;Деловая переписка;Работа с жалобами клиентов;Навыки работы с возражениями;Работа в коллективе;Умение слушать;грамотная устная речь, хорошо поставленный голос, необходимая дикция;Поиск информации в интернет;Точность и внимательность к деталям;Работа с большим объемом информации;Знание офисных программ;Умение работать в команде;",https://almaty.hh.kz/vacancy/79991277
Психолог-педагог,132,з/п не указана,не требуется,"Назарбаев интеллектуальные школы, Автономная организация образования",Вакансия опубликована 25 мая 2023 в Кокшетау,"Кокшетау, улица Жумагали Тлеулина, 59",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81016332
Помощник бухгалтера,18,от 120 000 до 120 000 KZT до вычета налогов,не требуется,ТОО Гормолзавод,Вакансия опубликована 4 мая 2023 в Кокшетау,Кокшетау,полный день,"Полная занятость, полный день",Первичная бухгалтерская документация;1C: Бухгалтерия;Финансовая отчетность;Движение денежных средств;Материальная ответственность;Деловая этика;Работа с банками;Анализ текущих финансовых показателей;,https://almaty.hh.kz/vacancy/80092179
