Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Специалист со знанием английского языка (удаленно),93,от 130 000 KZT на руки,не требуется,ИП Photography Contest,Вакансия опубликована 28 апреля 2023 в Костанае,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Английский язык;Английский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/79921996
Завхоз (заведующий хозяйством),40,от 300 000 до 350 000 KZT до вычета налогов,не требуется,ТОО Алтын-Куз-2003,Вакансия опубликована 26 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81089497
Маляр в цех окраски,40,от 209 000 KZT до вычета налогов,не требуется,ТОО СарыаркаАвтоПром,Вакансия опубликована 1 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/76452180
Контролер,40,от 120 000 KZT на руки,не требуется,ТОО ДЕП,Вакансия опубликована 23 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80855868
Хостес,140,до 140 000 KZT на руки,не требуется,ТОО Гостиница Медео,Вакансия опубликована 26 мая 2023 в Костанае,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/81105725
Оператор фасовки в мороженый цех,85,от 200 000 KZT до вычета налогов,не требуется,ТОО ДЕП,Вакансия опубликована 10 мая 2023 в Костанае,"Костанай, улица Лермонтова, 32",сменный график,"Полная занятость, сменный график",молоко;технология перерабатывающих производств;изготовление молока;молочная продукция;Страховые продукты;технология производства продуктов животноводства;технологические машины и оборудование;технология продовольственных продуктов;стандартизация сертификация метрология;Технология производства;ветеринарная медицина;санитария;фасовка продукции;,https://almaty.hh.kz/vacancy/78273814
Транспортировщик,40,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ТОО Фирма Арасан,Вакансия опубликована 25 мая 2023 в Костанае,Костанай,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81018061
Администратор,8,от 80 000 KZT до вычета налогов,не требуется,ИП Центр коррекции речи ЛОГОПЕД +,Вакансия опубликована 17 мая 2023 в Костанае,"Костанай, улица Гоголя, 42А",полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80598406
Лаборант по зерну и муке,168,от 200 000 KZT на руки,не требуется,ТОО Аруана-2010,Вакансия опубликована 15 мая 2023 в Костанае,"Костанай, Уральская улица, 37",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80427768
Оператор на производство безалкогольных напитков PEPSI,40,от 170 000 до 300 000 KZT на руки,не требуется,ТОО RG Brands Kazakhstan,Вакансия опубликована 17 мая 2023 в Костанае,Алматы,сменный график,"Полная занятость, сменный график",Пользователь ПК;Работа в команде;оформление документации;Многозадачность;Безалкогольные напитки;Желание обучаться;Пунктуален;,https://almaty.hh.kz/vacancy/80548502
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,не требуется,"Beeline, ТМ",Вакансия опубликована 24 мая 2023 в Костанае,Алматы,полный день,"Частичная занятость, полный день",Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/79188674
Кадровик,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 25 мая 2023 в Костанае,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81011764
Мерчендайзер,77,от 190 000 до 200 000 KZT до вычета налогов,не требуется,ТОО ALPINA-KST,Вакансия опубликована 22 мая 2023 в Костанае,"Костанай, улица Карбышева, 2",полный день,"Полная занятость, полный день",Проведение промо акций;Мерчандайзинг;Торговля;Пользователь ПК;Работа в команде;,https://almaty.hh.kz/vacancy/79950704
"Администратор зала (Ресепшен) Тойота центр, Костанай",8,от 120 000 KZT на руки,не требуется,ТОО Тобол Моторс,Вакансия опубликована 15 мая 2023 в Костанае,"Костанай, проспект Абая, 26",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80446906
Зерносушильщик,40,от 200 000 до 250 000 KZT до вычета налогов,не требуется,ТОО Аруана-2010,Вакансия опубликована 23 мая 2023 в Костанае,"Костанай, Уральская улица, 37",полный день,"Полная занятость, полный день",Ответственность и пунктуальность;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80859439
Помощник повара,94,до 200 000 KZT до вычета налогов,не требуется,ТОО Автодом Костанай,Вакансия опубликована 24 мая 2023 в Костанае,"Костанай, улица Баймагамбетова, 153",сменный график,"Полная занятость, сменный график",Работа в команде;Контроль качества;Поварское дело;Общественное питание;Ответственное хранение;,https://almaty.hh.kz/vacancy/80925022
Оператор-литейщик на автоматах и автоматических линиях (сборка форм),85,от 250 000 KZT на руки,не требуется,ТОО КаmLitKZ,Вакансия опубликована 22 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80784991
Кладовщик на склад запасных частей,40,от 200 000 до 500 000 KZT на руки,не требуется,ИП Агротрак,Вакансия опубликована 11 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",1С: Предприятие;Складской Учет;Складской документооборот;1С: Склад;Инвентаризация;Складская логистика;Документооборот;Учет товаров;,https://almaty.hh.kz/vacancy/78545522
Хостес,140,от 100 000 KZT на руки,не требуется,ТОО Торговый дом стройматериалов,Вакансия опубликована 21 мая 2023 в Костанае,"Костанай, Фабричная улица, 2",полный день,"Полная занятость, полный день",Грамотная речь;Хостес;проведение опросов общественного мнения;Модельный бизнес;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/79426664
Менеджер-оценщик (Ломбард/МФО),137,от 220 000 до 280 000 KZT до вычета налогов,не требуется,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 25 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Деловое общение;Ориентация на результат;Клиентоориентированность;Обучение и развитие;,https://almaty.hh.kz/vacancy/81002684
Электромонтажник/монтажник,143,от 395 000 до 620 000 KZT на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 3 мая 2023 в Костанае,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/77697957
Заведующий складом (логист) в аптеку,40,з/п не указана,не требуется,ТОО ФАРМАКС - 2,Вакансия опубликована 25 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",Умение работать в команде;Деловая коммуникация;Ориентация на результат;Лекарственные препараты;,https://almaty.hh.kz/vacancy/80992285
Торговый представитель (PepsiCo Kazakhstan) по Костанайской области,129,от 250 000 KZT на руки,не требуется,ТОО Компания ALE,Вакансия опубликована 2 мая 2023 в Костанае,"Костанай, Киевская улица, 21/1",полный день,"Полная занятость, полный день",работа с текущей базой клиентов;Мерчендайзинг;Традиционная розница;Проведение промо акций;Современная розница;,https://almaty.hh.kz/vacancy/79966024
Помощник Монтажника пластиковых окон с правами.,40,от 200 000 до 300 000 KZT до вычета налогов,не требуется,ИП Престиж,Вакансия опубликована 3 мая 2023 в Костанае,"Костанай, проспект Абая, 155",полный день,"Полная занятость, полный день",Заинтересованность;,https://almaty.hh.kz/vacancy/80029379
Инженер-механик,111,от 200 000 до 300 000 KZT до вычета налогов,не требуется,ТОО Агроснабженческая компания Аском,Вакансия опубликована 26 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81070846
Оператор производственной линии,85,от 150 000 до 200 000 KZT до вычета налогов,не требуется,ТОО Фирма Арасан,Вакансия опубликована 26 мая 2023 в Костанае,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81072011
Логист,39,от 150 000 до 700 000 KZT на руки,не требуется,ТОО ING Trans Company,Вакансия опубликована 28 мая 2023 в Костанае,"Костанай, улица Дулатова, 230",полный день,"Полная занятость, полный день","Ведение переговоров;Деловое общение;Телефонные переговоры;Логистика;Ведение клиентской базы;Многозадачность;Пользователь ПК;Коммуникабельность, ответственность;",https://almaty.hh.kz/vacancy/80474311
Мерчендайзер-специалист по выкладке товара,77,от 180 000 KZT на руки,не требуется,ИП Веселов Евгений Викторович,Вакансия опубликована 4 мая 2023 в Костанае,"Костанай, проспект Абая, 1С",полный день,"Полная занятость, полный день",Блочная выкладка товара;Пополнение товарных запасов;Выкладка товаров;Мерчандайзинг;Пользователь ПК;,https://almaty.hh.kz/vacancy/80089619
