Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Продавец-консультант,40,от 150 000 до 250 000 KZT на руки,не требуется,Sulpak,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81057075
Менеджер по автокредитованию в г. Кызылорда,57,от 160 000 до 180 000 KZT на руки,не требуется,ТОО Сейф-ломбард,Вакансия опубликована 24 мая 2023 в Кызылорде,Алматы,полный день,"Полная занятость, полный день",Кредитные договоры;Клиентоориентированность;Активные продажи;Работа с возражениями;Продажа страховых продуктов;Ориентация на результат;Консультирование клиентов;Урегулирование конфликтов;CRM;оформление документации;Работа с жалобами клиентов;Работа с людьми;Оценка потребностей клиентов;Ориентация на клиента;Мобильность;Ведение переговоров;Поиск и привлечение клиентов;Казахский — C1 — Продвинутый;Русский — C1 — Продвинутый;,https://almaty.hh.kz/vacancy/80923512
Deutschsprachiger Kundenbetreuer in Batumi (Georgian),40,от 2 300 GEL до вычета налогов,не требуется,Majorel Georgia LLC,Вакансия опубликована 28 апреля 2023 в Кызылорде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79916572
Стажер-агент по обслуживанию пассажиров,40,з/п не указана,не требуется,"AIR ASTANA, АО",Вакансия опубликована 18 мая 2023 в Кызылорде,Алматы,полный день,"Стажировка, полный день",Английский язык;Грамотная речь;Работа в команде;Работа с людьми;Казахский язык;Русский язык;,https://almaty.hh.kz/vacancy/80629842
Администратор автосалона,8,от 100 000 до 150 000 KZT на руки,не требуется,ТОО TURAN AUTO KZ,Вакансия опубликована 4 мая 2023 в Кызылорде,"Кызылорда, проспект Нурсултана Назарбаева, 28",полный день,"Полная занятость, полный день",Пользователь ПК;Русский и казахский языки;,https://almaty.hh.kz/vacancy/80083644
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,не требуется,"Beeline, ТМ",Вакансия опубликована 19 мая 2023 в Кызылорде,Алматы,полный день,"Частичная занятость, полный день",Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/78137866
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 23 мая 2023 в Кызылорде,"Кызылорда, улица Айтеке би, 28",полный день,"Полная занятость, полный день",Деловое общение;Выездные мероприятия;Уверенный пользователь ПК;Планирование карьеры;Опытный пользователь ПК;,https://almaty.hh.kz/vacancy/80898067
Менеджер интернет магазина,40,от 120 000 KZT до вычета налогов,не требуется,ИП Строймаркет Алтын Орда,Вакансия опубликована 15 мая 2023 в Кызылорде,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79072936
Администратор на ресепшен в сеть фитнес-клуба Lady Gym,8,от 70 000 KZT на руки,не требуется,ТОО Woman’s time,Вакансия опубликована 20 мая 2023 в Кызылорде,Алматы,полный день,"Полная занятость, полный день",Грамотность;Работа с людьми;Работа в команде;Пользователь ПК;Способность быстро обучаться;Опрятность;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80767163
Мастер-прораб,100,з/п не указана,не требуется,ТОО ОРДА СТРОЙ ХОЛДИНГ,Вакансия опубликована 23 мая 2023 в Кызылорде,"Кызылорда, улица Сагымбаева, 74",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80904091
"Content moderator (with knowledge of Kazakh, Russian and English)",40,до 2 700 GEL до вычета налогов,не требуется,Majorel Georgia LLC,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,полный день,"Полная занятость, полный день",Kazakh language;Russian language;English language;,https://almaty.hh.kz/vacancy/79916598
Специалист по оценке смартфонов / Начинающий Специалист,57,от 140 000 до 180 000 KZT на руки,не требуется,ТОО THE BEST SELLER,Вакансия опубликована 27 мая 2023 в Кызылорде,"Кызылорда, улица Казыбек би, 22",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80196759
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/79890402
