Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Продавец-консультант,40,от 150 000 до 250 000 KZT на руки,Sulpak,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81057075,,
Стажер-агент по обслуживанию пассажиров,40,з/п не указана,"AIR ASTANA, АО",Вакансия опубликована 18 мая 2023 в Кызылорде,Алматы,полный день,Стажировка,Английский язык;Грамотная речь;Работа в команде;Работа с людьми;Казахский язык;Русский язык;,https://almaty.hh.kz/vacancy/80629842,,
Администратор автосалона,8,от 100 000 до 150 000 KZT на руки,ТОО TURAN AUTO KZ,Вакансия опубликована 4 мая 2023 в Кызылорде,"Кызылорда, проспект Нурсултана Назарбаева, 28",полный день,Полная занятость,Пользователь ПК;Русский и казахский языки;,https://almaty.hh.kz/vacancy/80083644,,
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 19 мая 2023 в Кызылорде,Алматы,полный день,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/78137866,,
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 23 мая 2023 в Кызылорде,"Кызылорда, улица Айтеке би, 28",полный день,Полная занятость,Деловое общение;Выездные мероприятия;Уверенный пользователь ПК;Планирование карьеры;Опытный пользователь ПК;,https://almaty.hh.kz/vacancy/80898067,,
Администратор на ресепшен в сеть фитнес-клуба Lady Gym,8,от 70 000 KZT на руки,ТОО Woman’s time,Вакансия опубликована 20 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,Грамотность;Работа с людьми;Работа в команде;Пользователь ПК;Способность быстро обучаться;Опрятность;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/80767163,,
Менеджер интернет магазина,40,от 120 000 KZT до вычета налогов,ИП Строймаркет Алтын Орда,Вакансия опубликована 15 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/79072936,,
Мастер-прораб,100,з/п не указана,ТОО ОРДА СТРОЙ ХОЛДИНГ,Вакансия опубликована 23 мая 2023 в Кызылорде,"Кызылорда, улица Сагымбаева, 74",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80904091,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/79890402,,
Лаборант,79,от 150 000 до 150 000 KZT на руки,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 10 мая 2023 в Кызылорде,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/80206837,,Наука
"Тайный покупатель, удаленно",40,з/п не указана,ТОО PLAN business consult,Вакансия опубликована 24 мая 2023 в Кызылорде,Алматы,удаленная работа,Частичная занятость,Грамотная речь;Ответственность;,https://almaty.hh.kz/vacancy/80926205,,
Юрист,146,от 180 000 KZT до вычета налогов,ТОО Сәтті Телеком,Вакансия опубликована 2 мая 2023 в Кызылорде,"Кызылорда, улица Бокейхана, 95",полный день,Полная занятость,Юридическое сопровождение;Государственные закупки;Знание законодательства;Договорная работа;Юрист;Взаимодействие с государственными контролирующими органами;,https://almaty.hh.kz/vacancy/79964770,,
Маркетолог,68,от 100 000 до 180 000 KZT на руки,ТОО TURAN AUTO KZ,Вакансия опубликована 2 мая 2023 в Кызылорде,"Кызылорда, проспект Нурсултана Назарбаева, 28",полный день,Полная занятость,Пользователь ПК;Свободное владение русского и казахского языка;Анализ трафика;,https://almaty.hh.kz/vacancy/80013696,,Менеджмент
Координатор тайных покупателей,40,от 80 000 до 200 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 18 мая 2023 в Кызылорде,Алматы,удаленная работа,Полная занятость,E9,https://almaty.hh.kz/vacancy/80657117,,
Тайный проверяющий,40,до 100 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 1 мая 2023 в Кызылорде,Алматы,гибкий график,Частичная занятость,Пользователь ПК;Электронная почта;,https://almaty.hh.kz/vacancy/79949476,,
Мерчендайзер категории ВС,77,до 180 000 KZT на руки,ТОО RG Brands Kazakhstan,Вакансия опубликована 10 мая 2023 в Кызылорде,"Кызылорда, улица Бейбитшилик",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80229647,,
Техничка/Техник,40,з/п не указана,ТОО ФЕНИКС ИНТЕРНЕШНЛ РЕСОРСИЗ КАСПИАН,Вакансия опубликована 25 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81043059,,
Мерчендайзер,77,от 100 000 до 120 000 KZT на руки,"АО CASPIAN beverage holding, АО",Вакансия опубликована 27 мая 2023 в Кызылорде,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80338109,,
Удаленный сотрудник по работе с клиентами,40,от 100 000 до 160 000 KZT до вычета налогов,ТОО Oktrening,Вакансия опубликована 29 мая 2023 в Кызылорде,Алматы,удаленная работа,Полная занятость,Грамотная речь;Работа в команде;Грамотность;Работа с большим объемом информации;Деловое общение;,https://almaty.hh.kz/vacancy/79196852,,
"IT-наставник для детей по разработке игр (Minecraft, Roblox)",96,до 80 000 руб. на руки,Skyeng,Вакансия опубликована 10 мая 2023 в Кызылорде,Алматы,удаленная работа,Частичная занятость,Разработка компьютерных Игр;Minecraft;Roblox;Программирование для детей;Преподаватель;Преподавание;Обучение;,https://almaty.hh.kz/vacancy/80255601,,IT
Тайный покупатель,40,з/п не указана,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Кызылорде,Алматы,полный день,Проектная работа/разовое задание,Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239872,,
Помощник юриста,145,от 35 000 руб. на руки,BY business group,Вакансия опубликована 19 мая 2023 в Кызылорде,"Кызылорда, улица Толыбекова, 14",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80728445,,
Торговый представитель,129,от 100 000 до 180 000 KZT до вычета налогов,ТОО REDLINECAPITAL,Вакансия опубликована 12 мая 2023 в Кызылорде,"Кызылорда, улица Саламатова",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80339433,,
