Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Резчик,40,до 180 000 KZT на руки,не требуется,ТОО Тави Павлодар,Вакансия опубликована 26 мая 2023 в Павлодаре,"Павлодар, Торговая улица, 7/4",полный день,"Полная занятость, полный день",Работа в команде;Способность обучать других;Точность и внимательность к деталям;Скорость;Работа в коллективе;Не конфликтность;,https://almaty.hh.kz/vacancy/81072283
Администратор,8,от 150 000 до 180 000 KZT до вычета налогов,не требуется,ТОО ASTANA VISION PAVLODAR,Вакансия опубликована 17 мая 2023 в Павлодаре,"Павлодар, улица Академика Бектурова, 103",полный день,"Полная занятость, полный день",Работа в команде;оформление документации;Точность и внимательность к деталям;Грамотность;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80549659
Бухгалтер,18,от 220 000 до 260 000 KZT на руки,не требуется,ИП Сумин Н.С.,Вакансия опубликована 27 мая 2023 в Павлодаре,"Павлодар, улица Малайсары Батыра, 13",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81134426
Тайный проверяющий,40,от 100 000 до 150 000 KZT на руки,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 18 мая 2023 в Павлодаре,Алматы,гибкий график,"Частичная занятость, гибкий график",Пользователь ПК;Грамотная речь;,https://almaty.hh.kz/vacancy/80633172
"Администратор школы вокала ""MICROFON""",8,от 150 000 до 221 000 KZT до вычета налогов,не требуется,ИП MICROFON,Вакансия опубликована 27 мая 2023 в Павлодаре,"Павлодар, улица Павлова, 26/4",полный день,"Полная занятость, полный день",Пользователь ПК;Администрирование;Работа с большим объемом информации;Урегулирование конфликтов;Многозадачность;Телефонные переговоры;CRM;Ведение отчетности;,https://almaty.hh.kz/vacancy/81144306
Техник-инкассатор по обслуживанию терминалов,111,от 200 000 до 200 000 KZT на руки,не требуется,"ТОО Cash Master,TM (TOO Almaty Enterprising Company Ltd )",Вакансия опубликована 26 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Настройка ПК;Настройка ПО;Сборка ПК;Ремонт ПК;,https://almaty.hh.kz/vacancy/81089974
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,не требуется,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Павлодаре,Алматы,полный день,"Частичная занятость, полный день",Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/79257368
Сервис-менеджер,40,от 115 000 до 153 000 KZT на руки,не требуется,ТОО 2ГИС-ПАВЛОДАР,Вакансия опубликована 26 мая 2023 в Павлодаре,"Павлодар, улица Малайсары Батыра, 13",полный день,"Полная занятость, полный день",Грамотная речь;Проведение опросов клиентов;Грамотность;Пользователь ПК;Деловая коммуникация;Работа с оргтехникой;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/81076945
Помощник на подачу пива,40,от 90 000 до 110 000 KZT на руки,не требуется,ИП AV Company,Вакансия опубликована 16 мая 2023 в Павлодаре,"Павлодар, улица Академика Сатпаева, 21",полный день,"Частичная занятость, полный день",Работа в команде;Грамотная речь;Активный;,https://almaty.hh.kz/vacancy/80487886
Мерчендайзер-аудитор,77,от 50 000 до 60 000 KZT на руки,не требуется,ТОО RD Trade,Вакансия опубликована 1 мая 2023 в Павлодаре,Алматы,гибкий график,"Частичная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/79949764
Администратор офиса,8,от 150 000 до 150 000 KZT на руки,не требуется,ТОО Промышленный дизайн,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",MS Word;MS Excel;Навыки переговоров;Телефонные переговоры;Грамотность;Креативность;Электронная почта;Грамотная речь;Деловое общение;,https://almaty.hh.kz/vacancy/80714747
Торговый представитель,129,з/п не указана,не требуется,ИП МҰҚТАРОВ ДАМИР САПИЯНҰЛЫ VIP-Сервис,Вакансия опубликована 26 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",работа с текущей базой клиентов;работа с клиентами;Умение принимать решение;Выездное обслуживание;,https://almaty.hh.kz/vacancy/72112133
Промоутер-консультант/Хостес табачный бренд,140,от 112 000 до 200 000 KZT на руки,не требуется,ТОО CONTINEO,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Частичная занятость, полный день",Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/81024791
Торговый представитель,129,от 200 000 до 500 000 KZT до вычета налогов,не требуется,ТОО Рогнеда Казахстан,Вакансия опубликована 23 мая 2023 в Павлодаре,"Караганда, улица Молокова, 119",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80885986
Инструктор летнего парка развлечений Чуда Кот,40,з/п не указана,не требуется,"ТОО БАТЫР-Павлодар, ТОО",Вакансия опубликована 26 мая 2023 в Павлодаре,"Павлодар, улица Камзина, 67/1",сменный график,"Полная занятость, сменный график",Работа в команде;Охрана труда и техника безопасности;Умение принимать решения;,https://almaty.hh.kz/vacancy/81094266
Event-менеджер,1,з/п не указана,не требуется,ТОО Рубиком,Вакансия опубликована 19 мая 2023 в Павлодаре,"Павлодар, улица Генерала Дюсенова, 3/1",полный день,"Полная занятость, полный день","Управление проектами;MS PowerPoint;Креативность;Организация мероприятий;Внимательность к деталям, способность работать с большими массивами информации;Организация спонсорских мероприятий;Работа в условиях многозадачности;",https://almaty.hh.kz/vacancy/80723968
Резчик поролона,85,до 200 000 KZT до вычета налогов,не требуется,ТОО Тави Павлодар,Вакансия опубликована 19 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80722108
Менеджер по работе с клиентами-администратор,8,от 120 000 KZT до вычета налогов,не требуется,ТОО ШАРКСКИДС,Вакансия опубликована 28 мая 2023 в Павлодаре,Алматы,сменный график,"Полная занятость, сменный график",Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80791900
Фаршесоставитель,85,от 285 000 до 285 000 KZT до вычета налогов,не требуется,ТОО SMAK-PV,Вакансия опубликована 17 мая 2023 в Павлодаре,"Павлодар, улица Естая, 136/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80563842
Торговый представитель на регион,129,от 300 000 KZT на руки,не требуется,ТОО СВИТ Company 2016,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81039817
Торговый представитель на категории А,129,от 250 000 KZT на руки,не требуется,ТОО СВИТ Company 2016,Вакансия опубликована 26 мая 2023 в Павлодаре,Алматы,гибкий график,"Полная занятость, гибкий график",E9,https://almaty.hh.kz/vacancy/81067125
Медсестра/Медбрат,64,от 165 000 до 200 000 KZT до вычета налогов,не требуется,ТОО ASTANA VISION PAVLODAR,Вакансия опубликована 17 мая 2023 в Павлодаре,"Павлодар, улица Академика Бектурова, 103",полный день,"Полная занятость, полный день",Работа в команде;Internet;Изделия медицинского назначения;Работа с документацией;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/80549771
Сервисный инженер,111,от 150 000 KZT до вычета налогов,не требуется,"ООО MedIntelCompany, ТОО",Вакансия опубликована 26 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Монтаж оборудования;Техническое обслуживание;,https://almaty.hh.kz/vacancy/81070732
HR менеджер,118,з/п не указана,не требуется,ТОО Рубиком,Вакансия опубликована 22 мая 2023 в Павлодаре,"Павлодар, улица Генерала Дюсенова, 3/1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80784791
Монтажник технологических трубопроводов и металлоконструкций (Монтажник),78,з/п не указана,не требуется,ТОО CES Kazakhstan,Вакансия опубликована 25 мая 2023 в Павлодаре,"Павлодар, улица Луначарского, 6/2",полный день,"Полная занятость, полный день",Ответственность;аккуратность;субординация;умение достигать высоких результатов;умение работать в команде;Стрессоустойчивость;Монтаж оборудования;Монтаж металлоконструкций;Работа на высоте;,https://almaty.hh.kz/vacancy/81033491
Медицинский представитель,65,от 180 000 KZT на руки,не требуется,ТОО Vitaman (Витамэн),Вакансия опубликована 28 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80785691
Уборщик административных и служебных помещений,40,до 160 000 KZT на руки,не требуется,ТОО Тави Павлодар,Вакансия опубликована 26 мая 2023 в Павлодаре,"Павлодар, Торговая улица, 7/4",полный день,"Полная занятость, полный день",Работа с людьми;,https://almaty.hh.kz/vacancy/81099127
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 25 мая 2023 в Павлодаре,Алматы,полный день,"Частичная занятость, полный день",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81024306
Помощник по кухне ресторана боулинга,40,от 100 000 KZT на руки,не требуется,"ТОО БАТЫР-Павлодар, ТОО",Вакансия опубликована 4 мая 2023 в Павлодаре,"Павлодар, улица Камзина, 67/1",полный день,"Полная занятость, полный день",Умение работать в команде;Общественное питание;,https://almaty.hh.kz/vacancy/80097347
Печатник офсетной печати,40,от 150 000 до 230 000 KZT на руки,не требуется,ТОО Дом Печати,Вакансия опубликована 11 мая 2023 в Павлодаре,"Павлодар, улица Астана, 143",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80302414
Менеджер на выдачу микрокредитов в г. Павлодар,137,от 120 000 до 150 000 KZT на руки,не требуется,ТОО Микрофинансовая организация Finbox,Вакансия опубликована 19 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80685937
Диспетчер,39,от 130 000 до 130 000 KZT до вычета налогов,не требуется,ТОО Гелиос,Вакансия опубликована 25 мая 2023 в Павлодаре,"Павлодар, Каирбаева, 94",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80991545
Психолог,101,от 100 000 до 150 000 KZT на руки,не требуется,ТОО Центр психологии Семья и Детство,Вакансия опубликована 25 мая 2023 в Павлодаре,"Павлодар, улица Катаева, 24/1",полный день,"Полная занятость, полный день",Пользователь ПК;Общая психология;Работа в команде;Грамотная речь;Детская психология;,https://almaty.hh.kz/vacancy/80516003
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Павлодаре,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239873
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 17 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80547746
Помощник по кухне,40,от 100 000 KZT на руки,не требуется,"ТОО БАТЫР-Павлодар, ТОО",Вакансия опубликована 24 мая 2023 в Павлодаре,"Павлодар, улица Камзина, 67/1",полный день,"Полная занятость, полный день",Умение работать в команде;Общественное питание;,https://almaty.hh.kz/vacancy/80942174
Инспектор отдела кадров,117,от 120 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Частная клиника Искакова,Вакансия опубликована 3 мая 2023 в Павлодаре,"Павлодар, улица Гагарина, 16",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80037426
Оператор ресепшен,40,от 109 000 до 109 000 KZT до вычета налогов,не требуется,АО TECHNODOM Operator (Технодом Оператор),Вакансия опубликована 19 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80726184
Персональный менеджер в г. Павлодаре,57,от 200 000 KZT на руки,не требуется,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 16 мая 2023 в Павлодаре,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80502176
