Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Резчик,40,до 180 000 KZT на руки,ТОО Тави Павлодар,Вакансия опубликована 26 мая 2023 в Павлодаре,"Павлодар, Торговая улица, 7/4",полный день,Полная занятость,Работа в команде;Способность обучать других;Точность и внимательность к деталям;Скорость;Работа в коллективе;Не конфликтность;,https://almaty.hh.kz/vacancy/81072283,,
Бухгалтер,18,от 220 000 до 260 000 KZT на руки,ИП Сумин Н.С.,Вакансия опубликована 27 мая 2023 в Павлодаре,"Павлодар, улица Малайсары Батыра, 13",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81134426,,Финансы
Администратор,8,от 150 000 до 180 000 KZT до вычета налогов,ТОО ASTANA VISION PAVLODAR,Вакансия опубликована 17 мая 2023 в Павлодаре,"Павлодар, улица Академика Бектурова, 103",полный день,Полная занятость,Работа в команде;оформление документации;Точность и внимательность к деталям;Грамотность;Умение работать в коллективе;,https://almaty.hh.kz/vacancy/80549659,,
"Администратор школы вокала ""MICROFON""",8,от 150 000 до 221 000 KZT до вычета налогов,ИП MICROFON,Вакансия опубликована 27 мая 2023 в Павлодаре,"Павлодар, улица Павлова, 26/4",полный день,Полная занятость,Пользователь ПК;Администрирование;Работа с большим объемом информации;Урегулирование конфликтов;Многозадачность;Телефонные переговоры;CRM;Ведение отчетности;,https://almaty.hh.kz/vacancy/81144306,,
Помощник Бухгалтера,18,от 145 000 до 200 000 KZT до вычета налогов,ТОО S AND S,Вакансия опубликована 29 мая 2023 в Павлодаре,"Павлодар, улица Камзина, 51/3",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81205182,,Финансы
Тайный проверяющий,40,от 100 000 до 150 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 18 мая 2023 в Павлодаре,Алматы,гибкий график,Частичная занятость,Пользователь ПК;Грамотная речь;,https://almaty.hh.kz/vacancy/80633172,,
Менеджер интернет-магазина Unicode.kz,54,от 180 000 до 180 000 KZT до вычета налогов,ТОО СДЭК - Павлодар,Вакансия опубликована 29 мая 2023 в Павлодаре,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81251321,,Менеджмент
Техник-инкассатор по обслуживанию терминалов,111,от 200 000 до 200 000 KZT на руки,"ТОО Cash Master,TM (TOO Almaty Enterprising Company Ltd )",Вакансия опубликована 26 мая 2023 в Павлодаре,Алматы,полный день,Полная занятость,Пользователь ПК;Настройка ПК;Настройка ПО;Сборка ПК;Ремонт ПК;,https://almaty.hh.kz/vacancy/81089974,,Сервисное обслуживание/производство
Сервис-менеджер,40,от 115 000 до 153 000 KZT на руки,ТОО 2ГИС-ПАВЛОДАР,Вакансия опубликована 26 мая 2023 в Павлодаре,"Павлодар, улица Малайсары Батыра, 13",полный день,Полная занятость,Грамотная речь;Проведение опросов клиентов;Грамотность;Пользователь ПК;Деловая коммуникация;Работа с оргтехникой;Казахский — C2 — В совершенстве;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/81076945,,
Инструктор летнего парка развлечений Чуда Кот,40,з/п не указана,"ТОО БАТЫР-Павлодар, ТОО",Вакансия опубликована 26 мая 2023 в Павлодаре,"Павлодар, улица Камзина, 67/1",сменный график,Полная занятость,Работа в команде;Охрана труда и техника безопасности;Умение принимать решения;,https://almaty.hh.kz/vacancy/81094266,,
