Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Визитный мерчандайзер (подработка),77,от 50 000 до 50 000 KZT на руки,не требуется,ТОО БТЛ МЫ (Планограмма),Вакансия опубликована 18 мая 2023 в Петропавловске,Алматы,гибкий график,"Частичная занятость, гибкий график",Мерчандайзинг;Визуальный мерчандайзинг;Умение работать в команде;Торговый маркетинг;Работа с большим объемом информации;Работа с региональными сетями;Работа с магазинами премиум-класса;Ведение отчетности;Линейная выкладка товара;Блочная выкладка товара;Русский — B1 — Средний;,https://almaty.hh.kz/vacancy/80670945
Торговый представитель,129,от 200 000 KZT на руки,не требуется,ТОО КазАрстрой,Вакансия опубликована 27 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/81149593
Ассистент менеджера,119,от 130 000 KZT до вычета налогов,не требуется,ТОО Ультрамедтех КЗ,Вакансия опубликована 22 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Прием входящих звонков;Уверенный пользователь ПК;Сопровождение клиентов;Работа с существующей базой клиентов;Деловое общение;Работа с договорами;Работа с компьютером;оформление документации;Грамотная речь;Работа в команде;Телефонные переговоры;,https://almaty.hh.kz/vacancy/80786925
Инженер,40,от 80 000 до 200 000 KZT на руки,не требуется,ТОО Научнотехнологический центр воды,Вакансия опубликована 26 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",Точность и внимательность к деталям;Логическое мышление;Работа в команде;Желание работать и зарабатывать;Желание работать и развиваться;Заинтересованность;,https://almaty.hh.kz/vacancy/81071123
Бухгалтер материального стола,18,от 170 000 до 190 000 KZT до вычета налогов,не требуется,ИП Семенов Юрий Александрович,Вакансия опубликована 25 мая 2023 в Петропавловске,"Петропавловск, Советская улица, 37",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81023877
Электромонтажник/монтажник,143,от 395 000 до 620 000 KZT на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 3 мая 2023 в Петропавловске,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/77697958
Мерчендайзер,77,до 167 000 KZT на руки,не требуется,ТОО Apple City Corps,Вакансия опубликована 25 мая 2023 в Петропавловске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81022655
"Мастер сервисного центра в ТЦ ""Рахмет""",162,до 170 000 KZT на руки,не требуется,Спортмастер Казахстан,Вакансия опубликована 28 мая 2023 в Петропавловске,Алматы,сменный график,"Полная занятость, сменный график",Гарантийное обслуживание;Умение работать в команде;Консультирование клиентов;,https://almaty.hh.kz/vacancy/80787989
Рыбообработчик,85,от 80 000 до 150 000 руб. на руки,не требуется,Белова Татьяна Петровна,Вакансия опубликована 18 мая 2023 в Петропавловске,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/80678643
Специалист по связям с общественностью,2,от 150 000 до 180 000 KZT на руки,не требуется,АО СЕВКАЗЭНЕРГО,Вакансия опубликована 26 мая 2023 в Петропавловске,"Петропавловск, улица Жамбыла Жабаева, 215",полный день,"Полная занятость, полный день",PR;Анализ PR стратегии конкурентов;Медиа-мониторинг;Антикризисные коммуникации;Электронные СМИ;Продвинутый пользователь ПК;Организация PR кампаний;Грамотная устная и письменная речь;Работа со СМИ;SMM;Копирайтинг;MS PowerPoint;Социальные сети;Креативность;Ведение групп в социальных сетях;Продвижение мероприятий компании в социальных сетях;Cоциальная реклама;Разработка PR стратегии;Организация мероприятий;Деловая коммуникация;Анкетирование;Adobe Photoshop;Организация благотворительных мероприятий;Контакты с журналистами;Общественные организации;навыки межличностного делового общения;Умение работать в условиях многозадачности;Обработка фото;Ведение социальных сетей;Деловое лидерство;,https://almaty.hh.kz/vacancy/79818431
