Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Инженер,48,з/п не указана,не требуется,ТОО ПК «Цементный завод Семей»,Вакансия опубликована 28 мая 2023 в Семее,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80786531
Продавец-консультант,40,от 200 000 до 300 000 KZT на руки,не требуется,Sulpak,Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80997502
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 26 мая 2023 в Семее,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81079142
Администратор-кассир,8,от 150 000 KZT на руки,не требуется,ТОО Семей-НОМАД,Вакансия опубликована 17 мая 2023 в Семее,"Семей, улица Ибраева, 149",полный день,"Полная занятость, полный день",Пользователь ПК;Английский язык;Работа в команде;Грамотная речь;Ведение переговоров;,https://almaty.hh.kz/vacancy/80589395
Оператор в макаронный цех,85,от 185 000 до 185 000 KZT до вычета налогов,не требуется,ТОО Ай-Ар,Вакансия опубликована 18 мая 2023 в Семее,"Семей, улица Жанатай улы, 1",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80625121
Торговый представитель,129,от 195 000 до 250 000 KZT до вычета налогов,не требуется,"Радуга, ТОО (Компания Raduga KDR)",Вакансия опубликована 23 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",HoReCa;Проведение промо акций;Работа с дебиторской задолженностью;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/80891063
Помощник главного бухгалтера,18,от 150 000 KZT до вычета налогов,не требуется,ТОО 2GIS-SEMEY,Вакансия опубликована 11 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Бумажный документооборот;1С: Документооборот;Знание 1С;Грамотная устная и письменная речь;Excel;Выставление счетов;MS CRM;,https://almaty.hh.kz/vacancy/80301330
Администратор WD,8,з/п не указана,не требуется,АО ForteBank,Вакансия опубликована 26 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/81102559
"Кредитный специалист, г. Семей",57,от 120 000 до 250 000 KZT на руки,не требуется,ТОО МИКРОФИНАНСОВАЯ ОРГАНИЗАЦИЯ SOFI FINANCE (СОФИ ФИНАНС),Вакансия опубликована 3 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Работа с документами;Ориентация на результат;Консультирование клиентов;Составление отчетности;,https://almaty.hh.kz/vacancy/80040037
Оператор (приемщик товара),84,з/п не указана,не требуется,ТОО АҚШЫҢ МАРКЕТ,Вакансия опубликована 22 мая 2023 в Семее,"Семей, микрорайон Карагайлы",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80785656
Начальник (ЦБО) Центра банковского обслуживания Филиала АО «Нурбанк» в г. Семей,40,з/п не указана,не требуется,АО Нурбанк,Вакансия опубликована 24 мая 2023 в Семее,"Семей, проспект Шакарима, 47",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80956988
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 23 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80893382
Медицинская сестра/Медицинский брат,64,з/п не указана,не требуется,ТОО White Dent,Вакансия опубликована 25 мая 2023 в Семее,"Семей, улица Кабанбай батыра, 42",полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Стремление к профессиональному развитию;Работа с компьютером;,https://almaty.hh.kz/vacancy/81006011
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80996322
Оператор ресепшен,40,от 109 000 до 109 000 KZT до вычета налогов,не требуется,АО TECHNODOM Operator (Технодом Оператор),Вакансия опубликована 19 мая 2023 в Семее,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80724406
Сборщик монтажник (обучение),78,от 145 000 до 300 000 KZT до вычета налогов,не требуется,ИП Рекламно-производственная компания Семей Коркем,Вакансия опубликована 8 мая 2023 в Семее,"Семей, улица Победы, 5",полный день,"Полная занятость, полный день",Желание учиться новому;Желание работать и развиваться;,https://almaty.hh.kz/vacancy/78873673
