Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Инженер,48,з/п не указана,ТОО ПК «Цементный завод Семей»,Вакансия опубликована 28 мая 2023 в Семее,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80786531,,Сервисное обслуживание/производство
Продавец-консультант,40,от 200 000 до 300 000 KZT на руки,Sulpak,Вакансия опубликована 25 мая 2023 в Семее,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80997502,,
Администратор-кассир,8,от 150 000 KZT на руки,ТОО Семей-НОМАД,Вакансия опубликована 17 мая 2023 в Семее,"Семей, улица Ибраева, 149",полный день,Полная занятость,Пользователь ПК;Английский язык;Работа в команде;Грамотная речь;Ведение переговоров;,https://almaty.hh.kz/vacancy/80589395,,
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 26 мая 2023 в Семее,Алматы,удаленная работа,Частичная занятость,Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81079142,,Менеджмент
Оператор в макаронный цех,85,от 185 000 до 185 000 KZT до вычета налогов,ТОО Ай-Ар,Вакансия опубликована 18 мая 2023 в Семее,"Семей, улица Жанатай улы, 1",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80625121,,Сервисное обслуживание/производство
Помощник главного бухгалтера,18,от 150 000 KZT до вычета налогов,ТОО 2GIS-SEMEY,Вакансия опубликована 11 мая 2023 в Семее,Алматы,полный день,Полная занятость,Бумажный документооборот;1С: Документооборот;Знание 1С;Грамотная устная и письменная речь;Excel;Выставление счетов;MS CRM;,https://almaty.hh.kz/vacancy/80301330,,Финансы
Торговый представитель,129,от 195 000 до 250 000 KZT до вычета налогов,"Радуга, ТОО (Компания Raduga KDR)",Вакансия опубликована 23 мая 2023 в Семее,Алматы,полный день,Полная занятость,HoReCa;Проведение промо акций;Работа с дебиторской задолженностью;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/80891063,,
Администратор WD,8,з/п не указана,АО ForteBank,Вакансия опубликована 26 мая 2023 в Семее,Алматы,полный день,Полная занятость,Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/81102559,,
Дизайнер мебели,34,з/п не указана,ТОО Компания TROYA,Вакансия опубликована 29 мая 2023 в Семее,"Павлодар, улица Ломова, 176/2",полный день,Полная занятость,Творческое мышление;Подготовка презентаций;Креативность;3ds Max;Adobe Photoshop;Готовность к командировкам;Гибкость мышления;,https://almaty.hh.kz/vacancy/81200916,,Массмедиа
Начальник (ЦБО) Центра банковского обслуживания Филиала АО «Нурбанк» в г. Семей,40,з/п не указана,АО Нурбанк,Вакансия опубликована 24 мая 2023 в Семее,"Семей, проспект Шакарима, 47",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80956988,,
