Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Ночной флорист,40,от 140 000 до 200 000 KZT до вычета налогов,не требуется,ТОО ROMANTIC-TDK,Вакансия опубликована 12 мая 2023 в Талдыкоргане,"Талдыкорган, улица Акын Сара, 155",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80355942
Промоутер-консультант/Хостес/Продавец-консультант,140,от 112 000 до 200 000 KZT на руки,не требуется,ТОО CONTINEO,Вакансия опубликована 25 мая 2023 в Талдыкоргане,Алматы,полный день,"Частичная занятость, полный день",Работа в команде;Проведение презентаций;Ведение переговоров;Грамотная речь;Активные продажи;,https://almaty.hh.kz/vacancy/81025129
Оператор на производство,85,от 185 000 до 190 000 KZT на руки,не требуется,ТОО Anel Production,Вакансия опубликована 2 мая 2023 в Талдыкоргане,"Алматы, улица Геологов, 2В",сменный график,"Полная занятость, сменный график",Желание работать и зарабатывать;Желание обучаться;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/79962246
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,не требуется,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Талдыкоргане,Алматы,гибкий график,"Частичная занятость, гибкий график",Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/79078774
"Монтажник, г. Талдыкорган",78,з/п не указана,не требуется,ТОО Кайнар-Медиа,Вакансия опубликована 25 мая 2023 в Талдыкоргане,Талдыкорган,полный день,"Полная занятость, полный день",Работа в условиях многозадачности;Казахский — B2 — Средне-продвинутый;Русский — B2 — Средне-продвинутый;,https://almaty.hh.kz/vacancy/80715826
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 17 мая 2023 в Талдыкоргане,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/80609892
Сейлз Мерчендайзер (кофе Jacobs),77,от 110 000 до 300 000 KZT на руки,не требуется,ТОО Apple City Corps,Вакансия опубликована 16 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",Мерчандайзинг;Умение работать в команде;Линейная выкладка товара;Ответственный подход к работе;Нацелен на результат;,https://almaty.hh.kz/vacancy/80467048
Специалист по договорам,33,з/п не указана,не требуется,АО NOMAD insurance,Вакансия опубликована 4 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",MS Outlook;Пользователь ПК;Работа с базами данных;Работа с оргтехникой;Аналитический склад ума;умение концентрироваться на деталях;способность держать процесс под контролем;,https://almaty.hh.kz/vacancy/80104451
Сервисный инженер,111,з/п не указана,не требуется,ТОО Neo Service,Вакансия опубликована 15 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80400755
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 5 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день","Терпеливость;Работа с компьютером;Знание компьютера;Серьезность;Внимательность, ответственность;Грамотная речь;Коммуникабельность, ответственность;Пользователь ПК;",https://almaty.hh.kz/vacancy/80158439
Региональный менеджер,137,от 230 000 до 400 000 KZT до вычета налогов,не требуется,ТОО МФО LFTech (ТМ Деньги Маркет),Вакансия опубликована 2 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79962771
Помощник руководителя,10,з/п не указана,не требуется,Частная компания “Automated Communication Solutions Ltd.”,Вакансия опубликована 26 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день","Работа в команде;Работа с большим объемом информации;Аналитическое мышление;Работа в Excel;Опытный пользователь ПК, знание MS Office;",https://almaty.hh.kz/vacancy/80559650
Ассистент руководителя,73,з/п не указана,не требуется,Частная компания “Automated Communication Solutions Ltd.”,Вакансия опубликована 26 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",Умение анализировать;Работа в команде;Работа с большим объемом информации;Google таблицы;,https://almaty.hh.kz/vacancy/81066798
Начинающий специалист по созданию голосовых и текстовых чат - ботов,96,от 150 000 KZT на руки,не требуется,Частная компания “Automated Communication Solutions Ltd.”,Вакансия опубликована 26 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",Многофункциональный комплекс;Работа в команде;Грамотная речь;Аналитические навыки;Работа в CRM;Ведение деловой переписки;Русский — C2 — В совершенстве;,https://almaty.hh.kz/vacancy/79959892
Разработчик NO CODE,40,от 150 000 KZT на руки,не требуется,Частная компания “Automated Communication Solutions Ltd.”,Вакансия опубликована 27 мая 2023 в Талдыкоргане,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80397750
Специалист по взысканию просроченной задолженности,146,от 120 000 до 400 000 KZT на руки,не требуется,ТОО Коллекторское агентство Эксперт,Вакансия опубликована 5 мая 2023 в Талдыкоргане,"Талдыкорган, улица Акын Сара, 137",полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Грамотность;,https://almaty.hh.kz/vacancy/80150413
