Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Кассир,40,от 100 000 до 100 000 KZT до вычета налогов,не требуется,ТОО Центр изучения английского языка Роуз Каплан,Вакансия опубликована 22 мая 2023 в Таразе,"Тараз, улица Жуанышева, 1",полный день,"Полная занятость, полный день",Кассир;Работа с ПК;Работа в команде;,https://almaty.hh.kz/vacancy/80828114
Тайный проверяющий,40,от 100 000 до 150 000 KZT до вычета налогов,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 22 мая 2023 в Таразе,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80790399
Сотрудник ресторана KFC (Taraz),94,з/п не указана,не требуется,ТОО Caspian International Restaurants company,Вакансия опубликована 18 мая 2023 в Таразе,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80656186
Контент-мейкер,3,от 60 000 до 100 000 KZT на руки,не требуется,ТОО Edukey.kz,Вакансия опубликована 19 мая 2023 в Таразе,Алматы,полный день,"Частичная занятость, полный день",Креативность;Adobe Photoshop;MS PowerPoint;Ведение групп в социальных сетях;Планирование карьеры;Instagram;Работа с социальными сетями;Cоциальный маркетинг;Гибкость мышления;Чувство вкуса;,https://almaty.hh.kz/vacancy/80727292
Заместитель главного бухгалтера,18,от 250 000 до 276 000 KZT до вычета налогов,не требуется,ТОО ТСЗ,Вакансия опубликована 17 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80550374
Менеджер Службы Заботы о Клиентах(удаленно),40,з/п не указана,не требуется,Kaspi.kz,Вакансия опубликована 25 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Деловая переписка;Грамотность;Обучение и развитие;Работа с клиентами;,https://almaty.hh.kz/vacancy/81008753
Торговый представитель,129,от 200 000 KZT на руки,не требуется,ТОО КазАрстрой,Вакансия опубликована 20 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/80767735
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,не требуется,"Beeline, ТМ",Вакансия опубликована 22 мая 2023 в Таразе,Алматы,сменный график,"Частичная занятость, сменный график",Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/80077472
Администратор рентген центра/рентгенолаборант (медсестра/медбрат),64,от 130 000 до 150 000 KZT на руки,не требуется,ИП КАНАПИЕВ А А,Вакансия опубликована 17 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день","Пользователь ПК;Работа в команде;Точность и внимательность к деталям;Работа в условиях многозадачности;Рассудительность;Грамотная речь;Умение работать с документами;Высокий уровень ответственности;Работа с компьютером;Компьютер;Ответственность и пунктуальность;Коммуникабельность, ответственность;Ответственный подход к работе;Усердность;",https://almaty.hh.kz/vacancy/80571404
Помощник главного бухгалтера,18,от 145 000 KZT на руки,не требуется,ТОО Фиркан,Вакансия опубликована 9 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",Пользователь ПК;Первичная документация;Кассовые операции;1С: Предприятие 8;Первичная бухгалтерская документация;Ведение документации;,https://almaty.hh.kz/vacancy/80198084
Оценщик в ломбард,57,от 130 000 до 150 000 KZT до вычета налогов,не требуется,ТОО Астра-Лoмбард,Вакансия опубликована 18 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80665895
"Content moderator (with knowledge of Kazakh, Russian and English)",40,до 2 700 GEL до вычета налогов,не требуется,Majorel Georgia LLC,Вакансия опубликована 25 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",Kazakh language;Russian language;English language;,https://almaty.hh.kz/vacancy/79916599
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 26 мая 2023 в Таразе,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81079118
"Рекрутер, удаленно",118,до 115 000 руб. до вычета налогов,не требуется,ООО МК Эксперт,Вакансия опубликована 25 мая 2023 в Таразе,Алматы,удаленная работа,"Полная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/81037261
Специалист по операционному обслуживанию,137,з/п не указана,не требуется,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 12 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80332478
Deutschsprachiger Kundenbetreuer in Batumi (Georgian),40,от 2 300 GEL до вычета налогов,не требуется,Majorel Georgia LLC,Вакансия опубликована 28 апреля 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79916573
Помощник бухгалтера,18,з/п не указана,не требуется,ИП Электрострой 2007,Вакансия опубликована 9 мая 2023 в Таразе,"Тараз, Ташкентская улица, 90",полный день,"Полная занятость, полный день",Первичная бухгалтерская документация;1С: Бухгалтерия;Клиентоориентированность;1С: Предприятие: Розница;Работа с оргтехникой;Ориентация на результат;1С: Документооборот;Телефонные переговоры;Работа с базами данных;Грамотная речь;Знание 1С;Бумажный документооборот;Желание учиться и развиваться;Высокая энергичность;Работа в коллективе;Работа с контрагентами;Умение слушать;Умение проявлять тактичность и толерантность;Кассовый аппарат;Пользователь ПК;реализация товаров и услуг;Деловая переписка;Работа в команде;,https://almaty.hh.kz/vacancy/80197950
Тайный покупатель,40,з/п не указана,не требуется,ТОО Staff-UP Consulting Group,Вакансия опубликована 10 мая 2023 в Таразе,Алматы,полный день,"Проектная работа/разовое задание, полный день",Пользователь ПК;Телефонные переговоры;Ответственность;Аудит;Умение принимать решения;,https://almaty.hh.kz/vacancy/80239912
Специалист по кредитному администрированию,137,з/п не указана,не требуется,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 12 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80349835
Лаборант,79,от 150 000 до 150 000 KZT на руки,не требуется,ТОО СЖС Казахстан ЛТД,Вакансия опубликована 4 мая 2023 в Таразе,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",E9,https://almaty.hh.kz/vacancy/80124101
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,не требуется,Яндекс Крауд,Вакансия опубликована 11 мая 2023 в Таразе,Алматы,удаленная работа,"Частичная занятость, удаленная работа",E9,https://almaty.hh.kz/vacancy/80298741
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 17 мая 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/80547654
Помощник юриста,145,от 35 000 руб. на руки,не требуется,BY business group,Вакансия опубликована 13 мая 2023 в Таразе,"Тараз, микрорайон Жайлау, 2",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79236284
Специалист по оценке смартфонов в ломбард,57,от 120 000 до 160 000 KZT на руки,не требуется,ТОО THE BEST SELLER,Вакансия опубликована 28 мая 2023 в Таразе,"Тараз, микрорайон Самал, 14",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80208657
Ученик ревизора,18,от 65 000 KZT на руки,не требуется,ИП Электрострой 2007,Вакансия опубликована 26 мая 2023 в Таразе,"Тараз, Ташкентская улица, 90",полный день,"Стажировка, полный день",Проведение ревизий;Проведение инвентаризаций;Умение принимать решения;Проведение инвентаризация ОС;Умение слушать;Учет остатков;Точность и внимательность к деталям;Работа с ТСД;Многозадачность;навыки проведения инвентаризации на складе;Инвентаризация;Работа с ТМЦ;Учет товаров;1С: Бухгалтерия и склад;,https://almaty.hh.kz/vacancy/79820167
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 28 апреля 2023 в Таразе,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/79920977
