Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Монтажники с авто и без авто,112,от 200 000 до 300 000 KZT на руки,ТОО Сәтті Телеком,Вакансия опубликована 29 мая 2023 в Таразе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81247143,,IT
Кассир,40,от 100 000 до 100 000 KZT до вычета налогов,ТОО Центр изучения английского языка Роуз Каплан,Вакансия опубликована 22 мая 2023 в Таразе,"Тараз, улица Жуанышева, 1",полный день,Полная занятость,Кассир;Работа с ПК;Работа в команде;,https://almaty.hh.kz/vacancy/80828114,,
Тайный проверяющий,40,от 100 000 до 150 000 KZT до вычета налогов,ООО 4Service Holdings GmbH,Вакансия опубликована 22 мая 2023 в Таразе,Алматы,полный день,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80790399,,
Сотрудник ресторана KFC (Taraz),94,з/п не указана,ТОО Caspian International Restaurants company,Вакансия опубликована 18 мая 2023 в Таразе,Алматы,сменный график,Полная занятость,E9,https://almaty.hh.kz/vacancy/80656186,,
Аналитик,10,до 260 000 KZT до вычета налогов,ТОО Dizzy,Вакансия опубликована 12 мая 2023 в Таразе,Алматы,полный день,Полная занятость,Пользователь ПК;Деловое общение;Работа с большим объемом информации;Управление документооборотом;1C: Предприятие;Работать в команде;планировать и оптимально организовать рабочий процесс;MS Excel;,https://almaty.hh.kz/vacancy/80328754,,IT
Контент-мейкер,3,от 60 000 до 100 000 KZT на руки,ТОО Edukey.kz,Вакансия опубликована 19 мая 2023 в Таразе,Алматы,полный день,Частичная занятость,Креативность;Adobe Photoshop;MS PowerPoint;Ведение групп в социальных сетях;Планирование карьеры;Instagram;Работа с социальными сетями;Cоциальный маркетинг;Гибкость мышления;Чувство вкуса;,https://almaty.hh.kz/vacancy/80727292,,Менеджмент
Заместитель главного бухгалтера,18,от 250 000 до 276 000 KZT до вычета налогов,ТОО ТСЗ,Вакансия опубликована 17 мая 2023 в Таразе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80550374,,Финансы
Пекарь,94,от 180 000 до 250 000 KZT на руки,ТОО ATRAK,Вакансия опубликована 10 мая 2023 в Таразе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80207143,,
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 22 мая 2023 в Таразе,Алматы,сменный график,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/80077472,,
Администратор рентген центра/рентгенолаборант (медсестра/медбрат),64,от 130 000 до 150 000 KZT на руки,ИП КАНАПИЕВ А А,Вакансия опубликована 17 мая 2023 в Таразе,Алматы,полный день,Полная занятость,"Пользователь ПК;Работа в команде;Точность и внимательность к деталям;Работа в условиях многозадачности;Рассудительность;Грамотная речь;Умение работать с документами;Высокий уровень ответственности;Работа с компьютером;Компьютер;Ответственность и пунктуальность;Коммуникабельность, ответственность;Ответственный подход к работе;Усердность;",https://almaty.hh.kz/vacancy/80571404,,Медицина
Менеджер Службы Заботы о Клиентах(удаленно),40,з/п не указана,Kaspi.kz,Вакансия опубликована 25 мая 2023 в Таразе,Алматы,полный день,Полная занятость,Грамотная речь;Работа в команде;Телефонные переговоры;Деловое общение;Деловая переписка;Грамотность;Обучение и развитие;Работа с клиентами;,https://almaty.hh.kz/vacancy/81008753,,
Помощник главного бухгалтера,18,от 145 000 KZT на руки,ТОО Фиркан,Вакансия опубликована 9 мая 2023 в Таразе,Алматы,полный день,Полная занятость,Пользователь ПК;Первичная документация;Кассовые операции;1С: Предприятие 8;Первичная бухгалтерская документация;Ведение документации;,https://almaty.hh.kz/vacancy/80198084,,Финансы
Пиццер,94,от 120 000 до 170 000 KZT на руки,ТОО Gustosa Pizza,Вакансия опубликована 29 мая 2023 в Таразе,"Тараз, улица Толе би, 27",полный день,Полная занятость,Работа в команде;Общественное питание;Обучение и развитие;Ориентация на результат;Не конфликтность;Готовность обучаться;Выносливость;,https://almaty.hh.kz/vacancy/81266717,,
Торговый представитель,129,от 200 000 KZT на руки,ТОО КазАрстрой,Вакансия опубликована 20 мая 2023 в Таразе,Алматы,полный день,Полная занятость,Поиск и привлечение клиентов;работа с текущей базой клиентов;Мерчендайзинг;Холодные продажи;Традиционная розница;,https://almaty.hh.kz/vacancy/80767735,,
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,Workle Pro,Вакансия опубликована 26 мая 2023 в Таразе,Алматы,удаленная работа,Частичная занятость,Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81079118,,Менеджмент
"Рекрутер, удаленно",118,до 115 000 руб. до вычета налогов,ООО МК Эксперт,Вакансия опубликована 25 мая 2023 в Таразе,Алматы,удаленная работа,Полная занятость,E9,https://almaty.hh.kz/vacancy/81037261,,Менеджмент
Специалист по операционному обслуживанию,137,з/п не указана,ТОО Микрофинансовая организация KMF(КМФ),Вакансия опубликована 12 мая 2023 в Таразе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80332478,,Финансы
