Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Оператор стана в цех по производству сэндвич-панелей,85,от 150 000 KZT до вычета налогов,не требуется,ТОО Агран,Вакансия опубликована 26 мая 2023 в Уральске,посёлок Желаево,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81104896
Упаковщица/упаковщик в цех бумажных стаканов,40,от 140 000 до 170 000 KZT на руки,не требуется,ТОО Полиграфсервис,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, улица Льва Толстого, 27/6",полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;,https://almaty.hh.kz/vacancy/80217015
Кофе-леди / кофе-мен,40,з/п не указана,не требуется,ТОО Hazar Motors,Вакансия опубликована 25 мая 2023 в Уральске,Алматы,сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/81039954
Администратор,8,от 200 000 KZT на руки,не требуется,ТОО Q4TULPAR_AUTO,Вакансия опубликована 17 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Умение вести переговоры;Общение;Способность быстро обучаться;Разрешать конфликтные ситуации;Телефонные переговоры;Компетентность;Готовность к командному труду;Стремление к развитию и профессиональному росту;Приветливость;,https://almaty.hh.kz/vacancy/80553304
Представитель-логист в г. Уральск,161,от 250 000 до 300 000 KZT до вычета налогов,не требуется,ТОО Caspian Energy Corporation,Вакансия опубликована 27 мая 2023 в Уральске,"село Бесагаш, улица ПК Луч Востока",гибкий график,"Полная занятость, гибкий график","Деловая коммуникация;Документооборот;Пользователь ПК;Навыки работы с первичной документацией;Точность и внимательность к деталям;Грузоперевозки;Опытный пользователь ПК, знание MS Office;Работа в условиях многозадачности;Английский язык;Английский — C1 — Продвинутый;",https://almaty.hh.kz/vacancy/80624947
Рекрутер / менеджер по подбору персонала,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 25 мая 2023 в Уральске,Алматы,полный день,"Частичная занятость, полный день",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/81013345
Специалист отдела снабжения,66,з/п не указана,не требуется,ТОО A.Priori,Вакансия опубликована 10 мая 2023 в Уральске,"Уральск, Полевая улица, 5",полный день,"Полная занятость, полный день",Офисные программы;Журнал учёта ТМЦ;Умение работать в условиях многозадачности;Планирование и организация;Правильно расставлять приоритеты;Заключение договоров;,https://almaty.hh.kz/vacancy/80208608
Регистратор,8,от 100 000 до 200 000 KZT на руки,не требуется,"ТОО Олимп КДЛ, ТМ (ТОО Мырза Хан)",Вакансия опубликована 4 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Консультирование клиентов;Консультирование клиентов по телефону;работа с физическими лицами;Пользователь ПК;оформление заказов;,https://almaty.hh.kz/vacancy/80082739
Агент по бронированию и выписке авиабилетов,40,з/п не указана,не требуется,ТОО Global Air,Вакансия опубликована 17 мая 2023 в Уральске,"Уральск, проспект Нурсултана Назарбаева, 148",сменный график,"Частичная занятость, сменный график",Деловая переписка;Телефонные переговоры;Грамотная речь;Английский язык;Amadeus;Авиабилеты;Деловое общение;Работа с большим объемом информации;MS Outlook;Английский — B1 — Средний;,https://almaty.hh.kz/vacancy/79076222
Электромонтажник/Монтажник,143,от 395 000 до 620 000 KZT на руки,не требуется,ЗАО ЭнергоСтрой,Вакансия опубликована 23 мая 2023 в Уральске,Алматы,Вахтовый метод,"Полная занятость, Вахтовый метод",Производство строительно-монтажных работ;Монтаж металлоконструкций;Пользователь ПК;Строительство;,https://almaty.hh.kz/vacancy/77697219
Маркетолог,68,от 295 000 KZT до вычета налогов,не требуется,ТОО Сауда-Интер,Вакансия опубликована 4 мая 2023 в Уральске,"Уральск, Туркестанская улица, 26",полный день,"Полная занятость, полный день",ATL;BTL;Маркетинговые исследования;Маркетинговые коммуникации;Медиапланирование;,https://almaty.hh.kz/vacancy/80101815
Представитель по обслуживанию торговых аппаратов (подработка),129,з/п не указана,не требуется,ТОО Торговая Компания Сатурн,Вакансия опубликована 25 мая 2023 в Уральске,Алматы,полный день,"Частичная занятость, полный день",Пользователь ПК;Работа в команде;Материальная ответственность;Работа в условиях многозадачности;,https://almaty.hh.kz/vacancy/81018814
Администратор офиса,8,з/п не указана,не требуется,ТОО NOVATEQ-GROUP,Вакансия опубликована 11 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Английский язык;Письменный перевод;MS Outlook;Делопроизводство;Входящая корреспонденция;Грамотность;Протоколирование;Деловая корреспонденция;Административная поддержка руководителя;исходящая корреспонденция;Внутренняя документация;Заказ такси;Бронирование билетов;Бронирование гостиниц;Обеспечение жизнедеятельности офиса;,https://almaty.hh.kz/vacancy/80271919
Мерчендайзер по работе с ключевыми клиентами,77,от 180 000 KZT до вычета налогов,не требуется,ТОО RG Brands Kazakhstan,Вакансия опубликована 24 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Мерчандайзинг;Выкладка товаров;,https://almaty.hh.kz/vacancy/80936086
Тайный проверяющий,40,з/п не указана,не требуется,ООО 4Service Holdings GmbH,Вакансия опубликована 26 мая 2023 в Уральске,Алматы,полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81067020
Работник в столовую,94,от 100 000 до 130 000 KZT до вычета налогов,не требуется,ТОО ОралСпецТехника,Вакансия опубликована 22 мая 2023 в Уральске,"поселок Зачаганск, улица 7-й километр",полный день,"Полная занятость, полный день",Умение работать в команде;Дружелюбность;,https://almaty.hh.kz/vacancy/80797475
Консультант,40,з/п не указана,не требуется,АО Jusan Bank,Вакансия опубликована 23 мая 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Грамотная речь;Деловое общение;Ведение деловой переписки;Корпоративная этика;Знание компьютера;Умение работать в условиях многозадачности;,https://almaty.hh.kz/vacancy/79854602
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,не требуется,"Beeline, ТМ",Вакансия опубликована 23 мая 2023 в Уральске,Алматы,гибкий график,"Частичная занятость, гибкий график",Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/77710990
Медицинский представитель,65,от 180 000 до 500 000 KZT на руки,не требуется,ТОО Новатор Фарма,Вакансия опубликована 28 апреля 2023 в Уральске,Алматы,полный день,"Полная занятость, полный день",Навыки продаж;Коммуникативные навыки;Навыки презентации;Работа в команде;Стрессоустойчивость;,https://almaty.hh.kz/vacancy/79921652
