Должность,professionalroleid,Зарплата,Опыт,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка
Менеджер по маркетингу,68,от 270 000 до 310 000 KZT до вычета налогов,не требуется,"АО УМЗ, АО",Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80891325
Помощник главного бухгалтера,18,от 200 000 KZT на руки,не требуется,ТОО LOGYGROUND,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Тохтарова, 48/2",полный день,"Полная занятость, полный день",Кадровое делопроизводство;1С: Бухгалтерия;Работа с документами;Сверка взаиморасчетов с поставщиками товаров и услуг;Первичные документы;Внутренняя документация;,https://almaty.hh.kz/vacancy/80856675
Администратор фитнес-клуба Orange Area,8,от 250 000 KZT на руки,не требуется,ИП Джерихов С.В.,Вакансия опубликована 11 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Ауэзова, 1/1",сменный график,"Полная занятость, сменный график",Грамотная речь;Пользователь ПК;Деловое общение;Навыки продаж;Телефонные переговоры;Прием и распределение телефонных звонков;,https://almaty.hh.kz/vacancy/79665776
Инженер Управления связи Представительства,112,з/п не указана,не требуется,АО Национальные информационные технологии,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80923270
Администратор салона красоты,8,от 120 000 до 150 000 KZT на руки,не требуется,ИП Рифель Н.Н,Вакансия опубликована 28 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Крылова, 66",сменный график,"Полная занятость, сменный график",E9,https://almaty.hh.kz/vacancy/80788409
Администратор,8,от 200 000 до 200 000 KZT на руки,не требуется,ТОО УК ТРК,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Виноградова, 17А",полный день,"Частичная занятость, полный день",E9,https://almaty.hh.kz/vacancy/79919356
Оператор,84,от 130 000 KZT до вычета налогов,не требуется,АО Объединённая ЭнергоСервисная Компания,Вакансия опубликована 25 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Бажова, 10",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80993298
Модератор карт,40,от 250 000 до 250 000 KZT до вычета налогов,не требуется,ТОО Апару,Вакансия опубликована 5 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80135121
IOS Developer,96,з/п не указана,не требуется,ТОО Апару,Вакансия опубликована 18 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Кайсенова, 123",полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80633787
Веб-дизайнер,96,от 150 000 до 300 000 KZT до вычета налогов,не требуется,ИП Аянбек Досумбаев,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80859203
Помощник главного бухгалтера,18,от 120 000 до 180 000 KZT до вычета налогов,не требуется,ИП Сервис com,Вакансия опубликована 20 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, проспект Нурсултана Назарбаева, 23",полный день,"Полная занятость, полный день",Деловая переписка;Заключение договоров;Деловое общение;Документооборот;Первичная документация;реализация товаров и услуг;Авансовые отчеты;1С: Бухгалтерия;Первичные документы;,https://almaty.hh.kz/vacancy/80763774
Хостес,140,до 150 000 KZT на руки,не требуется,ИП Нечепуренко А.М,Вакансия опубликована 10 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Антона Чехова, 46к1",полный день,"Полная занятость, полный день",Работа в команде;Грамотная речь;Опрятность;Приветливость;Дружелюбность;Опрятный внешний вид;Встреча гостей;Умение проявлять тактичность и толерантность;,https://almaty.hh.kz/vacancy/80231629
Торговый представитель,129,от 250 000 до 300 000 KZT до вычета налогов,не требуется,"ТОО Багратион Улан, ТОО",Вакансия опубликована 26 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/81065992
Намотчица/намотчик секций силовых конденсаторов,40,от 180 000 KZT на руки,не требуется,ТОО Усть-Каменогоркий конденсаторный завод,Вакансия опубликована 23 мая 2023 в Усть-Каменогорске,"Усть-Каменогорск, улица Жакыпбека Малдыбаева, 1",полный день,"Полная занятость, полный день",Пользователь ПК;Google Chrome;Работа с людьми;,https://almaty.hh.kz/vacancy/80886721
Секретарь директора Банка,40,з/п не указана,не требуется,АО Bereke Bank,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,полный день,"Полная занятость, полный день",E9,https://almaty.hh.kz/vacancy/80922003
Специалист по подбору кадров,118,от 200 000 до 500 000 KZT до вычета налогов,не требуется,Workle Pro,Вакансия опубликована 24 мая 2023 в Усть-Каменогорске,Алматы,удаленная работа,"Частичная занятость, удаленная работа",Подбор персонала;Рекрутмент;,https://almaty.hh.kz/vacancy/80933315
