Должность,professionalroleid,Зарплата,Компания,Дата обьявления,Район,Тип занятости,Тип занятости2,Ключевые навыки,Ссылка,Мера содействия занятости,Специальность
Техник-инкассатор по обслуживанию терминалов,111,от 200 000 до 200 000 KZT на руки,"ТОО Cash Master,TM (TOO Almaty Enterprising Company Ltd )",Вакансия опубликована 26 мая 2023 в Экибастузе,Алматы,полный день,Полная занятость,Пользователь ПК;Настройка ПК;Настройка ПО;Сборка ПК;Ремонт ПК;,https://almaty.hh.kz/vacancy/81089895,,Сервисное обслуживание/производство
Тайный проверяющий,40,от 100 000 до 150 000 KZT на руки,ООО 4Service Holdings GmbH,Вакансия опубликована 8 мая 2023 в Экибастузе,Алматы,гибкий график,Частичная занятость,Пользователь ПК;Грамотная речь;,https://almaty.hh.kz/vacancy/80193833,,
Территориальный агент Beeline,40,от 100 000 до 250 000 KZT на руки,"Beeline, ТМ",Вакансия опубликована 19 мая 2023 в Экибастузе,Алматы,полный день,Частичная занятость,Поиск и привлечение клиентов;Консультация клиентов;Грамотная речь;,https://almaty.hh.kz/vacancy/79299811,,
Электромонтажник/монтажник,143,от 395 000 до 620 000 KZT на руки,ЗАО ЭнергоСтрой,Вакансия опубликована 28 мая 2023 в Экибастузе,Алматы,Вахтовый метод,Полная занятость,E9,https://almaty.hh.kz/vacancy/77697961,,Сервисное обслуживание/производство
Графический дизайнер,34,от 100 000 до 100 000 KZT на руки,ТОО Охранное агентство ABC BERKUT,Вакансия опубликована 19 мая 2023 в Экибастузе,"Экибастуз, проспект Абая, 72",полный день,Полная занятость,Adobe Photoshop;Adobe Illustrator;CorelDRAW;Креативность;Адекватность;Дизайнер;Стремление к профессиональному росту;Продуктивность;,https://almaty.hh.kz/vacancy/80688823,,Массмедиа
Инженер службы по охране окружающей среды,40,з/п не указана,ТОО Богатырь Комир,Вакансия опубликована 17 мая 2023 в Экибастузе,"Экибастуз, улица Бауыржана Момышулы, 23",полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80575188,,
Специалист по качеству Поиска со знанием казахского языка,40,от 30 000 руб. на руки,Яндекс Крауд,Вакансия опубликована 17 мая 2023 в Экибастузе,Алматы,удаленная работа,Частичная занятость,E9,https://almaty.hh.kz/vacancy/80609894,,
Мерчендайзер-грузчик,77,от 160 000 до 175 000 KZT до вычета налогов,ТОО Бэст Прайс Казахстан,Вакансия опубликована 29 мая 2023 в Экибастузе,Алматы,полный день,Полная занятость,Выкладка товаров;Мерчандайзинг;Линейная выкладка товара;Умение работать в команде;Контроль сроков годности;Точность и внимательность к деталям;,https://almaty.hh.kz/vacancy/80863235,,
Маляр,59,от 142 000 до 168 000 KZT до вычета налогов,ТОО Богатырь Транс,Вакансия опубликована 26 мая 2023 в Экибастузе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/81085458,,
Бухгалтер,18,от 80 000 до 200 000 KZT на руки,ТОО Охранное агентство ABC BERKUT,Вакансия опубликована 16 мая 2023 в Экибастузе,"Экибастуз, проспект Абая, 72",полный день,Полная занятость,Умение работать в условиях многозадачности;Точность и внимательность;Ответственность и пунктуальность;реализация товаров и услуг;,https://almaty.hh.kz/vacancy/80518022,,Финансы
Сотрудник Call-центра,40,от 100 000 до 300 000 KZT на руки,ТОО Коллекторское агентство по урегулированию финансовых проблем,Вакансия опубликована 9 мая 2023 в Экибастузе,Алматы,полный день,Полная занятость,E9,https://almaty.hh.kz/vacancy/80201174,,
Электрослесарь по обслуживанию и ремонту ЛЭП,143,от 180 000 до 220 000 KZT до вычета налогов,ТОО Ангренсор Энерго,Вакансия опубликована 24 мая 2023 в Экибастузе,"Экибастуз, улица Динмухамеда Кунаева, 15Б",сменный график,Полная занятость,Пользователь ПК;Turbo Pascal;Работа на высоте;Навыки обслуживания людей;,https://almaty.hh.kz/vacancy/79753982,,Сервисное обслуживание/производство
